sample_idx,delta_ssim,delta_mt,delta_pd,winner_ssim,winner_mt,winner_pd
106,0.1302536865229666,0.983945369720459,-10.087350949227886,cnn,cnn,gan
107,0.12955304680587088,2.029770851135254,-8.961583030487635,cnn,cnn,gan
108,0.12092295602969705,1.9059581756591797,-7.740820271195744,cnn,cnn,gan
109,0.1308718044707951,2.1100034713745117,-8.120086906734258,cnn,cnn,gan
110,0.13897542900036758,0.7616782188415527,-9.90387771246992,cnn,cnn,gan
111,0.11572643176652397,2.6538472175598145,-9.362192722725592,cnn,cnn,gan
112,0.14355939460849954,1.0445513725280762,-8.124974718265669,cnn,cnn,gan
113,0.1384873678524578,1.4465765953063965,-7.595174112833238,cnn,cnn,gan
114,0.1347290641059784,0.7752566337585449,-7.692607463023744,cnn,cnn,gan
115,0.12250739640195163,2.542202949523926,-8.017977889692844,cnn,cnn,gan
116,0.1287467284128092,2.286045551300049,-7.966369916091313,cnn,cnn,gan
117,0.09728037613462914,3.4224677085876465,-8.556231028624595,cnn,cnn,gan
118,0.10530998405681491,2.6222805976867676,-8.031831030186268,cnn,cnn,gan
119,0.0875361585806399,0.9103384017944336,-6.630715218183418,cnn,cnn,gan
120,0.11790593943149036,3.0447893142700195,-6.617869275127962,cnn,cnn,gan
121,0.12185016036191137,2.161287307739258,-7.7639999506432815,cnn,cnn,gan
122,0.12428723038408929,2.1857194900512695,-5.526169067281831,cnn,cnn,gan
123,0.10982769172854978,2.235123634338379,-6.980720082155294,cnn,cnn,gan
124,0.13336664565330741,0.6523103713989258,-6.0647962158597615,cnn,cnn,gan
125,0.12673437742183102,4.338579177856445,-7.126238062395565,cnn,cnn,gan
126,0.12270167815662053,3.0600662231445312,-5.133764029154648,cnn,cnn,gan
127,0.10755880410722646,7.9594268798828125,-5.144634138113606,cnn,cnn,gan
128,0.08438760041227283,1.8067193031311035,-5.076671104988229,cnn,cnn,gan
129,0.10476845752024672,3.9656615257263184,-5.255362053582768,cnn,cnn,gan
130,0.07613100796354655,5.7041802406311035,-6.490211588256553,cnn,cnn,gan
131,0.06985853975907819,5.808531761169434,-7.820440760823885,cnn,cnn,gan
132,0.07923297597374701,6.05672025680542,-8.018594916640794,cnn,cnn,gan
133,0.08981819590595297,1.347501277923584,-8.92819673201533,cnn,cnn,gan
134,0.08387814784783032,6.135213851928711,-9.478339292481586,cnn,cnn,gan
135,0.09205202282596825,5.694131374359131,-9.44148604242849,cnn,cnn,gan
136,0.10006432577421787,0.21828317642211914,-8.12090746269578,cnn,cnn,gan
137,0.12311020188442612,4.461348533630371,-8.34131538768358,cnn,cnn,gan
138,0.0980449202538215,2.655005931854248,-7.676059727942025,cnn,cnn,gan
139,0.12307582166058095,4.142480850219727,-8.175043531028457,cnn,cnn,gan
140,0.10331821313228151,5.7023210525512695,-9.296397381089918,cnn,cnn,gan
141,0.08465068958390826,2.7024788856506348,-7.771418729452456,cnn,cnn,gan
142,0.0691084535250368,1.3729782104492188,-6.455991458989871,cnn,cnn,gan
143,0.07791359872818804,3.7852401733398438,-6.120636687146241,cnn,cnn,gan
144,0.09306487839824762,4.21088981628418,-7.048108790375689,cnn,cnn,gan
145,0.08493426525393083,2.6556878089904785,-5.128347593491711,cnn,cnn,gan
146,0.0570153789847162,1.0969176292419434,-5.4205254854759275,cnn,cnn,gan
147,0.08994853828299282,1.223832130432129,-4.581879307687107,cnn,cnn,gan
148,0.08568355831993513,3.867703914642334,-5.125291982634703,cnn,cnn,gan
149,0.06517806155058314,2.285673141479492,-3.8333865323856244,cnn,cnn,gan
150,0.08315123320703433,2.6323680877685547,-3.9358206793413544,cnn,cnn,gan
151,0.12196292003067422,1.8797898292541504,-4.643215555565661,cnn,cnn,gan
152,0.09669302971226035,2.547067642211914,-7.255331272773191,cnn,cnn,gan
153,0.10634944070246027,0.25815296173095703,-8.931151269300909,cnn,cnn,gan
154,0.10406053040229418,-0.15301227569580078,-8.475723699916077,cnn,gan,gan
155,0.1122531880361895,0.19898366928100586,-8.644697509302645,cnn,cnn,gan
156,0.06570201672905684,4.1016845703125,-7.2842536531565045,cnn,cnn,gan
157,0.06866024424592382,3.7152161598205566,-6.887757988705218,cnn,cnn,gan
158,0.08196426798123763,2.6038689613342285,-4.3538933108596325,cnn,cnn,gan
159,0.07371145661964895,5.68810510635376,-4.465265450892421,cnn,cnn,gan
160,0.08200285474069036,8.727617263793945,-1.0482620422847546,cnn,cnn,gan
161,0.08724827062064222,5.9941935539245605,-0.30757661646189405,cnn,cnn,gan
162,0.07850452004250241,5.155174732208252,1.186826702064554,cnn,cnn,cnn
163,0.10538493313289166,1.0900354385375977,1.0759971108818718,cnn,cnn,cnn
164,0.08565454744763146,5.725895881652832,-2.6340155800990708,cnn,cnn,gan
165,0.08414413842906565,6.210072040557861,-2.38914275893994,cnn,cnn,gan
166,0.07815784739821674,4.477466583251953,-3.0938111255100793,cnn,cnn,gan
167,0.06198257426533227,1.443559169769287,-1.8187750228534583,cnn,cnn,gan
