method,sample_idx,metric_column,value
cnn,12,exceed_frac_gt_t10,0.61038
cnn,12,exceed_frac_sr_t10,0.602384
cnn,12,exceed_frac_delta_t10,-0.007996000000000003
cnn,12,exceed_frac_abs_delta_t10,0.007996000000000003
cnn,12,exceed_frac_gt_t15,0.156016
cnn,12,exceed_frac_sr_t15,0.14916
cnn,12,exceed_frac_delta_t15,-0.006856000000000001
cnn,12,exceed_frac_abs_delta_t15,0.006856000000000001
cnn,12,exceed_frac_gt_p90,0.1
cnn,12,exceed_frac_sr_p90,0.091016
cnn,12,exceed_frac_delta_p90,-0.008984000000000006
cnn,12,exceed_frac_abs_delta_p90,0.008984000000000006
cnn,12,exceed_frac_gt_p95,0.05
cnn,12,exceed_frac_sr_p95,0.041348
cnn,12,exceed_frac_delta_p95,-0.008652
cnn,12,exceed_frac_abs_delta_p95,0.008652
cnn,12,exceed_frac_gt_p99,0.01
cnn,12,exceed_frac_sr_p99,0.00238
cnn,12,exceed_frac_delta_p99,-0.00762
cnn,12,exceed_frac_abs_delta_p99,0.00762
