sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateDpd_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateDpd_expanded672,pd_winner_before,pd_winner_after_candidateDpd_expanded672,mt_winner_before,mt_winner_after_candidateDpd_expanded672,was_mt_gan_win_before
119,119,27.187847892928154,20.557132674744736,29.093085701526142,5.218785285949707,6.129123687744141,5.326563835144043,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,29.52245535016481,4.889072418212891,7.93386173248291,5.272160530090332,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,30.315612151172285,5.373913288116455,7.535200595855713,5.504561424255371,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,29.171533262927067,5.264456272125244,7.450175762176514,5.721761226654053,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,30.0595090313203,6.196282386779785,8.431406021118164,6.599393367767334,gan,gan,cnn,cnn,0
124,124,28.184626374879375,22.119830159019614,29.194102834639953,6.166434288024902,6.818744659423828,6.343603134155273,gan,gan,cnn,cnn,0
125,125,28.43981263564626,21.313574573250694,29.401181836276855,5.748098373413086,10.086677551269531,6.0935540199279785,gan,gan,cnn,cnn,0
126,126,28.023492407781937,22.88972837862729,28.908160334740785,4.992148399353027,8.052214622497559,5.2842888832092285,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,30.967929273943568,5.114649772644043,13.074076652526855,5.4600701332092285,gan,gan,cnn,cnn,0
128,128,28.391923421353447,23.315252316365218,29.730683778169745,5.476268768310547,7.28298807144165,5.90425968170166,gan,gan,cnn,cnn,0
129,129,29.465245102227872,24.209883048645104,31.059273194534168,5.373117923736572,9.33877944946289,6.198476314544678,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,31.75242841968506,5.609683513641357,11.313863754272461,6.850015163421631,gan,gan,cnn,cnn,0
131,131,33.0539968727652,25.23355611194131,34.42722898604499,6.2030792236328125,12.011610984802246,7.649085998535156,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,35.477200792556836,6.331444263458252,12.388164520263672,8.286794662475586,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,36.17650585638963,6.299666404724121,7.647167682647705,8.383330345153809,gan,gan,cnn,cnn,0
134,134,32.518921837890055,23.04058254540847,33.96644175649384,7.141453742980957,13.276667594909668,7.689846038818359,gan,gan,cnn,cnn,0
135,135,29.944179549584543,20.502693507156053,31.562577010094866,6.298990726470947,11.993122100830078,7.519644737243652,gan,gan,cnn,cnn,0
136,136,27.83279512215704,19.71188765946126,29.28019275607811,6.232182025909424,6.450465202331543,7.300861358642578,gan,gan,cnn,cnn,0
137,137,26.69652879915387,18.35521341147029,28.12862400102356,5.208233833312988,9.66958236694336,5.5858001708984375,gan,gan,cnn,cnn,0
138,138,26.265900126493325,18.5898403985513,27.48545063587404,5.562473773956299,8.217479705810547,5.989367485046387,gan,gan,cnn,cnn,0
139,139,25.72843674372112,17.55339321269266,26.72457931517799,5.6482439041137695,9.790724754333496,6.2858567237854,gan,gan,cnn,cnn,0
140,140,26.928885115678263,17.632487734588345,28.185381673155337,5.719569206237793,11.421890258789062,6.255383491516113,gan,gan,cnn,cnn,0
141,141,30.122683212798776,22.35126448334632,31.492320028152193,6.186624050140381,8.889102935791016,6.857907772064209,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,33.44200119514561,7.186554908752441,8.55953311920166,7.9101152420043945,gan,gan,cnn,cnn,0
