method_id,metric,cnn_mean,candidate_mean,mean_raw_delta,mean_improvement_delta,median_improvement_delta,n_improved,n_worsened,n_tied,n_valid
grad_levelset,comp_abs_t10,187.16666666666666,184.80357142857142,-2.363095238095238,2.363095238095238,1.5,89,76,3,168
grad_levelset,comp_abs_t15,116.80952380952381,106.68452380952381,-10.125,10.125,10.0,122,44,2,168
grad_levelset,pd_distance,27.406283078086062,22.61935891216629,-4.78692416591977,4.78692416591977,5.122358929538494,164,4,0,168
grad_levelset,mt_distance,5.867795200574966,6.19958542074476,0.331790220169794,-0.331790220169794,-0.39609742164611816,41,127,0,168
candidate_b,psnruv,31.192500433861134,33.519826687852806,2.3273262539916706,2.3273262539916706,2.3397634889275043,168,0,0,168
candidate_b,ssim_speed,,,,,,,,,0
candidate_b,speed_mae,0.6940701629397319,0.5140811588466916,-0.17998900409304025,0.17998900409304025,0.17712607084901094,168,0,0,168
candidate_b,speed_rmse,1.1077586003651096,0.8762791858731421,-0.23147941449196757,0.23147941449196757,0.20969452193106425,168,0,0,168
candidate_b,wpd_mae,231.67091095165674,164.59352863034053,-67.0773823213162,67.0773823213162,62.79678518565643,168,0,0,168
candidate_b,wpd_w1,45.27127092112853,26.68694395259363,-18.584326968534906,18.584326968534906,18.352715469469718,138,30,0,168
candidate_b,wpd_bias_abs,35.343902938857745,19.68905221286368,-15.654850725994068,15.654850725994068,17.311721759650688,123,45,0,168
candidate_b,grad_mae,0.3490557204526641,0.31240406358805717,-0.03665165686460693,0.03665165686460693,0.03711876915684306,168,0,0,168
candidate_b,grad_w1,0.23294292018237558,0.19961299822975367,-0.033329921952621924,0.033329921952621924,0.03892702416018236,150,18,0,168
