method_id,metric,total_rows,finite_rows,missing_rows,missing_reason
speed_grad,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
speed_grad,grad_mae,168,0,168,no_source_artifact_found_in_repository
speed_grad,grad_w1,168,0,168,no_source_artifact_found_in_repository
speed_grad,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
speed_grad,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
speed_grad,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
speed_grad,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
speed_grad,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
speed_grad,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
speed_grad,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
speed_grad,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
speed_grad,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
speed_grad,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
speed_grad,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
speed_grad,pd_distance,168,0,168,no_source_artifact_found_in_repository
speed_grad,mt_distance,168,0,168,no_source_artifact_found_in_repository
grad_levelset,psnruv,168,0,168,no_source_artifact_found_in_repository
grad_levelset,ssim_speed,168,0,168,no_source_artifact_found_in_repository
grad_levelset,speed_mae,168,0,168,no_source_artifact_found_in_repository
grad_levelset,speed_rmse,168,0,168,no_source_artifact_found_in_repository
grad_levelset,wpd_mae,168,0,168,no_source_artifact_found_in_repository
grad_levelset,wpd_w1,168,0,168,no_source_artifact_found_in_repository
grad_levelset,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
grad_levelset,grad_mae,168,0,168,no_source_artifact_found_in_repository
grad_levelset,grad_w1,168,0,168,no_source_artifact_found_in_repository
grad_levelset,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
grad_levelset,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
grad_levelset,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
grad_levelset,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
grad_levelset,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
grad_levelset,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
grad_levelset,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
grad_levelset,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
grad_levelset,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
grad_levelset,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
grad_levelset,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
grad_levelset,pd_distance,168,0,168,no_source_artifact_found_in_repository
grad_levelset,mt_distance,168,0,168,no_source_artifact_found_in_repository
candidate_b,psnruv,168,0,168,no_source_artifact_found_in_repository
candidate_b,ssim_speed,168,0,168,no_source_artifact_found_in_repository
candidate_b,speed_mae,168,0,168,no_source_artifact_found_in_repository
candidate_b,speed_rmse,168,0,168,no_source_artifact_found_in_repository
candidate_b,wpd_mae,168,0,168,no_source_artifact_found_in_repository
candidate_b,wpd_w1,168,0,168,no_source_artifact_found_in_repository
candidate_b,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
candidate_b,grad_mae,168,0,168,no_source_artifact_found_in_repository
candidate_b,grad_w1,168,0,168,no_source_artifact_found_in_repository
candidate_b,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
candidate_b,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
candidate_b,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
candidate_b,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
candidate_b,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
candidate_b,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
candidate_b,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
candidate_b,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
candidate_b,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
candidate_b,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
candidate_b,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
candidate_b,pd_distance,168,0,168,no_source_artifact_found_in_repository
candidate_b,mt_distance,168,0,168,no_source_artifact_found_in_repository
candidate_c,psnruv,168,0,168,no_source_artifact_found_in_repository
candidate_c,ssim_speed,168,0,168,no_source_artifact_found_in_repository
candidate_c,speed_mae,168,0,168,no_source_artifact_found_in_repository
candidate_c,speed_rmse,168,0,168,no_source_artifact_found_in_repository
candidate_c,wpd_mae,168,0,168,no_source_artifact_found_in_repository
candidate_c,wpd_w1,168,0,168,no_source_artifact_found_in_repository
candidate_c,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
candidate_c,grad_mae,168,0,168,no_source_artifact_found_in_repository
candidate_c,grad_w1,168,0,168,no_source_artifact_found_in_repository
candidate_c,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
candidate_c,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
