sample_idx,method_id,display_name,candidate_family,training_scale,architecture,uses_speed,uses_grad,uses_levelset,uses_crit,uses_e2,psnruv,ssim_speed,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
116,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
117,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
118,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
119,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
120,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
121,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
122,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
123,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
124,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
125,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
126,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
127,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
128,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
129,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
130,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
131,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
132,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
133,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
134,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
135,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
