sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_crit_expanded2688,pd_winner_before,pd_winner_after_candidateUV_plus_crit_expanded2688,mt_winner_before,mt_winner_after_candidateUV_plus_crit_expanded2688,was_mt_gan_win_before
63,63,28.524583670890912,18.199751597271156,29.484012239684844,7.660599708557129,7.5776286125183105,7.232892990112305,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
64,64,24.7100597287657,16.701032359601633,24.964384961547854,5.944510459899902,7.137726306915283,5.696527004241943,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
65,65,22.148883751156426,16.23947552161985,23.030750593845095,5.820770263671875,5.576780319213867,5.4403076171875,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
66,66,20.981857591368968,15.979342195015368,21.530374214490347,5.701828956604004,6.4086198806762695,5.358762264251709,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
67,67,20.679919922717943,14.773695042869097,21.05487092995534,5.030301094055176,6.6433844566345215,4.78212833404541,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
68,68,21.77134223692748,15.500930745161975,21.93892913921896,6.074338436126709,5.670867919921875,5.3598785400390625,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
69,69,24.168055816700438,16.112222498232782,25.13074025225807,5.17050838470459,6.406604290008545,5.2156195640563965,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,25.78170891344985,5.396136283874512,5.861793041229248,5.086774826049805,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
71,71,25.505047306429027,18.465741214218955,26.67527313164425,5.1588335037231445,7.186563014984131,5.521751880645752,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,28.006686215457968,4.796044826507568,5.719583988189697,5.409239768981934,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,29.290980152841787,4.9851861000061035,5.75114631652832,5.403845310211182,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,30.24755995426502,4.782100200653076,5.644299030303955,5.931797981262207,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,30.823286509210533,5.201173305511475,5.680557727813721,5.4814300537109375,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,31.414262199330174,5.207019329071045,6.450347900390625,5.547604084014893,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,31.298812330019842,6.132026672363281,6.000014781951904,5.521617412567139,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
78,78,30.300511724579902,19.95492094933438,30.94208315683247,5.8028388023376465,7.092807292938232,5.706409931182861,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
79,79,30.148051358309164,20.321240211337894,30.946185250980996,6.856454849243164,6.467032432556152,6.10997200012207,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
80,80,30.086252753371088,20.744918439924255,31.112618136563537,6.982686519622803,6.176682472229004,5.851737976074219,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
81,81,29.68907403762892,20.982889067881906,31.142136238112847,6.426537990570068,7.567525863647461,5.53842306137085,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
82,82,28.90089773637945,20.81634708740007,30.73635998152427,7.1840739250183105,6.303605079650879,5.829263687133789,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
83,83,28.194313716720707,21.794751727168247,30.23647392593812,6.560110569000244,6.599743366241455,5.331809997558594,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
84,84,29.14514380262554,21.106373639070085,30.533015602866783,5.271510124206543,8.559276580810547,5.3827948570251465,gan,gan,cnn,cnn,0
