sample_idx,training_size,delta_c_minus_uv_ssim_speed,delta_c_minus_uv_ssim_uv_mean,c_speed_ssim_gt_uv,c_uv_ssim_gt_uv
94,672,0.00022161992092140093,-0.004859388872526571,True,False
95,672,0.00024320210985573354,-0.004321943763804459,True,False
96,672,0.0028524900523354546,-0.004019375290791549,True,False
97,672,0.00243217784043237,-0.0038591190679673204,True,False
98,672,0.0026102304032007417,-0.003924728864098226,True,False
99,672,0.002724264040641078,-0.0033042326330050553,True,False
100,672,0.0023823943370764322,-0.003055301104500696,True,False
101,672,0.001957336821820199,-0.0042529037374072765,True,False
102,672,0.001496731648741756,-0.003095089511879201,True,False
103,672,0.001201371672510776,-0.0010607083010236718,True,False
104,672,0.002662749225170402,0.00046361700169694764,True,True
105,672,0.0015525786649900342,-0.0012886911588108063,True,False
106,672,0.0016917481427839443,-0.0024049474946131744,True,False
107,672,0.0015918569819010076,-0.002502554478064689,True,False
108,672,0.001851812363711236,-0.002489452742912235,True,False
109,672,0.0019695314506894546,0.0008567286950358355,True,True
110,672,0.0025097367811189875,-0.0028356963262103907,True,False
111,672,0.00229481999668113,-0.0031690057094952984,True,False
112,672,0.0022537961750029867,-0.0036624279169985563,True,False
113,672,0.0017953443210190212,-0.0039057001132940528,True,False
114,672,0.0013562821224119004,-0.005280801210865382,True,False
115,672,0.00011006647283706705,-0.0054815317549379294,True,False
116,672,0.0002374141725177692,-0.005425153810218575,True,False
117,672,-0.0009043811180651229,-0.005947607635346741,False,False
118,672,-0.0005984313627216409,-0.00636765182517518,False,False
119,672,-0.0006109318824104593,-0.006660755516032735,False,False
120,672,0.00034361118743742036,-0.006250973694126194,True,False
121,672,0.0003890458206248226,-0.005337226447355126,True,False
122,672,0.00023029171324051578,-0.00613662416583316,True,False
123,672,0.0010959228312377167,-0.0042874660388556585,True,False
124,672,0.0014938603599640166,-0.003976027639808755,True,False
125,672,0.0019540047377069047,-0.003794993675684921,True,False
126,672,0.0018051919139357997,-0.0039997695739324435,True,False
127,672,0.0013059248160921522,-0.004032214576367266,True,False
128,672,0.00046269749582938946,-0.004539207964369463,True,False
129,672,0.0010110553329335525,-0.003422955416534701,True,False
130,672,0.0036298527375510092,-0.004544124490055257,True,False
131,672,0.005684213785510539,-0.004613504316338224,True,False
132,672,0.001058736946611183,-0.0047370820337107045,True,False
133,672,0.0016468475082584977,-0.004484567271895279,True,False
134,672,0.0018883620808998192,-0.004520026746372641,True,False
135,672,0.0005348910882642111,-0.004474207691123722,True,False
136,672,0.003912933658006157,-0.004935096156508112,True,False
137,672,0.0006033157624053542,-0.004610448752063956,True,False
138,672,0.0007107218364723611,-0.005238014244195455,True,False
139,672,0.004971779365336104,-0.005098351732209405,True,False
140,672,0.0015437505186445266,-0.004379449073140584,True,False
141,672,0.002874274951503164,-0.003978098194014068,True,False
142,672,0.0035604846935815004,-0.0046888627904069224,True,False
143,672,0.001810361296648355,-0.005810238824738412,True,False
144,672,-0.00015674413921951125,-0.007190176295185369,False,False
145,672,-0.0014189344929457226,-0.0076566585823054645,False,False
146,672,-0.003938846393418571,-0.00896762747834412,False,False
147,672,-0.005201283177805216,-0.00937693930284289,False,False
148,672,-0.005637671847198877,-0.00914427428416087,False,False
149,672,-0.006179562863983801,-0.008061858653740983,False,False
150,672,-0.005770455073086933,-0.005819338436695909,False,False
151,672,-0.005492040469233794,-0.005388550378595425,False,False
152,672,-0.0022336716071325036,-0.004870046120803884,False,False
153,672,-0.005569028655168284,-0.006678791394841954,False,False
154,672,-0.005897252684237242,-0.0068707527495794896,False,False
