sample_idx,method,training_size,family,delta_ssim_speed_vs_cnn,delta_ssim_uv_mean_vs_cnn,speed_ssim_gt_cnn,uv_ssim_gt_cnn
159,candidateC_2688,2688,candidateC,0.06988961025426466,0.06477691576374378,True,True
160,candidateC_2688,2688,candidateC,0.05954140645734185,0.05906589559938513,True,True
161,candidateC_2688,2688,candidateC,0.052450899284355645,0.06749413722143272,True,True
162,candidateC_2688,2688,candidateC,0.04746343090021998,0.07303033782820612,True,True
163,candidateC_2688,2688,candidateC,0.03815312894356149,0.06341287994045741,True,True
164,candidateC_2688,2688,candidateC,0.06004298573248734,0.06664417210468221,True,True
165,candidateC_2688,2688,candidateC,0.05535477964602076,0.07114912785457639,True,True
166,candidateC_2688,2688,candidateC,0.036323468534930736,0.06198431978105989,True,True
167,candidateC_2688,2688,candidateC,0.03696172531915942,0.05832533336521206,True,True
0,candidateC_672,672,candidateC,0.03095913851099752,0.048951887387937765,True,True
1,candidateC_672,672,candidateC,0.04742329540024559,0.05137028910727082,True,True
2,candidateC_672,672,candidateC,0.040999814933317835,0.046254498789598086,True,True
3,candidateC_672,672,candidateC,0.048474921301821294,0.05034211959378876,True,True
4,candidateC_672,672,candidateC,0.042788073649144054,0.04321906249604757,True,True
5,candidateC_672,672,candidateC,0.051084037719505426,0.05288685607940913,True,True
6,candidateC_672,672,candidateC,0.05602285305798371,0.062238985272740854,True,True
7,candidateC_672,672,candidateC,0.0500870385593708,0.05498949772301709,True,True
8,candidateC_672,672,candidateC,0.05459879623146058,0.05786686510375105,True,True
9,candidateC_672,672,candidateC,0.05080404931809235,0.05599348051424702,True,True
10,candidateC_672,672,candidateC,0.050849325436261084,0.0576599220316627,True,True
11,candidateC_672,672,candidateC,0.05793225493935705,0.063382075798043,True,True
12,candidateC_672,672,candidateC,0.05772454648248293,0.057655944191409514,True,True
13,candidateC_672,672,candidateC,0.04859084588675877,0.06256223163761332,True,True
14,candidateC_672,672,candidateC,0.056099171812880155,0.0643210293133657,True,True
15,candidateC_672,672,candidateC,0.05522337008387246,0.06726914171637821,True,True
16,candidateC_672,672,candidateC,0.05464780053623086,0.06396841106527462,True,True
17,candidateC_672,672,candidateC,0.05385245044072884,0.06057744736629389,True,True
18,candidateC_672,672,candidateC,0.057491400236013845,0.06259296750653665,True,True
19,candidateC_672,672,candidateC,0.07905314180769274,0.07362860903639934,True,True
20,candidateC_672,672,candidateC,0.07221000229013153,0.06883095618970003,True,True
21,candidateC_672,672,candidateC,0.07089364313889734,0.07046401676763303,True,True
22,candidateC_672,672,candidateC,0.06935422546775805,0.07662852587140767,True,True
23,candidateC_672,672,candidateC,0.060405552612761926,0.06463213651387267,True,True
24,candidateC_672,672,candidateC,0.03604926250747398,0.060848188645211576,True,True
25,candidateC_672,672,candidateC,0.011909213486243186,0.048016980569931644,True,True
26,candidateC_672,672,candidateC,0.05626835163938082,0.06353078173631288,True,True
27,candidateC_672,672,candidateC,0.06346219285833177,0.064368262101542,True,True
28,candidateC_672,672,candidateC,0.05991572111914212,0.05783435559107675,True,True
29,candidateC_672,672,candidateC,0.04174200035298681,0.04972571713720919,True,True
30,candidateC_672,672,candidateC,0.029806417839649102,0.04465130484237134,True,True
31,candidateC_672,672,candidateC,0.04376828916109132,0.04565390427115612,True,True
32,candidateC_672,672,candidateC,0.03203606659431124,0.04028680219117464,True,True
33,candidateC_672,672,candidateC,0.03403588979641625,0.036172939115552305,True,True
34,candidateC_672,672,candidateC,0.03764604529133686,0.040790021268092946,True,True
35,candidateC_672,672,candidateC,0.04810923482245144,0.04374186170636318,True,True
36,candidateC_672,672,candidateC,0.04003717393292616,0.04268598064722229,True,True
37,candidateC_672,672,candidateC,0.039882486594005284,0.04582572857657463,True,True
38,candidateC_672,672,candidateC,0.04643943027757236,0.042676274810581116,True,True
39,candidateC_672,672,candidateC,0.042485622458390604,0.043972561587872994,True,True
40,candidateC_672,672,candidateC,0.0383807996711476,0.040824674817329765,True,True
41,candidateC_672,672,candidateC,0.03890491554800091,0.040495521158532166,True,True
42,candidateC_672,672,candidateC,0.036336976255420206,0.0423922637051074,True,True
43,candidateC_672,672,candidateC,0.0371131779949041,0.04265737203222375,True,True
44,candidateC_672,672,candidateC,0.035171011186420964,0.042075018896719496,True,True
45,candidateC_672,672,candidateC,0.036791065291607694,0.04714413705277998,True,True
46,candidateC_672,672,candidateC,0.03835212142177913,0.05526470975363007,True,True
47,candidateC_672,672,candidateC,0.03965871565606005,0.0547881316781732,True,True
48,candidateC_672,672,candidateC,0.036068625927716313,0.04617992397867443,True,True
49,candidateC_672,672,candidateC,0.03473656468523367,0.04818616034031631,True,True
50,candidateC_672,672,candidateC,0.04285854633967823,0.04954239656273973,True,True
51,candidateC_672,672,candidateC,0.0408785305706717,0.04585388317790495,True,True
52,candidateC_672,672,candidateC,0.03851030967303215,0.0455070680449885,True,True
53,candidateC_672,672,candidateC,0.0382877806388221,0.04487641712031021,True,True
54,candidateC_672,672,candidateC,0.03915301041690289,0.04557845842879715,True,True
55,candidateC_672,672,candidateC,0.03870649929726211,0.046126898556879015,True,True
56,candidateC_672,672,candidateC,0.041105707660969104,0.047257927248928855,True,True
57,candidateC_672,672,candidateC,0.04228832884806322,0.04890384147976112,True,True
58,candidateC_672,672,candidateC,0.04312546607673717,0.04804758911125684,True,True
