sample_idx,method,family,training_size,ssim_u,ssim_v,ssim_uv_mean,ssim_speed
43,gan,baseline,baseline,0.7728075489782843,0.6730560936138067,0.7229318212960455,0.7453212014355581
44,gan,baseline,baseline,0.8123916179734749,0.6706192940776773,0.741505456025576,0.7958534914149228
45,gan,baseline,baseline,0.7850690675272779,0.6576801461494645,0.7213746068383712,0.7727502433470456
46,gan,baseline,baseline,0.7387180190544644,0.6853133231475881,0.7120156711010263,0.7249096567621579
47,gan,baseline,baseline,0.7639430702343734,0.6821609048952054,0.7230519875647894,0.7547791989822212
48,gan,baseline,baseline,0.7827299717345103,0.6778672404816785,0.7302986061080944,0.7539325883725401
49,gan,baseline,baseline,0.758445864639626,0.6891075136580527,0.7237766891488393,0.7369749164191766
50,gan,baseline,baseline,0.7321324282469691,0.666886515596757,0.6995094719218631,0.7136702948327388
51,gan,baseline,baseline,0.7185516064000129,0.6562906158060778,0.6874211111030454,0.6911625071307107
52,gan,baseline,baseline,0.7081188008052315,0.6617589898865347,0.684938895345883,0.6592424959211912
53,gan,baseline,baseline,0.7227626118205913,0.6555527639450082,0.6891576878827997,0.6820381031308219
54,gan,baseline,baseline,0.7250285271808692,0.6700497278629427,0.6975391275219059,0.6904732307094859
55,gan,baseline,baseline,0.7239161474515071,0.6682807216040408,0.696098434527774,0.6901476636310315
56,gan,baseline,baseline,0.7169963109791528,0.6792064664691432,0.6981013887241481,0.6760350174707002
57,gan,baseline,baseline,0.7162724248480308,0.6497581078801635,0.6830152663640972,0.6756215496007237
58,gan,baseline,baseline,0.7113282216308995,0.6465606077491479,0.6789444146900236,0.6590060590608595
59,gan,baseline,baseline,0.7184104488132481,0.6470496527855397,0.6827300507993939,0.6819198017572041
60,gan,baseline,baseline,0.7163712322789783,0.6323466778916773,0.6743589550853277,0.6650773175021404
61,gan,baseline,baseline,0.6837358496453118,0.6809292829006408,0.6823325662729762,0.6462327563276118
62,gan,baseline,baseline,0.6922415761634674,0.6025156821510059,0.6473786291572367,0.6485906179865175
63,gan,baseline,baseline,0.6907076120047068,0.608467128791126,0.6495873703979164,0.6525128390654886
64,gan,baseline,baseline,0.7071369053263807,0.6609711510493875,0.6840540281878842,0.6616205525838993
65,gan,baseline,baseline,0.6853513960367198,0.6289839110385391,0.6571676535376294,0.6359927363339729
66,gan,baseline,baseline,0.673446717543982,0.6396213949024248,0.6565340562232034,0.636194663691341
67,gan,baseline,baseline,0.6934203143928069,0.6228428352002805,0.6581315747965437,0.6402498418602139
68,gan,baseline,baseline,0.732866057991561,0.6018893094324036,0.6673776837119823,0.6612588892667826
69,gan,baseline,baseline,0.7193734196057046,0.6014264729295098,0.6603999462676071,0.6520265340623868
70,gan,baseline,baseline,0.7384617178611323,0.6026843446234169,0.6705730312422746,0.6876929092942998
