method,sample_idx,psnr,ssim,speed_mae,speed_rmse,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_delta,grad_mae,grad_w1,grad_kurtosis_delta,exceed_err_5ms,exceed_err_10ms,exceed_err_15ms,exceed_err_20ms,exceed_err_p90,exceed_err_p95,exceed_err_p99,exceed_frac_abs_delta_t5,exceed_frac_abs_delta_t10,exceed_frac_abs_delta_t15,exceed_frac_abs_delta_p90,exceed_frac_abs_delta_p95,exceed_frac_abs_delta_p99
cnn,145,29.868825785114463,0.6987455359494039,0.8559692513919896,1.2999969027971952,-19.948536308555923,204.49724836233253,343.77849093582904,28.390919509918678,1.2068637403731584,-0.37536976864935,0.41226879876806843,0.27569211050910514,2.2051658858932495,0.007160000000000055,-0.0049960000000000004,-0.008187999999999987,-0.0006840000000000001,-0.009080000000000005,-0.006496000000000002,-0.0034000000000000002,0.00716,0.004996,0.008188,0.00906,0.006448,0.003384
gan,145,27.81955899574907,0.5915235903598209,1.1312315568376596,1.672242079277255,147.80776435912054,293.57451712087186,501.9888180963234,147.80776481851333,0.45525694261265737,-0.5526045211893744,0.45635861283016355,0.04432306974856259,3.5300787994204352,0.008140000000000036,0.06384000000000001,0.03765200000000002,0.0026439999999999996,0.031927999999999984,0.016112,0.005188,0.00814,0.06384,0.037652,0.031948,0.01616,0.005204
bicubic,145,30.846361453313648,0.70596539063934,0.756446398173948,1.214837553487019,-37.74261370347615,175.27613760393453,312.23491622754625,50.469010678228614,1.7895435272411195,0.6859644731111265,0.44509120984004097,0.3932165822393114,-3.0515614018093338,0.01329199999999997,-0.006556000000000006,-0.014451999999999993,-0.0014880000000000002,-0.012792000000000012,-0.008568000000000006,-0.0039120000000000005,0.013292,0.006556,0.014452,0.012772,0.00852,0.003896
cnn,146,30.217437493821446,0.7058718758579288,0.8424428784484995,1.2789922015474913,-15.418218927034559,188.29873988822948,317.0423456080148,22.875691227628867,1.1428784567793335,-0.30656818332461633,0.40133853139049774,0.2581565563962311,1.655772307180122,0.007267999999999941,-0.0047639999999999905,-0.007559999999999997,-0.0007359999999999999,-0.006659999999999999,-0.004272000000000005,-0.001824000000000001,0.007268,0.004764,0.00756,0.006608,0.004188,0.001808
gan,146,28.062514627219457,0.5973304548893831,1.1302655807762148,1.6537451169061188,144.5364466232515,276.7478856413447,470.17249028042124,144.53644662448175,0.43080143850284114,-0.46447803867588,0.45562372702238835,0.04993379592923749,2.8852161263133667,0.011004000000000014,0.07352799999999993,0.037592000000000014,0.0019399999999999999,0.036175999999999986,0.019335999999999992,0.006563999999999999,0.011004,0.073528,0.037592,0.036228,0.01942,0.00658
bicubic,146,31.305848000741637,0.7165589904711371,0.7341007889338317,1.1701576811731975,-34.08113470057637,158.59210354476073,281.8753675592963,45.60793828968445,1.741705471631273,0.7819167672754777,0.43053975413224166,0.3782396491873679,-3.5723393339725256,0.01518799999999998,-0.010963999999999974,-0.010504,-0.00124,-0.01058400000000001,-0.006500000000000006,-0.0034200000000000003,0.015188,0.010964,0.010504,0.010532,0.006416,0.003404
cnn,147,30.393444504602453,0.7004487054891361,0.8455522868424636,1.2847863134796387,-9.246660533309866,177.95485735693026,302.1924073109572,16.775096167756733,1.0059301629260524,-0.22384869761103765,0.3898591844211289,0.2341190153174431,0.6308009078404435,0.007863999999999982,-0.00541999999999998,-0.004671999999999996,-0.0015480000000000001,-0.003028000000000003,-0.003944000000000003,-0.0033680000000000003,0.007864,0.00542,0.004672,0.003024,0.003928,0.003364
gan,147,28.43750090042945,0.5981085398804876,1.1180545384832812,1.6308679546304015,133.95472805659858,254.90829941601393,432.4323546519808,133.95478300804245,0.3919395182964803,-0.34553303812357417,0.4477267031142928,0.04368514467237275,2.765115236812882,0.012680000000000025,0.07724399999999998,0.030628000000000002,0.0016679999999999998,0.033808000000000005,0.022099999999999995,0.004031999999999999,0.01268,0.077244,0.030628,0.033812,0.022116,0.004036
bicubic,147,31.776741009686393,0.720722257875747,0.7176050521861496,1.1347138331315363,-31.090125297372428,144.68560526924506,256.1185993282109,40.67406770541275,1.6467111363227236,0.8721774503804598,0.4213626665134633,0.37121587557304886,-2.0997467122030677,0.018000000000000016,-0.012800000000000034,-0.010335999999999998,-0.0007520000000000001,-0.010152000000000008,-0.008288000000000004,-0.0027600000000000003,0.018,0.0128,0.010336,0.010148,0.008272,0.002756
cnn,148,30.714373346521246,0.6905907150604819,0.8553826153024322,1.2900698955094765,-12.0823178990635,170.31301285796044,296.7076744063606,17.52923752567592,0.9614381693347732,-0.24613033328294964,0.3939411366462624,0.2348806049852917,1.9183634338837017,0.0049480000000000635,-0.0016519999999999868,-0.005304000000000003,-0.002268,-0.007780000000000009,-0.004984000000000002,-0.0011160000000000007,0.004948,0.001652,0.005304,0.00768,0.004984,0.001116
