figure_id,panel_order,panel_group,panel_type,method_id,source_path,final_visible_status
1,16,pd_scalar_fallback,pd_evidence,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_scalar_fallback.png,scalar_fallback
1,17,pd_scalar_fallback,pd_evidence,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_scalar_fallback.png,scalar_fallback
1,18,pd_coordinate,pd_evidence,candidate_c,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_candidate_c.png,visible
1,19,pd_coordinate,pd_evidence,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_f3_grad_crit.png,visible
1,20,pd_coordinate,pd_evidence,f2_grad_levelset_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_f2_grad_levelset_e2.png,visible
1,21,pd_coordinate,pd_evidence,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_uv_e2.png,visible
1,22,manual_topology,mt_evidence,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/GT_mt.png,visible
1,23,manual_topology,mt_evidence,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/cnn_mt.png,visible
1,24,manual_topology,mt_evidence,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/gan_mt.png,visible
1,25,manual_topology,mt_evidence,candidate_c,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/candidate_c_mt.png,visible
1,26,manual_topology,mt_evidence,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/f3_grad_crit_mt.png,visible
1,27,manual_topology,mt_evidence,f2_grad_levelset_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/f2_grad_levelset_e2_mt.png,visible
1,28,manual_topology,mt_evidence,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/uv_e2_mt.png,visible
2,1,scripted_per_method,speed_fields,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/speed_fields_GT.png,visible
2,2,scripted_per_method,speed_fields,bicubic,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/speed_fields_bicubic.png,visible
2,3,scripted_per_method,speed_fields,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/speed_fields_cnn.png,visible
2,4,scripted_per_method,speed_fields,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/speed_fields_gan.png,visible
2,5,scripted_per_method,error_maps,bicubic,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/error_maps_bicubic.png,visible
2,6,scripted_per_method,error_maps,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/error_maps_cnn.png,visible
2,7,scripted_per_method,error_maps,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/error_maps_gan.png,visible
2,8,pd_coordinate,pd_comparison,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/pd_comparison_GT.png,visible
2,9,pd_scalar_fallback,pd_comparison,bicubic,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/pd_comparison_scalar_fallback.png,scalar_fallback
2,10,pd_scalar_fallback,pd_comparison,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/pd_comparison_scalar_fallback.png,scalar_fallback
2,11,pd_scalar_fallback,pd_comparison,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/pd_comparison_scalar_fallback.png,scalar_fallback
2,12,manual_topology,mt_comparison,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/GT_mt.png,visible
2,13,manual_topology,mt_comparison,bicubic,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/bicubic_mt.png,visible
2,14,manual_topology,mt_comparison,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/cnn_mt.png,visible
2,15,manual_topology,mt_comparison,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/gan_mt.png,visible
2,16,scripted_figure_level,metric_strip,,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/metric_strip.png,visible
3,1,scripted_per_method,speed_fields,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/speed_fields_GT.png,visible
3,2,scripted_per_method,speed_fields,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/speed_fields_cnn.png,visible
3,3,scripted_per_method,speed_fields,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/speed_fields_f3_grad_crit.png,visible
