sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2,pd_winner_before,pd_winner_after_candidateE2,mt_winner_before,mt_winner_after_candidateE2,was_mt_gan_win_before
114,114,24.541486090961616,16.84887862793787,24.823777285089456,5.123978614807129,5.899235248565674,5.043895244598389,gan,gan,cnn,candidateE2,0
115,115,25.270960377659716,17.25298248796687,25.59262946411653,4.689971923828125,7.232174873352051,4.709284782409668,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,25.415157531065756,5.35050630569458,7.636551856994629,5.36751127243042,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,27.502501758054226,5.260716915130615,8.683184623718262,5.348495006561279,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,28.39444814921721,6.84329080581665,9.465571403503418,6.353506088256836,gan,gan,cnn,candidateE2,0
119,119,27.187847892928154,20.557132674744736,27.648973976904706,5.218785285949707,6.129123687744141,5.250578880310059,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,28.49787953494308,4.889072418212891,7.93386173248291,4.959049701690674,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,29.457905595616566,5.373913288116455,7.535200595855713,5.415183067321777,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,28.316648553795346,5.264456272125244,7.450175762176514,5.5934929847717285,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,29.457912549967126,6.196282386779785,8.431406021118164,6.268685817718506,gan,gan,cnn,cnn,0
124,124,28.184626374879375,22.119830159019614,28.694628701838532,6.166434288024902,6.818744659423828,6.18543004989624,gan,gan,cnn,cnn,0
125,125,28.43981263564626,21.313574573250694,29.050995478721337,5.748098373413086,10.086677551269531,5.881651401519775,gan,gan,cnn,cnn,0
126,126,28.023492407781937,22.88972837862729,28.72493787024372,4.992148399353027,8.052214622497559,5.198545455932617,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,30.8309879694691,5.114649772644043,13.074076652526855,5.421459197998047,gan,gan,cnn,cnn,0
128,128,28.391923421353447,23.315252316365218,29.531313235444173,5.476268768310547,7.28298807144165,5.959519386291504,gan,gan,cnn,cnn,0
129,129,29.465245102227872,24.209883048645104,31.020869793493695,5.373117923736572,9.33877944946289,5.864867210388184,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,31.5471792261184,5.609683513641357,11.313863754272461,6.835227012634277,gan,gan,cnn,cnn,0
131,131,33.0539968727652,25.23355611194131,34.36290425295934,6.2030792236328125,12.011610984802246,7.358262538909912,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,35.44600668806523,6.331444263458252,12.388164520263672,7.945048809051514,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,36.076167348428555,6.299666404724121,7.647167682647705,8.454715728759766,gan,gan,cnn,cnn,0
134,134,32.518921837890055,23.04058254540847,33.93207754755418,7.141453742980957,13.276667594909668,7.706424713134766,gan,gan,cnn,cnn,0
135,135,29.944179549584543,20.502693507156053,31.455802219395846,6.298990726470947,11.993122100830078,7.713066101074219,gan,gan,cnn,cnn,0
136,136,27.83279512215704,19.71188765946126,29.184088085971705,6.232182025909424,6.450465202331543,7.383106708526611,gan,gan,cnn,cnn,0
137,137,26.69652879915387,18.35521341147029,28.08300498174438,5.208233833312988,9.66958236694336,5.627100467681885,gan,gan,cnn,cnn,0
138,138,26.265900126493325,18.5898403985513,27.418510236798713,5.562473773956299,8.217479705810547,6.033626556396484,gan,gan,cnn,cnn,0
139,139,25.72843674372112,17.55339321269266,26.668479821779997,5.6482439041137695,9.790724754333496,6.2878875732421875,gan,gan,cnn,cnn,0
140,140,26.928885115678263,17.632487734588345,28.106131654600166,5.719569206237793,11.421890258789062,6.233214378356934,gan,gan,cnn,cnn,0
141,141,30.122683212798776,22.35126448334632,31.406058080660223,6.186624050140381,8.889102935791016,6.853033542633057,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,33.40110809478472,7.186554908752441,8.55953311920166,7.935880661010742,gan,gan,cnn,cnn,0
143,143,31.729557469133276,25.608920781987035,33.08858147497422,5.864097595214844,9.649337768554688,6.922715187072754,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,33.602768817506615,5.560759544372559,9.771649360656738,5.973954677581787,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,32.18053882848903,5.902344226837158,8.558032035827637,6.034926891326904,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,31.221502821225382,5.959416389465332,7.056334018707275,6.55720853805542,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,28.77085606557472,5.6108717918396,6.8347039222717285,6.213574409484863,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,28.141334301732467,5.0148024559021,8.882506370544434,5.402932643890381,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,26.942733348777285,5.752551078796387,8.038224220275879,6.5654215812683105,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,25.582439501771336,5.291886329650879,7.924254417419434,5.882802963256836,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,25.42292284461291,5.580901145935059,7.460690975189209,6.0198845863342285,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,25.542466490838127,5.931854248046875,8.478921890258789,5.823243618011475,gan,gan,cnn,candidateE2,0
153,153,25.168802860244767,16.23765159094386,25.7699949209912,6.290019989013672,6.548172950744629,6.425118923187256,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,25.54899133273711,5.889771461486816,5.736759185791016,6.059920787811279,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,26.263564187658066,6.413660526275635,6.612644195556641,6.171390533447266,gan,gan,cnn,candidateE2,0
156,156,25.16401321091786,17.879759557761357,25.325009378694773,5.162914276123047,9.264598846435547,5.910562038421631,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,25.988630502967577,4.567626476287842,8.282842636108398,4.630477428436279,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,27.559120927498103,5.708489894866943,8.312358856201172,5.946478366851807,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,24.77685065004339,5.012121677398682,10.700226783752441,4.993558883666992,gan,gan,cnn,candidateE2,0
160,160,21.188537318324133,20.14027527603938,21.750445452575725,5.1832075119018555,13.9108247756958,5.470206260681152,gan,gan,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,20.169018139959118,5.7158894538879395,11.7100830078125,5.132167816162109,gan,gan,cnn,candidateE2,0
162,162,18.27105324592802,19.457879947992573,18.4123581700209,4.5405659675598145,9.695740699768066,4.3510260581970215,cnn,cnn,cnn,candidateE2,0
163,163,19.37037318892002,20.44637029980189,19.3476346055687,5.698920726776123,6.788956165313721,5.363319396972656,cnn,candidateE2,cnn,candidateE2,0
164,164,21.46365087746109,18.82963529736202,22.084798184432326,5.2430009841918945,10.968896865844727,5.683117389678955,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,23.601232975122333,5.059387683868408,11.26945972442627,5.267576694488525,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,24.52150987656028,6.106489181518555,10.583955764770508,5.607752323150635,gan,gan,cnn,candidateE2,0
167,167,23.479887971191566,21.661112948338108,24.235443659282193,5.800627708435059,7.244186878204346,5.555367946624756,gan,gan,cnn,candidateE2,0
