sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda,was_mt_gan_win_before
131,131,33.0539968727652,25.23355611194131,31.84042680730574,6.2030792236328125,12.011610984802246,5.808904647827148,gan,gan,cnn,candidateE2_fixed_lowlambda,0
132,132,33.926806040190684,25.90821112354989,32.90724603497218,6.331444263458252,12.388164520263672,6.096010684967041,gan,gan,cnn,candidateE2_fixed_lowlambda,0
133,133,34.52507377701583,25.596877045000497,32.928055028505796,6.299666404724121,7.647167682647705,6.036264896392822,gan,gan,cnn,candidateE2_fixed_lowlambda,0
134,134,32.518921837890055,23.04058254540847,31.211127149384954,7.141453742980957,13.276667594909668,5.589813232421875,gan,gan,cnn,candidateE2_fixed_lowlambda,0
135,135,29.944179549584543,20.502693507156053,28.651641726847995,6.298990726470947,11.993122100830078,5.371469974517822,gan,gan,cnn,candidateE2_fixed_lowlambda,0
136,136,27.83279512215704,19.71188765946126,26.688539708397453,6.232182025909424,6.450465202331543,5.57262659072876,gan,gan,cnn,candidateE2_fixed_lowlambda,0
137,137,26.69652879915387,18.35521341147029,25.5968999553511,5.208233833312988,9.66958236694336,4.666652679443359,gan,gan,cnn,candidateE2_fixed_lowlambda,0
138,138,26.265900126493325,18.5898403985513,25.18351154139035,5.562473773956299,8.217479705810547,5.0867838859558105,gan,gan,cnn,candidateE2_fixed_lowlambda,0
139,139,25.72843674372112,17.55339321269266,24.82691556565221,5.6482439041137695,9.790724754333496,5.040236473083496,gan,gan,cnn,candidateE2_fixed_lowlambda,0
140,140,26.928885115678263,17.632487734588345,25.99059384976727,5.719569206237793,11.421890258789062,5.227269172668457,gan,gan,cnn,candidateE2_fixed_lowlambda,0
141,141,30.122683212798776,22.35126448334632,28.900364721164664,6.186624050140381,8.889102935791016,5.831849575042725,gan,gan,cnn,candidateE2_fixed_lowlambda,0
142,142,31.864668972443802,25.40867751345393,30.20134237994261,7.186554908752441,8.55953311920166,6.196117877960205,gan,gan,cnn,candidateE2_fixed_lowlambda,0
143,143,31.729557469133276,25.608920781987035,30.36848264631796,5.864097595214844,9.649337768554688,5.625011920928955,gan,gan,cnn,candidateE2_fixed_lowlambda,0
144,144,31.838603860361527,24.790495069985838,30.62402438033972,5.560759544372559,9.771649360656738,5.705644607543945,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,29.326576092969418,5.902344226837158,8.558032035827637,6.085023403167725,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,28.2806769785549,5.959416389465332,7.056334018707275,6.354883670806885,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,25.824112399166946,5.6108717918396,6.8347039222717285,5.472661972045898,gan,gan,cnn,candidateE2_fixed_lowlambda,0
148,148,26.258461074996504,21.1331690923618,25.866309375460634,5.0148024559021,8.882506370544434,5.188868522644043,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,24.74999782438794,5.752551078796387,8.038224220275879,5.615036964416504,gan,gan,cnn,candidateE2_fixed_lowlambda,0
150,150,24.128591365700505,20.19277068635915,23.89621175642928,5.291886329650879,7.924254417419434,5.213641166687012,gan,gan,cnn,candidateE2_fixed_lowlambda,0
151,151,24.240085612250784,19.596870056685123,24.18481478319742,5.580901145935059,7.460690975189209,5.381086826324463,gan,gan,cnn,candidateE2_fixed_lowlambda,0
152,152,24.594151699851988,17.338820427078797,24.515867878229443,5.931854248046875,8.478921890258789,5.892496109008789,gan,gan,cnn,candidateE2_fixed_lowlambda,0
153,153,25.168802860244767,16.23765159094386,25.18378515317628,6.290019989013672,6.548172950744629,6.229738712310791,gan,gan,cnn,candidateE2_fixed_lowlambda,0
154,154,25.31020070022765,16.834477000311573,25.345394860666513,5.889771461486816,5.736759185791016,6.261453628540039,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,26.27498431471096,6.413660526275635,6.612644195556641,6.1310296058654785,gan,gan,cnn,candidateE2_fixed_lowlambda,0
156,156,25.16401321091786,17.879759557761357,25.4473441427022,5.162914276123047,9.264598846435547,5.27285099029541,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,25.9810877748274,4.567626476287842,8.282842636108398,4.749385356903076,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,27.6172382046357,5.708489894866943,8.312358856201172,5.948967933654785,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,24.70412938567045,5.012121677398682,10.700226783752441,5.2987871170043945,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,22.06307082273669,5.1832075119018555,13.9108247756958,4.962283134460449,gan,gan,cnn,candidateE2_fixed_lowlambda,0
161,161,19.540402210515502,19.232825594053608,20.10231099226616,5.7158894538879395,11.7100830078125,4.929897308349609,gan,gan,cnn,candidateE2_fixed_lowlambda,0
162,162,18.27105324592802,19.457879947992573,18.70866877957675,4.5405659675598145,9.695740699768066,4.607345104217529,cnn,cnn,cnn,cnn,0
163,163,19.37037318892002,20.44637029980189,19.80559261680338,5.698920726776123,6.788956165313721,5.203365802764893,cnn,cnn,cnn,candidateE2_fixed_lowlambda,0
164,164,21.46365087746109,18.82963529736202,22.268936982183913,5.2430009841918945,10.968896865844727,5.545472621917725,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,23.863400739232414,5.059387683868408,11.26945972442627,5.040897369384766,gan,gan,cnn,candidateE2_fixed_lowlambda,0
166,166,23.890736675966988,20.79692555045691,24.829786229250903,6.106489181518555,10.583955764770508,5.735880374908447,gan,gan,cnn,candidateE2_fixed_lowlambda,0
167,167,23.479887971191566,21.661112948338108,24.661309752848624,5.800627708435059,7.244186878204346,5.73694372177124,gan,gan,cnn,candidateE2_fixed_lowlambda,0
