sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_expanded2688,pd_winner_before,pd_winner_after_candidateB_expanded2688,mt_winner_before,mt_winner_after_candidateB_expanded2688,was_mt_gan_win_before
155,155,26.088776073112513,17.444078563809867,18.65076868789481,6.413660526275635,6.612644195556641,6.188361167907715,gan,gan,cnn,candidateB_expanded2688,0
156,156,25.16401321091786,17.879759557761357,19.169860928351913,5.162914276123047,9.264598846435547,4.935438632965088,gan,gan,cnn,candidateB_expanded2688,0
157,157,25.57399551509901,18.686237526393793,20.88290534427906,4.567626476287842,8.282842636108398,5.0117621421813965,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,22.598987795667085,5.708489894866943,8.312358856201172,5.495445728302002,gan,candidateB_expanded2688,cnn,candidateB_expanded2688,0
159,159,24.310343375521082,19.84507792462866,20.097282288416,5.012121677398682,10.700226783752441,5.256216049194336,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,18.580371473737454,5.1832075119018555,13.9108247756958,6.557303428649902,gan,candidateB_expanded2688,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,19.424784995075697,5.7158894538879395,11.7100830078125,5.893233776092529,gan,gan,cnn,cnn,0
162,162,18.27105324592802,19.457879947992573,18.569178026298,4.5405659675598145,9.695740699768066,5.966322898864746,cnn,cnn,cnn,cnn,0
163,163,19.37037318892002,20.44637029980189,19.946162426546508,5.698920726776123,6.788956165313721,6.091559886932373,cnn,cnn,cnn,cnn,0
164,164,21.46365087746109,18.82963529736202,21.28444766331505,5.2430009841918945,10.968896865844727,6.05609655380249,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,21.76258004269011,5.059387683868408,11.26945972442627,5.760110855102539,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,22.60025879494406,6.106489181518555,10.583955764770508,7.552186965942383,gan,gan,cnn,cnn,0
167,167,23.479887971191566,21.661112948338108,22.392058187156596,5.800627708435059,7.244186878204346,7.286831855773926,gan,gan,cnn,cnn,0
