sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda_expanded1344,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda_expanded1344,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda_expanded1344,was_mt_gan_win_before
106,106,30.092821360744658,20.00547041151677,29.66432982949424,5.767349720001221,6.75129508972168,5.670286178588867,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
107,107,29.64376642955138,20.682183399063746,29.231786786298894,5.574344635009766,7.6041154861450195,5.509599685668945,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
108,108,28.940126674621943,21.1993064034262,28.548996832083795,5.6898322105407715,7.595790386199951,5.676667213439941,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
109,109,28.97319829057234,20.853111383838083,28.545600592096665,5.088190078735352,7.198193550109863,5.23407506942749,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,29.05149808755102,5.806641101837158,6.568319320678711,5.812060832977295,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,27.902617931206464,5.513612270355225,8.167459487915039,5.642088413238525,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,27.300021517876317,5.637857913970947,6.682409286499023,5.520868301391602,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
113,113,26.010710160777133,18.415536047943895,25.831158376280214,5.502909183502197,6.949485778808594,5.486276626586914,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
114,114,24.541486090961616,16.84887862793787,24.27604580664155,5.123978614807129,5.899235248565674,5.049227237701416,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
115,115,25.270960377659716,17.25298248796687,25.103016504702587,4.689971923828125,7.232174873352051,4.5490288734436035,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
