sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateC_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateC_expanded1344,pd_winner_before,pd_winner_after_candidateC_expanded1344,mt_winner_before,mt_winner_after_candidateC_expanded1344,was_mt_gan_win_before
89,89,24.29846982632471,17.197907308437554,20.11357817128533,6.017302513122559,6.256072521209717,6.315115928649902,gan,gan,cnn,cnn,0
90,90,22.206834090995343,17.32676746960286,18.108844212726574,5.257880687713623,5.663510322570801,5.600226879119873,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,17.35550547012968,5.508337497711182,5.519831657409668,6.63574743270874,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,17.651549910417575,5.735818386077881,5.677903175354004,5.742583751678467,gan,gan,gan,gan,1
93,93,24.402894658345392,18.13548367922437,20.167754719032846,6.506997585296631,6.816009521484375,7.477895259857178,gan,gan,cnn,cnn,0
94,94,24.570031527820365,20.006869187749356,22.14531294071615,5.102908611297607,6.517361164093018,5.893401622772217,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,22.697808079484126,5.015480041503906,6.677723407745361,6.089163780212402,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,23.934144960725245,5.121858596801758,7.258078575134277,6.1085638999938965,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,25.010200129693022,5.011539936065674,7.223494529724121,5.858998775482178,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,25.203122902693128,4.942448139190674,8.764951705932617,5.422760009765625,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,25.433348614061984,5.342334747314453,7.760592460632324,6.003785610198975,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,25.10225356081901,5.912055015563965,7.617006778717041,5.879665374755859,gan,gan,cnn,candidateC_expanded1344,0
101,101,30.40796712150836,20.937383941054357,24.561566051597595,5.357294082641602,7.0666680335998535,5.851835250854492,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,23.343132825341733,5.164434909820557,8.231893539428711,5.768538951873779,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,23.674162240548764,5.102769374847412,6.314839839935303,5.402198314666748,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,23.64709895021267,4.829194068908691,7.393864154815674,5.253788471221924,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,24.09707833299216,5.33697509765625,6.823482513427734,5.654250144958496,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,24.00654171709445,5.767349720001221,6.75129508972168,5.562249183654785,gan,gan,cnn,candidateC_expanded1344,0
107,107,29.64376642955138,20.682183399063746,23.262583337460192,5.574344635009766,7.6041154861450195,5.581551551818848,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,24.066500849712515,5.6898322105407715,7.595790386199951,5.732151508331299,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,23.758310741283406,5.088190078735352,7.198193550109863,5.244634628295898,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,24.21468833536031,5.806641101837158,6.568319320678711,5.8469672203063965,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,22.729184583162873,5.513612270355225,8.167459487915039,5.906891822814941,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,22.273618958867278,5.637857913970947,6.682409286499023,5.88332986831665,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,20.74116497940586,5.502909183502197,6.949485778808594,5.83146858215332,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,19.442292494835346,5.123978614807129,5.899235248565674,6.100057601928711,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,19.969083785831607,4.689971923828125,7.232174873352051,5.670389652252197,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,20.48050250699552,5.35050630569458,7.636551856994629,5.811575889587402,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,22.256122197369177,5.260716915130615,8.683184623718262,6.828008651733398,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,23.751063007948876,6.84329080581665,9.465571403503418,7.444377422332764,gan,gan,cnn,cnn,0
119,119,27.187847892928154,20.557132674744736,23.519582023070722,5.218785285949707,6.129123687744141,5.837697505950928,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,23.19212565583119,4.889072418212891,7.93386173248291,6.249669075012207,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,23.433119202671193,5.373913288116455,7.535200595855713,5.230553150177002,gan,gan,cnn,candidateC_expanded1344,0
122,122,28.017758663142306,22.491589595860475,23.24381882915386,5.264456272125244,7.450175762176514,5.790287017822266,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,23.101823577102234,6.196282386779785,8.431406021118164,5.593449115753174,gan,gan,cnn,candidateC_expanded1344,0
124,124,28.184626374879375,22.119830159019614,22.968986202535994,6.166434288024902,6.818744659423828,5.31873893737793,gan,gan,cnn,candidateC_expanded1344,0
125,125,28.43981263564626,21.313574573250694,22.40932229089839,5.748098373413086,10.086677551269531,4.847038745880127,gan,gan,cnn,candidateC_expanded1344,0
126,126,28.023492407781937,22.88972837862729,23.16063007878095,4.992148399353027,8.052214622497559,4.578249931335449,gan,gan,cnn,candidateC_expanded1344,0
127,127,30.000730217921266,24.85609607980766,24.660234831787747,5.114649772644043,13.074076652526855,4.9212422370910645,gan,candidateC_expanded1344,cnn,candidateC_expanded1344,0
128,128,28.391923421353447,23.315252316365218,23.7439530473512,5.476268768310547,7.28298807144165,4.78103494644165,gan,gan,cnn,candidateC_expanded1344,0
129,129,29.465245102227872,24.209883048645104,24.927376076147034,5.373117923736572,9.33877944946289,5.475894451141357,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,25.372927665774117,5.609683513641357,11.313863754272461,5.397852897644043,gan,gan,cnn,candidateC_expanded1344,0
131,131,33.0539968727652,25.23355611194131,27.709400703117975,6.2030792236328125,12.011610984802246,6.236221790313721,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,28.963168750170432,6.331444263458252,12.388164520263672,6.57554292678833,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,29.591001977213033,6.299666404724121,7.647167682647705,5.995041847229004,gan,gan,cnn,candidateC_expanded1344,0
134,134,32.518921837890055,23.04058254540847,27.02436502293305,7.141453742980957,13.276667594909668,5.69321346282959,gan,gan,cnn,candidateC_expanded1344,0
135,135,29.944179549584543,20.502693507156053,25.108231614689053,6.298990726470947,11.993122100830078,5.65769100189209,gan,gan,cnn,candidateC_expanded1344,0
136,136,27.83279512215704,19.71188765946126,23.41857916684334,6.232182025909424,6.450465202331543,5.885365009307861,gan,gan,cnn,candidateC_expanded1344,0
137,137,26.69652879915387,18.35521341147029,22.504055880728032,5.208233833312988,9.66958236694336,4.802879810333252,gan,gan,cnn,candidateC_expanded1344,0
138,138,26.265900126493325,18.5898403985513,22.030620063753673,5.562473773956299,8.217479705810547,5.133042335510254,gan,gan,cnn,candidateC_expanded1344,0
139,139,25.72843674372112,17.55339321269266,21.04840393073705,5.6482439041137695,9.790724754333496,5.132077217102051,gan,gan,cnn,candidateC_expanded1344,0
140,140,26.928885115678263,17.632487734588345,22.441205170124068,5.719569206237793,11.421890258789062,5.53677225112915,gan,gan,cnn,candidateC_expanded1344,0
141,141,30.122683212798776,22.35126448334632,25.74999128353519,6.186624050140381,8.889102935791016,7.309005260467529,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,28.1792777722757,7.186554908752441,8.55953311920166,7.849969863891602,gan,gan,cnn,cnn,0
143,143,31.729557469133276,25.608920781987035,27.199914102777964,5.864097595214844,9.649337768554688,6.183813095092773,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,26.726642945898043,5.560759544372559,9.771649360656738,6.166661262512207,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,25.67228811802396,5.902344226837158,8.558032035827637,6.268846035003662,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,25.066755142947276,5.959416389465332,7.056334018707275,6.936887741088867,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,23.74492396034764,5.6108717918396,6.8347039222717285,6.868765830993652,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,22.647199068502875,5.0148024559021,8.882506370544434,6.190652847290039,gan,gan,cnn,cnn,0
