,time,avg_pow
160,2024-09-07 16:00:00,674866.0732151858
161,2024-09-07 17:00:00,556754.2619200575
162,2024-09-07 18:00:00,418158.33717225946
163,2024-09-07 19:00:00,414524.77277833107
164,2024-09-07 20:00:00,415044.9412147833
165,2024-09-07 21:00:00,423194.67623229383
166,2024-09-07 22:00:00,452587.38557656726
167,2024-09-07 23:00:00,455314.7873347611
168,2024-09-08 00:00:00,457038.7266494465
169,2024-09-08 01:00:00,510280.85838912765
170,2024-09-08 02:00:00,521976.32990172907
171,2024-09-08 03:00:00,535920.3874305331
172,2024-09-08 04:00:00,560297.6931314425
173,2024-09-08 05:00:00,549000.4160408673
174,2024-09-08 06:00:00,567520.0664173542
175,2024-09-08 07:00:00,596528.5091683648
176,2024-09-08 08:00:00,621327.0012616473
177,2024-09-08 09:00:00,632309.157901563
178,2024-09-08 10:00:00,630861.4697892946
179,2024-09-08 11:00:00,619945.9276538914
180,2024-09-08 12:00:00,643970.8095225233
181,2024-09-08 13:00:00,646305.5412874932
182,2024-09-08 14:00:00,639833.0553415631
183,2024-09-08 15:00:00,655911.7256903346
184,2024-09-08 16:00:00,719353.414066533
185,2024-09-08 17:00:00,815780.2416072353
186,2024-09-08 18:00:00,846606.9792869259
187,2024-09-08 19:00:00,865607.3855718465
188,2024-09-08 20:00:00,827258.7493096801
189,2024-09-08 21:00:00,704212.0358827871
190,2024-09-08 22:00:00,588434.7010335426
191,2024-09-08 23:00:00,534197.9354028659
192,2024-09-09 00:00:00,481219.97514635907
193,2024-09-09 01:00:00,472556.97423431405
194,2024-09-09 02:00:00,481259.09352393466
195,2024-09-09 03:00:00,472058.2409150229
196,2024-09-09 04:00:00,470757.8390189501
197,2024-09-09 05:00:00,490978.12354917836
198,2024-09-09 06:00:00,488344.61881827406
199,2024-09-09 07:00:00,485915.4828559444
200,2024-09-09 08:00:00,558399.5799904924
201,2024-09-09 09:00:00,741494.127202854
202,2024-09-09 10:00:00,728503.4292042678
203,2024-09-09 11:00:00,692608.168650179
204,2024-09-09 12:00:00,648657.2241728177
205,2024-09-09 13:00:00,612401.3153615429
206,2024-09-09 14:00:00,583594.5812274687
