method,sample_idx,psnr,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_gt,psd_slope_sr,psd_slope_delta,psd_slope_abs_delta,grad_mae,grad_w1,grad_kurtosis_gt,grad_kurtosis_sr,grad_kurtosis_delta,grad_kurtosis_abs_delta,exceed_frac_gt_t5,exceed_frac_sr_t5,exceed_frac_delta_t5,exceed_frac_abs_delta_t5,exceed_frac_gt_t10,exceed_frac_sr_t10,exceed_frac_delta_t10,exceed_frac_abs_delta_t10,exceed_frac_gt_t15,exceed_frac_sr_t15,exceed_frac_delta_t15,exceed_frac_abs_delta_t15,exceed_frac_gt_p90,exceed_frac_sr_p90,exceed_frac_delta_p90,exceed_frac_abs_delta_p90,exceed_frac_gt_p95,exceed_frac_sr_p95,exceed_frac_delta_p95,exceed_frac_abs_delta_p95,exceed_frac_gt_p99,exceed_frac_sr_p99,exceed_frac_delta_p99,exceed_frac_abs_delta_p99,key,pd_distance,mt_distance,ssim
cnn,15,31.45612699358063,-43.810313174525035,231.89344738041146,396.1983328656295,47.463822803787515,0.9760292555517581,2.088418536738446,1.1034394451486143,-0.9849790915898318,0.9849790915898318,0.32342770894399825,0.23189684925954068,15.547032246864896,16.620052714801023,1.0730204679361268,1.0730204679361268,0.856176,0.853684,-0.0024920000000000497,0.0024920000000000497,0.585716,0.578856,-0.006859999999999977,0.006859999999999977,0.241248,0.24172,0.0004720000000000002,0.0004720000000000002,0.1,0.095636,-0.004364000000000007,0.004364000000000007,0.05,0.0452,-0.004800000000000006,0.004800000000000006,0.01,0.003588,-0.006412,0.006412,cnn_s15_speed_p160_x0_y0,26.322356943691645,5.097294807434082,0.5765227213961904
cnn,16,32.17583877075084,-49.934749400272594,225.4427798674337,402.972420101095,51.06291342975699,0.8783723181781088,1.921716330194096,0.9494528140519296,-0.9722635161421664,0.9722635161421664,0.299145064972306,0.21512043905997383,17.77867267231509,18.17207645251866,0.39340378020357036,0.39340378020357036,0.838356,0.834408,-0.0039479999999999515,0.0039479999999999515,0.549872,0.546,-0.0038719999999999866,0.0038719999999999866,0.266504,0.263764,-0.00274000000000002,0.00274000000000002,0.1,0.094092,-0.0059080000000000105,0.0059080000000000105,0.05,0.046572,-0.0034280000000000005,0.0034280000000000005,0.01,0.002936,-0.007064000000000001,0.007064000000000001,cnn_s16_speed_p160_x0_y0,23.755960973590362,5.464188098907471,0.6193966839844784
cnn,17,32.48824852842643,-45.220343449011274,218.71576822750694,400.63854911669046,49.49853220783566,0.7506764575839527,1.695904487052876,0.805585864414481,-0.8903186226383951,0.8903186226383951,0.28507626627305843,0.2060303133260675,18.110533198112872,15.710790414707663,-2.399742783405209,2.399742783405209,0.82844,0.827332,-0.0011079999999999979,0.0011079999999999979,0.52062,0.512696,-0.007923999999999931,0.007923999999999931,0.291112,0.292364,0.0012520000000000309,0.0012520000000000309,0.1,0.09358,-0.006420000000000009,0.006420000000000009,0.05,0.045856,-0.004144000000000002,0.004144000000000002,0.01,0.00496,-0.00504,0.00504,cnn_s17_speed_p160_x0_y0,20.900376556174706,5.2896833419799805,0.6164641229364425
cnn,18,32.601424065834784,-51.156209656623005,232.68686590374045,443.07088919690005,53.71250865957979,0.7491386339638868,1.562141682604286,0.6444706700849707,-0.9176710125193153,0.9176710125193153,0.28551414579577034,0.2188496361065258,22.33240868259696,20.360502516809458,-1.9719061657875017,1.9719061657875017,0.831792,0.829864,-0.0019279999999999298,0.0019279999999999298,0.504612,0.494144,-0.010467999999999922,0.010467999999999922,0.311664,0.312616,0.0009520000000000084,0.0009520000000000084,0.1,0.091268,-0.008732000000000004,0.008732000000000004,0.05,0.047364,-0.0026359999999999995,0.0026359999999999995,0.01,0.003584,-0.006416,0.006416,cnn_s18_speed_p160_x0_y0,20.394905033940507,6.258571624755859,0.6170124261331206
cnn,19,32.55938103077696,-50.74667362626337,250.91132168502006,482.1868325791299,57.33646949519785,0.673941461341186,1.440161293750411,0.5761223019089847,-0.8640389918414262,0.8640389918414262,0.29177907415586,0.21959466624139035,24.520500488515108,18.44043979091261,-6.080060697602498,6.080060697602498,0.844788,0.842828,-0.0019599999999999618,0.0019599999999999618,0.500632,0.48524,-0.015391999999999961,0.015391999999999961,0.324748,0.325692,0.0009440000000000004,0.0009440000000000004,0.1,0.087272,-0.012728000000000003,0.012728000000000003,0.05,0.047928,-0.0020720000000000044,0.0020720000000000044,0.01,0.002948,-0.007052,0.007052,cnn_s19_speed_p160_x0_y0,21.064082150885508,6.927988529205322,0.6194961697457047
cnn,20,32.38863856878173,-41.876776047667015,267.89171399326057,513.0860338639695,52.11920245212847,0.6218112665136215,1.2958909957741336,0.5251331872549362,-0.7707578085191974,0.7707578085191974,0.30292054468258167,0.2258190678866835,22.668517047982977,19.864610349064854,-2.803906698918123,2.803906698918123,0.85964,0.86162,0.001980000000000093,0.001980000000000093,0.500952,0.491412,-0.009539999999999937,0.009539999999999937,0.328004,0.32874,0.0007359999999999589,0.0007359999999999589,0.1,0.0914,-0.00860000000000001,0.00860000000000001,0.05,0.042216,-0.007784000000000006,0.007784000000000006,0.01,0.004792,-0.005208,0.005208,cnn_s20_speed_p160_x0_y0,21.97923655969375,6.254051208496094,0.61951889510752
cnn,21,32.618885861105625,-50.145029159102826,298.06990898204003,542.6680300947294,60.103610516600924,0.6511551297595033,1.288525422029245,0.506285620267186,-0.782239801762059,0.782239801762059,0.3482844241604966,0.2512864125600147,16.844721925372745,12.418376509431898,-4.4263454159408475,4.4263454159408475,0.874236,0.876544,0.0023079999999999767,0.0023079999999999767,0.50246,0.4924,-0.010060000000000013,0.010060000000000013,0.326276,0.328564,0.0022880000000000122,0.0022880000000000122,0.1,0.089644,-0.010356000000000004,0.010356000000000004,0.05,0.042436,-0.007564000000000001,0.007564000000000001,0.01,0.004156,-0.005844,0.005844,cnn_s21_speed_p160_x0_y0,27.30086406645334,8.127616882324219,0.5639126999708983
cnn,22,32.48546940467395,-53.2106373226424,341.3590600140365,599.555917300036,68.45591741000742,0.843147205528765,1.2336671041332852,0.4642375002082281,-0.769429603925057,0.769429603925057,0.3935953093847735,0.29602364844316464,19.014271446321313,13.370468155245192,-5.6438032910761216,5.6438032910761216,0.900088,0.89924,-0.0008479999999999599,0.0008479999999999599,0.56674,0.55934,-0.007400000000000073,0.007400000000000073,0.32034,0.322216,0.0018759999999999888,0.0018759999999999888,0.099996,0.093284,-0.006711999999999996,0.006711999999999996,0.05,0.042604,-0.007396,0.007396,0.01,0.002996,-0.007004,0.007004,cnn_s22_speed_p160_x0_y0,32.693467082501115,8.081520080566406,0.5233319491376003
cnn,23,32.75249271676132,-56.62264387045445,383.9206380556746,696.2087616682306,74.90032438270738,1.009112420185471,1.1223641828071955,0.45849132780238705,-0.6638728550048085,0.6638728550048085,0.4155507882220156,0.3167770252073736,25.370992439670133,31.880889251676066,6.509896812005934,6.509896812005934,0.934368,0.939404,0.0050360000000000404,0.0050360000000000404,0.633184,0.63232,-0.0008639999999999759,0.0008639999999999759,0.317004,0.318812,0.0018079999999999763,0.0018079999999999763,0.1,0.092008,-0.007991999999999999,0.007991999999999999,0.05,0.03922,-0.010780000000000005,0.010780000000000005,0.01,0.00536,-0.00464,0.00464,cnn_s23_speed_p160_x0_y0,34.476953302920876,6.907674789428711,0.5386967764303666
cnn,24,32.59554856905365,-49.28543923690295,423.82190465010126,800.0242203191126,70.91800977117681,1.1096059863086867,1.1875932121255863,0.5398685750922714,-0.647724637033315,0.647724637033315,0.433497260288219,0.32061695922337086,28.658118112788006,37.271512462835744,8.613394350047738,8.613394350047738,0.95646,0.961044,0.0045840000000000325,0.0045840000000000325,0.672988,0.680032,0.007043999999999939,0.007043999999999939,0.31482,0.31484,2.0000000000020002e-05,2.0000000000020002e-05,0.1,0.095224,-0.0047760000000000025,0.0047760000000000025,0.05,0.039716,-0.010284000000000001,0.010284000000000001,0.01,0.00546,-0.004540000000000001,0.004540000000000001,cnn_s24_speed_p160_x0_y0,35.75728371567695,7.21915864944458,0.5369307845594095
