method,key,sample_idx,psnr,pd_distance,mt_distance
gan,gan_s22_speed_p160_x0_y0,22,30.75229680635948,26.801086541907566,8.346701622009277
gan,gan_s23_speed_p160_x0_y0,23,30.98147962246174,29.144574221491347,8.497876167297363
gan,gan_s24_speed_p160_x0_y0,24,30.94700665053756,29.65320138308241,12.067601203918457
gan,gan_s25_speed_p160_x0_y0,25,30.997709699649167,30.123491475362258,10.501462936401367
gan,gan_s26_speed_p160_x0_y0,26,31.11826647666898,30.779316467464,11.28821849822998
gan,gan_s27_speed_p160_x0_y0,27,31.004774013425244,30.945378681968467,19.968429565429688
gan,gan_s28_speed_p160_x0_y0,28,30.823729610061473,30.74946233279523,14.947399139404297
gan,gan_s29_speed_p160_x0_y0,29,30.970170120853133,31.752977463202388,12.864243507385254
gan,gan_s30_speed_p160_x0_y0,30,31.234617475323553,30.82310921065586,14.847400665283203
gan,gan_s31_speed_p160_x0_y0,31,31.254266946670207,31.3053599336416,16.23410415649414
gan,gan_s32_speed_p160_x0_y0,32,31.329788764503412,30.547158977309156,19.229158401489258
gan,gan_s33_speed_p160_x0_y0,33,31.33543402332805,30.400139282712473,20.00556755065918
gan,gan_s34_speed_p160_x0_y0,34,31.370556204226762,28.907547601520903,19.445999145507812
gan,gan_s35_speed_p160_x0_y0,35,31.11427630511267,28.746843597068697,14.435929298400879
gan,gan_s36_speed_p160_x0_y0,36,30.920168593145274,27.743736665197815,9.26945686340332
gan,gan_s37_speed_p160_x0_y0,37,30.631649306952614,27.16364872656993,9.59257698059082
gan,gan_s38_speed_p160_x0_y0,38,31.387301121757393,23.780350003542182,7.416414260864258
gan,gan_s39_speed_p160_x0_y0,39,31.874954417371846,21.358097631209198,8.546488761901855
gan,gan_s40_speed_p160_x0_y0,40,32.51709145248468,20.447367624488226,8.988521575927734
gan,gan_s41_speed_p160_x0_y0,41,32.55576131342773,17.452695580897316,8.901470184326172
gan,gan_s42_speed_p160_x0_y0,42,32.9842981314092,14.632793364821667,7.383090972900391
gan,gan_s43_speed_p160_x0_y0,43,32.849247881515296,13.784137402758168,7.053122520446777
gan,gan_s44_speed_p160_x0_y0,44,32.24624416721567,13.855413188888303,7.041088581085205
gan,gan_s45_speed_p160_x0_y0,45,31.29346884710588,13.609391097429418,6.773196697235107
gan,gan_s46_speed_p160_x0_y0,46,30.54058406520525,16.27228595124608,6.650214672088623
gan,gan_s47_speed_p160_x0_y0,47,30.416833211650466,13.108895112859523,7.498397350311279
gan,gan_s48_speed_p160_x0_y0,48,30.026878695732123,13.107025960847848,6.682991981506348
gan,gan_s49_speed_p160_x0_y0,49,29.971253364739507,13.662675111493924,7.889017105102539
gan,gan_s50_speed_p160_x0_y0,50,29.86544616318644,14.865452226211227,6.713321685791016
gan,gan_s51_speed_p160_x0_y0,51,29.781031780439207,16.03686368056312,7.996896266937256
gan,gan_s52_speed_p160_x0_y0,52,29.999403935310497,16.98731478928289,7.0050048828125
gan,gan_s53_speed_p160_x0_y0,53,30.1715949200018,18.078201501754,7.919146537780762
gan,gan_s54_speed_p160_x0_y0,54,30.26339554753549,18.305326668249773,9.581897735595703
gan,gan_s55_speed_p160_x0_y0,55,29.931009585250738,17.428151978200873,7.846588134765625
gan,gan_s56_speed_p160_x0_y0,56,29.6283766092074,17.584091876726443,7.826909065246582
gan,gan_s57_speed_p160_x0_y0,57,29.104545242708497,18.354637384973643,6.805661201477051
gan,gan_s58_speed_p160_x0_y0,58,28.596294182804364,18.762904108038654,8.349846839904785
gan,gan_s59_speed_p160_x0_y0,59,28.730860257058026,18.65101850934172,7.89148473739624
gan,gan_s60_speed_p160_x0_y0,60,28.329066536207602,18.604905025455473,8.357301712036133
gan,gan_s61_speed_p160_x0_y0,61,27.391972712538028,19.516031588862035,8.12722110748291
gan,gan_s62_speed_p160_x0_y0,62,27.555737336852314,17.993686869301147,6.650205135345459
gan,gan_s63_speed_p160_x0_y0,63,27.457151988801428,18.199751597271156,7.5776286125183105
gan,gan_s64_speed_p160_x0_y0,64,28.05975781795003,16.701032359601633,7.137726306915283
gan,gan_s65_speed_p160_x0_y0,65,28.387056297509854,16.23947552161985,5.576780319213867
gan,gan_s66_speed_p160_x0_y0,66,28.254516945464275,15.979342195015368,6.4086198806762695
gan,gan_s67_speed_p160_x0_y0,67,28.19561606609807,14.773695042869097,6.6433844566345215
gan,gan_s68_speed_p160_x0_y0,68,28.316559600800154,15.500930745161975,5.670867919921875
gan,gan_s69_speed_p160_x0_y0,69,27.237573364277967,16.112222498232782,6.406604290008545
gan,gan_s70_speed_p160_x0_y0,70,27.538658793778467,19.882401938586153,5.861793041229248
gan,gan_s71_speed_p160_x0_y0,71,27.71792531980638,18.465741214218955,7.186563014984131
gan,gan_s72_speed_p160_x0_y0,72,27.66950559153304,19.679320844931677,5.719583988189697
gan,gan_s73_speed_p160_x0_y0,73,27.611157836043315,19.399004976672177,5.75114631652832
gan,gan_s74_speed_p160_x0_y0,74,27.725199731693014,20.10959212403172,5.644299030303955
gan,gan_s75_speed_p160_x0_y0,75,27.453769489636546,19.74885298310355,5.680557727813721
gan,gan_s76_speed_p160_x0_y0,76,27.185629660678966,20.225713244111034,6.450347900390625
gan,gan_s77_speed_p160_x0_y0,77,26.717936358992787,20.353338072506904,6.000014781951904
gan,gan_s78_speed_p160_x0_y0,78,26.464969673118272,19.95492094933438,7.092807292938232
gan,gan_s79_speed_p160_x0_y0,79,26.652931621908795,20.321240211337894,6.467032432556152
gan,gan_s80_speed_p160_x0_y0,80,26.456132191878634,20.744918439924255,6.176682472229004
gan,gan_s81_speed_p160_x0_y0,81,26.578637889134356,20.982889067881906,7.567525863647461
gan,gan_s82_speed_p160_x0_y0,82,26.513154855372044,20.81634708740007,6.303605079650879
gan,gan_s83_speed_p160_x0_y0,83,26.454328406446706,21.794751727168247,6.599743366241455
gan,gan_s84_speed_p160_x0_y0,84,26.58859881999711,21.106373639070085,8.559276580810547
gan,gan_s85_speed_p160_x0_y0,85,26.58583339558703,20.7490839418831,7.718591690063477
gan,gan_s86_speed_p160_x0_y0,86,26.429419774482703,18.84606490909817,9.43416690826416
gan,gan_s87_speed_p160_x0_y0,87,26.92721298167298,19.024115372275585,7.174471855163574
gan,gan_s88_speed_p160_x0_y0,88,26.86625235460083,18.396084436387564,6.487721920013428
gan,gan_s89_speed_p160_x0_y0,89,26.508238597885804,17.197907308437554,6.256072521209717
gan,gan_s90_speed_p160_x0_y0,90,27.225857962104634,17.32676746960286,5.663510322570801
gan,gan_s91_speed_p160_x0_y0,91,28.14429533787995,16.266054339767617,5.519831657409668
gan,gan_s92_speed_p160_x0_y0,92,28.45250020305388,16.807703363287136,5.677903175354004
gan,gan_s93_speed_p160_x0_y0,93,27.94391713060603,18.13548367922437,6.816009521484375
gan,gan_s94_speed_p160_x0_y0,94,27.818781699803296,20.006869187749356,6.517361164093018
gan,gan_s95_speed_p160_x0_y0,95,27.116255372287263,20.637912890931716,6.677723407745361
gan,gan_s96_speed_p160_x0_y0,96,26.965865579736743,22.25070627382419,7.258078575134277
gan,gan_s97_speed_p160_x0_y0,97,26.723655277751952,22.202351461270364,7.223494529724121
gan,gan_s98_speed_p160_x0_y0,98,26.64084044530737,23.055714774434993,8.764951705932617
gan,gan_s99_speed_p160_x0_y0,99,26.783598904944242,20.998202000997363,7.760592460632324
gan,gan_s100_speed_p160_x0_y0,100,26.701302033238004,20.891681214618057,7.617006778717041
gan,gan_s101_speed_p160_x0_y0,101,26.06215212689535,20.937383941054357,7.0666680335998535
gan,gan_s102_speed_p160_x0_y0,102,26.32178910226727,20.257793175726828,8.231893539428711
gan,gan_s103_speed_p160_x0_y0,103,26.213207455171293,20.69051451494371,6.314839839935303
gan,gan_s104_speed_p160_x0_y0,104,26.240744576915972,20.12992358587829,7.393864154815674
gan,gan_s105_speed_p160_x0_y0,105,26.632907637881424,19.283104237304943,6.823482513427734
gan,gan_s106_speed_p160_x0_y0,106,27.298351027651485,20.00547041151677,6.75129508972168
gan,gan_s107_speed_p160_x0_y0,107,27.019179423293245,20.682183399063746,7.6041154861450195
gan,gan_s108_speed_p160_x0_y0,108,27.9392566173789,21.1993064034262,7.595790386199951
gan,gan_s109_speed_p160_x0_y0,109,27.241141633895886,20.853111383838083,7.198193550109863
gan,gan_s110_speed_p160_x0_y0,110,27.897643844628302,19.600364202728887,6.568319320678711
gan,gan_s111_speed_p160_x0_y0,111,28.776301097243916,18.815230764049467,8.167459487915039
gan,gan_s112_speed_p160_x0_y0,112,28.275192771148816,19.372446559915602,6.682409286499023
gan,gan_s113_speed_p160_x0_y0,113,27.992375396391836,18.415536047943895,6.949485778808594
gan,gan_s114_speed_p160_x0_y0,114,28.34897837277725,16.84887862793787,5.899235248565674
gan,gan_s115_speed_p160_x0_y0,115,29.04287752514754,17.25298248796687,7.232174873352051
gan,gan_s116_speed_p160_x0_y0,116,28.57390419900739,17.129081493158413,7.636551856994629
gan,gan_s117_speed_p160_x0_y0,117,28.504300119239808,18.592743212240446,8.683184623718262
gan,gan_s118_speed_p160_x0_y0,118,28.719502505656703,19.893975298384717,9.465571403503418
