sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_grad_expanded2688,was_mt_gan_win_before
59,59,25.864386079507888,18.65101850934172,20.163220559748382,5.546851634979248,7.89148473739624,6.423314571380615,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,20.42705024545504,5.321651458740234,8.357301712036133,6.363320350646973,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,20.82923955476485,5.346891403198242,8.12722110748291,6.060462951660156,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,21.474187521015654,6.720277786254883,6.650205135345459,7.262533187866211,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,22.512345956065776,7.660599708557129,7.5776286125183105,8.332601547241211,gan,gan,gan,gan,1
64,64,24.7100597287657,16.701032359601633,19.73954549663975,5.944510459899902,7.137726306915283,5.900578022003174,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
65,65,22.148883751156426,16.23947552161985,17.661219518742822,5.820770263671875,5.576780319213867,5.732212066650391,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,16.28304003896069,5.701828956604004,6.4086198806762695,6.071492671966553,gan,gan,cnn,cnn,0
67,67,20.679919922717943,14.773695042869097,15.461926699533883,5.030301094055176,6.6433844566345215,5.565206050872803,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,16.247938223072047,6.074338436126709,5.670867919921875,5.941417694091797,gan,gan,gan,gan,1
69,69,24.168055816700438,16.112222498232782,18.13611164920841,5.17050838470459,6.406604290008545,5.549476623535156,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,18.793063884275252,5.396136283874512,5.861793041229248,5.5716166496276855,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,19.44848387175051,5.1588335037231445,7.186563014984131,6.9750189781188965,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,20.514565475576966,4.796044826507568,5.719583988189697,6.07923698425293,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,21.353553650575662,4.9851861000061035,5.75114631652832,5.892615795135498,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,22.187837792843432,4.782100200653076,5.644299030303955,6.80370569229126,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,22.340893276330704,5.201173305511475,5.680557727813721,6.139196395874023,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,23.23101557558627,5.207019329071045,6.450347900390625,5.991272449493408,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,23.549577197107403,6.132026672363281,6.000014781951904,5.968647003173828,gan,gan,gan,candidateB_factorial_speed_grad_expanded2688,1
78,78,30.300511724579902,19.95492094933438,22.900796626360343,5.8028388023376465,7.092807292938232,6.632375717163086,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,23.53355060450962,6.856454849243164,6.467032432556152,6.038145065307617,gan,gan,gan,candidateB_factorial_speed_grad_expanded2688,1
80,80,30.086252753371088,20.744918439924255,23.407910545819774,6.982686519622803,6.176682472229004,6.3523454666137695,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,23.09832000905179,6.426537990570068,7.567525863647461,5.972511291503906,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
82,82,28.90089773637945,20.81634708740007,22.708301902337364,7.1840739250183105,6.303605079650879,6.357243537902832,gan,gan,gan,gan,1
83,83,28.194313716720707,21.794751727168247,22.176215510657272,6.560110569000244,6.599743366241455,5.93467903137207,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
84,84,29.14514380262554,21.106373639070085,23.019711884626414,5.271510124206543,8.559276580810547,6.18681526184082,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,22.456618768480066,5.609640121459961,7.718591690063477,5.753225803375244,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,22.74502930787018,5.25334358215332,9.43416690826416,6.17793607711792,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,23.94932155914561,6.509652614593506,7.174471855163574,7.174842834472656,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,22.434524637297063,6.411813259124756,6.487721920013428,6.297599792480469,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
89,89,24.29846982632471,17.197907308437554,20.0769241507189,6.017302513122559,6.256072521209717,6.563451290130615,gan,gan,cnn,cnn,0
90,90,22.206834090995343,17.32676746960286,18.170697985178755,5.257880687713623,5.663510322570801,5.852479457855225,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,17.43693805410325,5.508337497711182,5.519831657409668,6.262514114379883,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,18.13461431667744,5.735818386077881,5.677903175354004,6.3871660232543945,gan,gan,gan,gan,1
93,93,24.402894658345392,18.13548367922437,21.349012071954643,6.506997585296631,6.816009521484375,7.357730865478516,gan,gan,cnn,cnn,0
