title,authors,year,url,bucket
Structural Uncertainty Visualization of Morse Complexes for Time-Varying Data Prediction,"W Lyu, S Gupta, C Chen, B Wang",2025,https://ieeexplore.ieee.org/abstract/document/11298783/,B
Interactive volume visualization via multi-resolution hash encoding based neural representation,"Q Wu, D Bauer, MJ Doyle, KL Ma",2023,https://ieeexplore.ieee.org/abstract/document/10175377/,B
SurfNet: Learning surface representations via graph convolutional network,"J Han, C Wang",2022,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.14526,B
Flow field reduction via reconstructing vector data from 3-D streamlines using deep learning,"J Han, J Tao, H Zheng, H Guo",2019,https://ieeexplore.ieee.org/abstract/document/8739144/,B
SVIFNN: Robust inpainting fourier neural network for SST scientific visualization image: Leveraging significant stability and non-significant anomalies,"Z Zuo, J Nie, X Wang, J Dong",2025,https://ieeexplore.ieee.org/abstract/document/10988902/,B
Deep Learning for Scientific Data Representation and Generation,J Han,2022,https://search.proquest.com/openview/eac12a42e90b358d67db67d812477cc1/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Photon field networks for dynamic real-time volumetric global illumination,"D Bauer, Q Wu, KL Ma",2023,https://ieeexplore.ieee.org/abstract/document/10297590/,B
Fourier-Enhanced TecoGAN: Advancing Video Super-Resolution with Spectral and Gradient Losses,"MA Hasan, RJ Khan",2026,https://www.researchsquare.com/article/rs-8401515/latest,B
Diffusion MRI visualization,"T Schultz, A Vilanova",2019,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.3902,B
Filling the void: Data-driven machine learning-based reconstruction of sampled spatiotemporal scientific simulation data,"A Biswas, A Mishra, M Majumder",2024,https://ieeexplore.ieee.org/abstract/document/10820642/,B
Visualization at exascale: Making it all work with VTK-m,"K Moreland, TM Athawale, V Bolea",2024,https://journals.sagepub.com/doi/abs/10.1177/10943420241270969,B
"Position papers for the ASCR workshop on visualization for scientific discovery, decision-making, and communication","PT Bremer, G Tourassi, W Bethel, K Gaither",2021,https://www.osti.gov/biblio/1843572,B
Make the Fastest Faster: Importance Mask Synthesis for Interactive Volume Visualization using Reconstruction Neural Networks,"J Sun, D Lenz, H Yu, T Peterka",2025,https://ieeexplore.ieee.org/abstract/document/11202605/,B
Visual Analytics for Large Scale Scientific Simulations (FY 2019),"JL Woodring, HW Shen, T Peterka",2020,https://www.osti.gov/biblio/1583139,B
"Visualization of plasma shape in the LHD-type helical fusion reactor, FFHR, by a deep learning technique","K Hu, K Koyamada, H Ohtani, T Goto",2021,https://link.springer.com/article/10.1007/s12650-021-00768-w,B
Stochastic Semantics of Big Data (Parallel Computing and Visualization),"DV Manakov, PA Vasev",2024,http://sv-journal.org/2024-5/09/en.pdf,B
Kd-inr: Time-varying volumetric data compression via knowledge distillation-based implicit neural representation,"J Han, H Zheng, C Bi",2023,https://ieeexplore.ieee.org/abstract/document/10371224/,B
