sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_E2_low_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_E2_low_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_E2_low_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_E2_low_expanded2688,was_mt_gan_win_before
90,90,22.206834090995343,17.32676746960286,19.114693995687094,5.257880687713623,5.663510322570801,4.749759197235107,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
91,91,22.30942508877806,16.266054339767617,18.68087860553298,5.508337497711182,5.519831657409668,5.286654949188232,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
92,92,22.07932597419188,16.807703363287136,19.13774410971851,5.735818386077881,5.677903175354004,5.181406021118164,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
93,93,24.402894658345392,18.13548367922437,21.54766613872306,6.506997585296631,6.816009521484375,6.602797985076904,gan,gan,cnn,cnn,0
94,94,24.570031527820365,20.006869187749356,23.1492654104114,5.102908611297607,6.517361164093018,5.143526077270508,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,24.175483679978992,5.015480041503906,6.677723407745361,5.502798080444336,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,25.981469743335285,5.121858596801758,7.258078575134277,5.4048752784729,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,26.57623114548653,5.011539936065674,7.223494529724121,5.003319263458252,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
98,98,31.264551411001506,23.055714774434993,27.353356826602987,4.942448139190674,8.764951705932617,5.352258205413818,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,27.27828483688575,5.342334747314453,7.760592460632324,5.3871846199035645,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,27.129508854382266,5.912055015563965,7.617006778717041,5.089542865753174,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
101,101,30.40796712150836,20.937383941054357,26.56722875707433,5.357294082641602,7.0666680335998535,5.121166706085205,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
102,102,29.254680859214627,20.257793175726828,25.393502542910216,5.164434909820557,8.231893539428711,4.681265354156494,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
103,103,29.507549938987374,20.69051451494371,26.07827086466471,5.102769374847412,6.314839839935303,5.336728096008301,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,25.759969279280423,4.829194068908691,7.393864154815674,4.657990455627441,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
105,105,29.338582011466166,19.283104237304943,25.789193198581476,5.33697509765625,6.823482513427734,5.096550464630127,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
106,106,30.092821360744658,20.00547041151677,26.13986165424125,5.767349720001221,6.75129508972168,5.313351154327393,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
107,107,29.64376642955138,20.682183399063746,25.653052623555624,5.574344635009766,7.6041154861450195,5.364666938781738,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
108,108,28.940126674621943,21.1993064034262,25.694608665507584,5.6898322105407715,7.595790386199951,5.614889621734619,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
109,109,28.97319829057234,20.853111383838083,25.117998509812672,5.088190078735352,7.198193550109863,5.200637340545654,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,25.649704381197566,5.806641101837158,6.568319320678711,5.567422389984131,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
111,111,28.17742348677506,18.815230764049467,24.39822369126904,5.513612270355225,8.167459487915039,5.6224493980407715,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,24.258077965549962,5.637857913970947,6.682409286499023,5.179232597351074,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
113,113,26.010710160777133,18.415536047943895,23.179065773081692,5.502909183502197,6.949485778808594,5.5983123779296875,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,21.64284087754298,5.123978614807129,5.899235248565674,6.107624053955078,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,21.955540967305875,4.689971923828125,7.232174873352051,4.593685626983643,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
116,116,25.095451409249726,17.129081493158413,23.135905767001596,5.35050630569458,7.636551856994629,5.817916393280029,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,23.992232432088464,5.260716915130615,8.683184623718262,6.191188812255859,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,24.88218643792815,6.84329080581665,9.465571403503418,5.9186177253723145,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
119,119,27.187847892928154,20.557132674744736,24.852343991579012,5.218785285949707,6.129123687744141,5.131126880645752,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
120,120,28.146732976702577,21.528863701574615,24.501498018066194,4.889072418212891,7.93386173248291,5.476008415222168,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,25.2197127557274,5.373913288116455,7.535200595855713,4.848064422607422,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
122,122,28.017758663142306,22.491589595860475,24.35091140360047,5.264456272125244,7.450175762176514,4.882768154144287,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
123,123,29.152924001075785,22.17220391892049,24.07148727648347,6.196282386779785,8.431406021118164,5.430334091186523,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
