sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
100,100,31.181555022619012,20.891681214618057,28.074555307781218,5.912055015563965,7.617006778717041,5.166926860809326,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
101,101,30.40796712150836,20.937383941054357,27.626191667213295,5.357294082641602,7.0666680335998535,5.262721538543701,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
102,102,29.254680859214627,20.257793175726828,26.378989297597144,5.164434909820557,8.231893539428711,4.7562103271484375,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
103,103,29.507549938987374,20.69051451494371,26.839897476289643,5.102769374847412,6.314839839935303,5.4409332275390625,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,26.715478681548724,4.829194068908691,7.393864154815674,4.903693675994873,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,26.76469994092184,5.33697509765625,6.823482513427734,5.45747184753418,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,27.067038065532575,5.767349720001221,6.75129508972168,5.403805732727051,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
107,107,29.64376642955138,20.682183399063746,26.064249781684303,5.574344635009766,7.6041154861450195,5.849635601043701,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,26.474655169110772,5.6898322105407715,7.595790386199951,5.445324897766113,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
109,109,28.97319829057234,20.853111383838083,25.886091937893916,5.088190078735352,7.198193550109863,5.021459102630615,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
