sample_idx,metric,method_id,observed_value,reconstructed_value,absolute_difference,status
3,psnruv,speed_only,34.462401850795665,34.462401850795665,0.0,PASS
4,psnruv,speed_only,34.00236622391419,34.00236622391418,7.105427357601002e-15,PASS
5,psnruv,speed_only,34.06098389917374,34.060983899173735,7.105427357601002e-15,PASS
6,psnruv,speed_only,34.24013911566884,34.240139115668846,7.105427357601002e-15,PASS
7,psnruv,speed_only,33.87257393660226,33.872573936602265,7.105427357601002e-15,PASS
8,psnruv,speed_only,34.144574726653886,34.144574726653886,0.0,PASS
9,psnruv,speed_only,34.18207650245627,34.182076502456276,7.105427357601002e-15,PASS
10,psnruv,speed_only,34.589461494457375,34.58946149445736,1.4210854715202004e-14,PASS
11,psnruv,speed_only,34.413034518904624,34.413034518904624,0.0,PASS
12,psnruv,speed_only,34.021487640696776,34.02148764069678,7.105427357601002e-15,PASS
13,psnruv,speed_only,32.92679377390385,32.92679377390385,0.0,PASS
14,psnruv,speed_only,33.29691990246758,33.29691990246759,1.4210854715202004e-14,PASS
15,psnruv,speed_only,34.172103911348,34.172103911348,0.0,PASS
