contrast_id,contrast_family,base_method,comparison_method,sample_idx,metric,metric_family,direction,base_value,comparison_value,raw_delta,oriented_improvement
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,162,speed_mae,scalar_speed,lower_is_better,0.22726427891034784,0.260120993579777,0.03285671466942919,-0.03285671466942919
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,163,speed_mae,scalar_speed,lower_is_better,0.2385809741489005,0.2734525366832627,0.03487156253436219,-0.03487156253436219
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,164,speed_mae,scalar_speed,lower_is_better,0.2626345974994247,0.29479453153526813,0.03215993403584344,-0.03215993403584344
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,165,speed_mae,scalar_speed,lower_is_better,0.3250481161983533,0.36283200495306633,0.03778388875471306,-0.03778388875471306
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,166,speed_mae,scalar_speed,lower_is_better,0.36633470086173814,0.40264895384713134,0.0363142529853932,-0.0363142529853932
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,167,speed_mae,scalar_speed,lower_is_better,0.3929454180860275,0.43440981213144947,0.04146439404542196,-0.04146439404542196
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,0,speed_rmse,scalar_speed,lower_is_better,0.9269698641705596,1.013395947622282,0.08642608345172242,-0.08642608345172242
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,1,speed_rmse,scalar_speed,lower_is_better,0.9595622007027141,1.050035930676709,0.09047372997399494,-0.09047372997399494
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,2,speed_rmse,scalar_speed,lower_is_better,0.9897062227639951,1.0771447768303264,0.08743855406633128,-0.08743855406633128
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,3,speed_rmse,scalar_speed,lower_is_better,1.0248486728441948,1.1132771661448395,0.08842849330064473,-0.08842849330064473
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,4,speed_rmse,scalar_speed,lower_is_better,1.0383416876227423,1.1353058267916707,0.09696413916892843,-0.09696413916892843
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,5,speed_rmse,scalar_speed,lower_is_better,1.0485942645361002,1.1427566137089609,0.0941623491728607,-0.0941623491728607
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,6,speed_rmse,scalar_speed,lower_is_better,1.0331621750003326,1.1246235233307391,0.09146134833040653,-0.09146134833040653
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,7,speed_rmse,scalar_speed,lower_is_better,1.0225784021727826,1.1073617375321236,0.08478333535934102,-0.08478333535934102
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,8,speed_rmse,scalar_speed,lower_is_better,1.0060231404447644,1.0896385360957892,0.08361539565102483,-0.08361539565102483
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,9,speed_rmse,scalar_speed,lower_is_better,0.9786363629393717,1.0626448176254744,0.08400845468610263,-0.08400845468610263
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,10,speed_rmse,scalar_speed,lower_is_better,0.9487400545446805,1.026330780677548,0.07759072613286744,-0.07759072613286744
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,11,speed_rmse,scalar_speed,lower_is_better,0.9410758335064183,1.0195568023152708,0.07848096880885247,-0.07848096880885247
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,12,speed_rmse,scalar_speed,lower_is_better,0.9326909074632886,1.0103881383099222,0.0776972308466336,-0.0776972308466336
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,13,speed_rmse,scalar_speed,lower_is_better,0.9227830012947666,1.0054207340530619,0.08263773275829522,-0.08263773275829522
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,14,speed_rmse,scalar_speed,lower_is_better,0.8872569836374571,0.9681674174259612,0.08091043378850415,-0.08091043378850415
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,15,speed_rmse,scalar_speed,lower_is_better,0.8053892707110581,0.8769410895387398,0.07155181882768169,-0.07155181882768169
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,16,speed_rmse,scalar_speed,lower_is_better,0.725032690158375,0.7813643869246822,0.05633169676630723,-0.05633169676630723
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,17,speed_rmse,scalar_speed,lower_is_better,0.6669510478035782,0.7204954046309979,0.05354435682741976,-0.05354435682741976
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,18,speed_rmse,scalar_speed,lower_is_better,0.6384687134252679,0.690860117370673,0.05239140394540509,-0.05239140394540509
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,19,speed_rmse,scalar_speed,lower_is_better,0.6404747098552439,0.6954248248302504,0.05495011497500646,-0.05495011497500646
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,20,speed_rmse,scalar_speed,lower_is_better,0.6535531135608256,0.7083390980500607,0.05478598448923511,-0.05478598448923511
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,21,speed_rmse,scalar_speed,lower_is_better,0.7393989327991336,0.8104354015045435,0.07103646870540992,-0.07103646870540992
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,22,speed_rmse,scalar_speed,lower_is_better,0.871430576498384,0.9411820794452105,0.06975150294682653,-0.06975150294682653
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,23,speed_rmse,scalar_speed,lower_is_better,0.9395227865077175,1.0076794485527758,0.06815666204505832,-0.06815666204505832
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,24,speed_rmse,scalar_speed,lower_is_better,1.00044861724393,1.0804214663905416,0.07997284914661162,-0.07997284914661162
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,25,speed_rmse,scalar_speed,lower_is_better,1.0779202184634324,1.1666412239267323,0.08872100546329986,-0.08872100546329986
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,26,speed_rmse,scalar_speed,lower_is_better,1.14724885763778,1.2402738132573807,0.09302495561960078,-0.09302495561960078
