design_id,method_id,metric,metric_family,direction,n_valid,mean,median,standard_deviation,standard_error,iid_bootstrap_ci95_low,iid_bootstrap_ci95_high
B_FACTORIAL_2x3,speed_grad,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.003115833333333334,0.0021100000000000146,0.0025854229912941084,0.00019946971431284666,0.002741986309523809,0.0035236940476190493
B_FACTORIAL_2x3,grad_levelset,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.0037411904761904774,0.0032799999999999913,0.002818668018874752,0.00021746495887169356,0.003327518452380954,0.004185312500000001
B_FACTORIAL_2x3,candidate_b,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.0034733333333333335,0.002906000000000006,0.002599499819844821,0.00020055576521395513,0.0030943678571428556,0.0038742476190476187
B_FACTORIAL_2x3,uv,exceed_abs_p90,threshold_geometry,lower_is_better,168,0.007868809523809528,0.006430000000000005,0.004898652358920915,0.00037793923464060056,0.0071505214285714335,0.008621135714285721
B_FACTORIAL_2x3,speed_only,exceed_abs_p90,threshold_geometry,lower_is_better,168,0.006950928571428578,0.005472000000000005,0.004701341716466393,0.0003627163880836478,0.0062574011904761966,0.007671790476190481
B_FACTORIAL_2x3,levelset_only,exceed_abs_p90,threshold_geometry,lower_is_better,168,0.006196738095238101,0.005042000000000005,0.0042052867699150665,0.0003244449180745798,0.005568682142857149,0.0068431250000000055
B_FACTORIAL_2x3,speed_levelset,exceed_abs_p90,threshold_geometry,lower_is_better,168,0.005986523809523816,0.004766000000000006,0.004283824438488229,0.0003305042307541055,0.005346898809523815,0.006643602380952385
B_FACTORIAL_2x3,grad_only,exceed_abs_p90,threshold_geometry,lower_is_better,168,0.004123095238095243,0.0036580000000000085,0.002717324668887554,0.00020964614967199088,0.003724160714285719,0.004526680357142862
B_FACTORIAL_2x3,speed_grad,exceed_abs_p90,threshold_geometry,lower_is_better,168,0.0042261666666666715,0.0038580000000000073,0.0030847461636594312,0.00023799333341768082,0.0037748785714285765,0.004682836904761909
B_FACTORIAL_2x3,grad_levelset,exceed_abs_p90,threshold_geometry,lower_is_better,168,0.005486642857142863,0.004580000000000001,0.0031071048990533178,0.00023971834730377717,0.005031802976190481,0.0059481505952381
B_FACTORIAL_2x3,candidate_b,exceed_abs_p90,threshold_geometry,lower_is_better,168,0.005087023809523815,0.004074000000000001,0.003348948191216709,0.00025837696237711327,0.00459139940476191,0.005591763690476196
B_FACTORIAL_2x3,uv,comp_curve_l1,threshold_geometry,lower_is_better,168,141.9156746031746,131.25,54.5725877250894,4.210366551040715,133.74104662698412,150.13000992063493
B_FACTORIAL_2x3,speed_only,comp_curve_l1,threshold_geometry,lower_is_better,168,142.19940476190476,131.83333333333331,54.50942607702846,4.205493524098251,134.01480654761906,150.4325892857143
B_FACTORIAL_2x3,levelset_only,comp_curve_l1,threshold_geometry,lower_is_better,168,143.03571428571428,131.5,54.6010150022308,4.212559763087325,134.81346726190475,151.27326388888886
B_FACTORIAL_2x3,speed_levelset,comp_curve_l1,threshold_geometry,lower_is_better,168,141.48710317460316,130.75,54.155710536444715,4.178203777675389,133.3420882936508,149.66688988095237
B_FACTORIAL_2x3,grad_only,comp_curve_l1,threshold_geometry,lower_is_better,168,97.13492063492065,92.16666666666666,38.84694514586682,2.9971068859004375,91.32710813492064,102.96068948412699
B_FACTORIAL_2x3,speed_grad,comp_curve_l1,threshold_geometry,lower_is_better,168,111.32936507936509,106.0,43.87635333559059,3.385134151901017,104.77279265873017,117.93482142857142
B_FACTORIAL_2x3,grad_levelset,comp_curve_l1,threshold_geometry,lower_is_better,168,109.31845238095238,103.66666666666666,41.80209460333213,3.2251016163632156,103.07227182539684,115.57353670634922
B_FACTORIAL_2x3,candidate_b,comp_curve_l1,threshold_geometry,lower_is_better,168,112.32539682539681,104.91666666666666,44.38999878939952,3.4247627590087752,105.70436507936509,118.99947916666667
B_FACTORIAL_2x3,uv,comp_abs_t5,threshold_geometry,lower_is_better,168,68.88095238095238,49.0,62.745738173741955,4.840938798026348,59.58913690476191,78.38690476190476
B_FACTORIAL_2x3,speed_only,comp_abs_t5,threshold_geometry,lower_is_better,168,69.21428571428571,50.0,62.953185044691516,4.856943671589683,59.91041666666666,78.70907738095237
B_FACTORIAL_2x3,levelset_only,comp_abs_t5,threshold_geometry,lower_is_better,168,69.68452380952381,50.5,63.273301298864716,4.881641176787803,60.30952380952381,79.23839285714286
B_FACTORIAL_2x3,speed_levelset,comp_abs_t5,threshold_geometry,lower_is_better,168,69.4047619047619,51.0,63.20570334449505,4.876425881382891,60.07693452380952,78.94092261904761
B_FACTORIAL_2x3,grad_only,comp_abs_t5,threshold_geometry,lower_is_better,168,54.00595238095238,38.0,50.83818370517216,3.922251025848149,46.48794642857143,61.666666666666664
B_FACTORIAL_2x3,speed_grad,comp_abs_t5,threshold_geometry,lower_is_better,168,58.80952380952381,42.5,54.83988150392649,4.23098871379001,50.66651785714286,67.11949404761904
B_FACTORIAL_2x3,grad_levelset,comp_abs_t5,threshold_geometry,lower_is_better,168,58.595238095238095,43.5,54.29231571825571,4.188743096263197,50.54107142857143,66.83943452380952
