sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
78,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.28323074774628054,-0.5664614954925611,0.28323074774628054,0.5664614954925611
79,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.22652332532478425,-0.4530466506495685,0.22652332532478425,0.4530466506495685
80,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.3179517443045583,-0.6359034886091166,0.3179517443045583,0.6359034886091166
81,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.3618516559668734,-0.7237033119337468,0.3618516559668734,0.7237033119337468
82,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.2884637464015398,-0.5769274928030796,0.2884637464015398,0.5769274928030796
83,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.28198711684594,-0.56397423369188,0.28198711684594,0.56397423369188
84,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.35427942387505595,-0.7085588477501119,0.35427942387505595,0.7085588477501119
85,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.31304605259978757,-0.6260921051995751,0.31304605259978757,0.6260921051995751
86,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.1692935574648189,-0.3385871149296378,0.1692935574648189,0.3385871149296378
87,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.0771431405840417,-0.1542862811680834,0.0771431405840417,0.1542862811680834
88,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.0472647786569631,-0.0945295573139262,0.0472647786569631,0.0945295573139262
89,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.04362587842357968,-0.08725175684715936,0.04362587842357968,0.08725175684715936
90,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.03397048930194302,-0.06794097860388604,0.03397048930194302,0.06794097860388604
91,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.014698439641538386,-0.02939687928307677,0.014698439641538386,0.02939687928307677
92,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.09843713965665302,-0.19687427931330603,0.09843713965665302,0.19687427931330603
93,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.19784437196440763,-0.39568874392881526,0.19784437196440763,0.39568874392881526
94,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.47638120031538733,-0.9527624006307747,0.47638120031538733,0.9527624006307747
95,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.6080017011018981,-1.2160034022037962,0.6080017011018981,1.2160034022037962
96,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.7902913962436813,-1.5805827924873626,0.7902913962436813,1.5805827924873626
97,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.7164924502992562,-1.4329849005985125,0.7164924502992562,1.4329849005985125
98,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.9188173168415474,-1.8376346336830949,0.9188173168415474,1.8376346336830949
99,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-1.0461604566224096,-2.0923209132448193,1.0461604566224096,2.0923209132448193
100,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.9173367735238713,-1.8346735470477427,0.9173367735238713,1.8346735470477427
101,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.8467004735754387,-1.6934009471508773,0.8467004735754387,1.6934009471508773
102,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.773449722331037,-1.546899444662074,0.773449722331037,1.546899444662074
103,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.8205691224737848,-1.6411382449475695,0.8205691224737848,1.6411382449475695
104,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.8263722243277698,-1.6527444486555396,0.8263722243277698,1.6527444486555396
105,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.8366001506887244,-1.6732003013774488,0.8366001506887244,1.6732003013774488
106,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.7929225392418786,-1.5858450784837572,0.7929225392418786,1.5858450784837572
107,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.7957270279564028,-1.5914540559128056,0.7957270279564028,1.5914540559128056
108,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.7895776152089198,-1.5791552304178396,0.7895776152089198,1.5791552304178396
109,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.8165700817722907,-1.6331401635445815,0.8165700817722907,1.6331401635445815
110,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.7290624707384623,-1.4581249414769246,0.7290624707384623,1.4581249414769246
111,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.5231117755255568,-1.0462235510511135,0.5231117755255568,1.0462235510511135
112,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.39419727245510927,-0.7883945449102185,0.39419727245510927,0.7883945449102185
113,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.3005073942431338,-0.6010147884862675,0.3005073942431338,0.6010147884862675
114,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.3087488010019328,-0.6174976020038656,0.3087488010019328,0.6174976020038656
115,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.22882761396652285,-0.4576552279330457,0.22882761396652285,0.4576552279330457
116,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.2715105398650195,-0.543021079730039,0.2715105398650195,0.543021079730039
117,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.427043551752071,-0.854087103504142,0.427043551752071,0.854087103504142
118,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.3614290026160063,-0.7228580052320126,0.3614290026160063,0.7228580052320126
119,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.4136702979290021,-0.8273405958580042,0.4136702979290021,0.8273405958580042
120,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.4166639405347041,-0.8333278810694082,0.4166639405347041,0.8333278810694082
121,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.5583990486370638,-1.1167980972741276,0.5583990486370638,1.1167980972741276
122,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.6833469775047618,-1.3666939550095236,0.6833469775047618,1.3666939550095236
123,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.6928122775323402,-1.3856245550646804,0.6928122775323402,1.3856245550646804
124,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.6968762393234158,-1.3937524786468316,0.6968762393234158,1.3937524786468316
