sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
118,psnruv,vector_uv,higher_is_better,speed,1,speed,0.025907345077148314,0.05181469015429663,0.025907345077148314,0.05181469015429663
119,psnruv,vector_uv,higher_is_better,speed,1,speed,0.027704188874214886,0.05540837774842977,0.027704188874214886,0.05540837774842977
120,psnruv,vector_uv,higher_is_better,speed,1,speed,0.028212054461772773,0.056424108923545546,0.028212054461772773,0.056424108923545546
121,psnruv,vector_uv,higher_is_better,speed,1,speed,0.030142790016442156,0.06028558003288431,0.030142790016442156,0.06028558003288431
122,psnruv,vector_uv,higher_is_better,speed,1,speed,0.029762254391876297,0.059524508783752594,0.029762254391876297,0.059524508783752594
123,psnruv,vector_uv,higher_is_better,speed,1,speed,0.028491427316492235,0.05698285463298447,0.028491427316492235,0.05698285463298447
124,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02819317136431465,0.0563863427286293,0.02819317136431465,0.0563863427286293
125,psnruv,vector_uv,higher_is_better,speed,1,speed,0.028639684828424272,0.057279369656848544,0.028639684828424272,0.057279369656848544
126,psnruv,vector_uv,higher_is_better,speed,1,speed,0.029348786678043304,0.05869757335608661,0.029348786678043304,0.05869757335608661
127,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02535571464804498,0.05071142929608996,0.02535571464804498,0.05071142929608996
128,psnruv,vector_uv,higher_is_better,speed,1,speed,0.027857073827668444,0.05571414765533689,0.027857073827668444,0.05571414765533689
129,psnruv,vector_uv,higher_is_better,speed,1,speed,0.025219362019340608,0.050438724038681215,0.025219362019340608,0.050438724038681215
130,psnruv,vector_uv,higher_is_better,speed,1,speed,0.027236608631262094,0.05447321726252419,0.027236608631262094,0.05447321726252419
131,psnruv,vector_uv,higher_is_better,speed,1,speed,0.023915494131968806,0.04783098826393761,0.023915494131968806,0.04783098826393761
132,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02157668603318541,0.04315337206637082,0.02157668603318541,0.04315337206637082
133,psnruv,vector_uv,higher_is_better,speed,1,speed,0.022914383215637102,0.045828766431274204,0.022914383215637102,0.045828766431274204
134,psnruv,vector_uv,higher_is_better,speed,1,speed,0.020924977277017476,0.04184995455403495,0.020924977277017476,0.04184995455403495
135,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018023735703475374,0.03604747140695075,0.018023735703475374,0.03604747140695075
136,psnruv,vector_uv,higher_is_better,speed,1,speed,0.021092324065839385,0.04218464813167877,0.021092324065839385,0.04218464813167877
137,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01697182412657039,0.03394364825314078,0.01697182412657039,0.03394364825314078
138,psnruv,vector_uv,higher_is_better,speed,1,speed,0.017368964625419814,0.03473792925083963,0.017368964625419814,0.03473792925083963
139,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018238857417373744,0.03647771483474749,0.018238857417373744,0.03647771483474749
140,psnruv,vector_uv,higher_is_better,speed,1,speed,0.014901838032218784,0.029803676064437568,0.014901838032218784,0.029803676064437568
141,psnruv,vector_uv,higher_is_better,speed,1,speed,0.015421446168760511,0.030842892337521022,0.015421446168760511,0.030842892337521022
142,psnruv,vector_uv,higher_is_better,speed,1,speed,0.011856139058751047,0.023712278117502095,0.011856139058751047,0.023712278117502095
143,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01666808314325774,0.03333616628651548,0.01666808314325774,0.03333616628651548
144,psnruv,vector_uv,higher_is_better,speed,1,speed,0.016500237104091653,0.033000474208183306,0.016500237104091653,0.033000474208183306
145,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01659537161618374,0.03319074323236748,0.01659537161618374,0.03319074323236748
146,psnruv,vector_uv,higher_is_better,speed,1,speed,0.019556539257575167,0.039113078515150335,0.019556539257575167,0.039113078515150335
147,psnruv,vector_uv,higher_is_better,speed,1,speed,0.023361557918922138,0.046723115837844276,0.023361557918922138,0.046723115837844276
148,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02365934156631866,0.04731868313263732,0.02365934156631866,0.04731868313263732
149,psnruv,vector_uv,higher_is_better,speed,1,speed,0.027094941535587225,0.05418988307117445,0.027094941535587225,0.05418988307117445
150,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02706872089325163,0.05413744178650326,0.02706872089325163,0.05413744178650326
151,psnruv,vector_uv,higher_is_better,speed,1,speed,0.026011682552539384,0.05202336510507877,0.026011682552539384,0.05202336510507877
152,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02157576227727276,0.04315152455454552,0.02157576227727276,0.04315152455454552
153,psnruv,vector_uv,higher_is_better,speed,1,speed,0.019678064533104944,0.03935612906620989,0.019678064533104944,0.03935612906620989
154,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01457928384222118,0.02915856768444236,0.01457928384222118,0.02915856768444236
155,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01483917209916985,0.0296783441983397,0.01483917209916985,0.0296783441983397
156,psnruv,vector_uv,higher_is_better,speed,1,speed,0.011864977923303321,0.023729955846606643,0.011864977923303321,0.023729955846606643
157,psnruv,vector_uv,higher_is_better,speed,1,speed,0.011507026820308575,0.02301405364061715,0.011507026820308575,0.02301405364061715
158,psnruv,vector_uv,higher_is_better,speed,1,speed,0.009844991332542463,0.019689982665084926,0.009844991332542463,0.019689982665084926
159,psnruv,vector_uv,higher_is_better,speed,1,speed,0.006603965417163238,0.013207930834326476,0.006603965417163238,0.013207930834326476
160,psnruv,vector_uv,higher_is_better,speed,1,speed,0.0057126745852738026,0.011425349170547605,0.0057126745852738026,0.011425349170547605
161,psnruv,vector_uv,higher_is_better,speed,1,speed,0.009214856721950326,0.018429713443900653,0.009214856721950326,0.018429713443900653
162,psnruv,vector_uv,higher_is_better,speed,1,speed,0.009910511253291787,0.019821022506583574,0.009910511253291787,0.019821022506583574
163,psnruv,vector_uv,higher_is_better,speed,1,speed,0.00961673922187245,0.0192334784437449,0.00961673922187245,0.0192334784437449
164,psnruv,vector_uv,higher_is_better,speed,1,speed,0.008203603284409056,0.01640720656881811,0.008203603284409056,0.01640720656881811
165,psnruv,vector_uv,higher_is_better,speed,1,speed,0.00810784250286023,0.01621568500572046,0.00810784250286023,0.01621568500572046
166,psnruv,vector_uv,higher_is_better,speed,1,speed,0.006190543144293237,0.012381086288586474,0.006190543144293237,0.012381086288586474
167,psnruv,vector_uv,higher_is_better,speed,1,speed,0.00857070196940235,0.0171414039388047,0.00857070196940235,0.0171414039388047
0,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1568970717960969,-0.3137941435921938,-0.1568970717960969,-0.3137941435921938
1,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.13657904842792679,-0.27315809685585357,-0.13657904842792679,-0.27315809685585357
2,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1403787340207634,-0.2807574680415268,-0.1403787340207634,-0.2807574680415268
3,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.14201466171470667,-0.28402932342941334,-0.14201466171470667,-0.28402932342941334
4,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.15165549025639535,-0.3033109805127907,-0.15165549025639535,-0.3033109805127907
5,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.14278470056100634,-0.2855694011220127,-0.14278470056100634,-0.2855694011220127
6,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.12329569235942284,-0.24659138471884567,-0.12329569235942284,-0.24659138471884567
7,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.13006818617362015,-0.2601363723472403,-0.13006818617362015,-0.2601363723472403
8,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.13995121270419553,-0.27990242540839105,-0.13995121270419553,-0.27990242540839105
9,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1551930955994827,-0.3103861911989654,-0.1551930955994827,-0.3103861911989654
10,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16580797143916648,-0.33161594287833296,-0.16580797143916648,-0.33161594287833296
11,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16033974207975366,-0.3206794841595073,-0.16033974207975366,-0.3206794841595073
12,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16792333885251765,-0.3358466777050353,-0.16792333885251765,-0.3358466777050353
13,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.17778420949736962,-0.35556841899473923,-0.17778420949736962,-0.35556841899473923
14,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16676619829467842,-0.33353239658935685,-0.16676619829467842,-0.33353239658935685
15,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.17299327485219163,-0.34598654970438325,-0.17299327485219163,-0.34598654970438325
16,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.18034138727693172,-0.36068277455386344,-0.18034138727693172,-0.36068277455386344
17,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1779047419262083,-0.3558094838524166,-0.1779047419262083,-0.3558094838524166
18,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.19057599200277497,-0.38115198400554995,-0.19057599200277497,-0.38115198400554995
19,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.17725048839844604,-0.3545009767968921,-0.17725048839844604,-0.3545009767968921
20,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.18836592719386047,-0.37673185438772094,-0.18836592719386047,-0.37673185438772094
21,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.17638304154707818,-0.35276608309415636,-0.17638304154707818,-0.35276608309415636
22,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1545175737947364,-0.3090351475894728,-0.1545175737947364,-0.3090351475894728
23,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.13211480190607983,-0.26422960381215965,-0.13211480190607983,-0.26422960381215965
24,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.14960606943918364,-0.2992121388783673,-0.14960606943918364,-0.2992121388783673
25,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.14669181038323398,-0.29338362076646796,-0.14669181038323398,-0.29338362076646796
26,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.15714608988238865,-0.3142921797647773,-0.15714608988238865,-0.3142921797647773
27,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1656021683622333,-0.3312043367244666,-0.1656021683622333,-0.3312043367244666
28,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.15657741162002115,-0.3131548232400423,-0.15657741162002115,-0.3131548232400423
29,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16722990230729984,-0.3344598046145997,-0.16722990230729984,-0.3344598046145997
30,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.15178747914823454,-0.3035749582964691,-0.15178747914823454,-0.3035749582964691
31,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.13891679412136781,-0.27783358824273563,-0.13891679412136781,-0.27783358824273563
