sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
98,98,31.264551411001506,23.055714774434993,28.554265228027212,4.942448139190674,8.764951705932617,5.2684807777404785,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,28.5676961688765,5.342334747314453,7.760592460632324,5.316324710845947,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
100,100,31.181555022619012,20.891681214618057,28.67856807074075,5.912055015563965,7.617006778717041,5.161960601806641,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
101,101,30.40796712150836,20.937383941054357,28.081403287945736,5.357294082641602,7.0666680335998535,5.24035120010376,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
102,102,29.254680859214627,20.257793175726828,27.000355008926007,5.164434909820557,8.231893539428711,4.734639644622803,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
103,103,29.507549938987374,20.69051451494371,27.412444480535452,5.102769374847412,6.314839839935303,5.412646293640137,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,27.22112160674022,4.829194068908691,7.393864154815674,5.100977420806885,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,27.225355490932035,5.33697509765625,6.823482513427734,5.195751190185547,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
106,106,30.092821360744658,20.00547041151677,27.43407237840721,5.767349720001221,6.75129508972168,5.300129413604736,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
107,107,29.64376642955138,20.682183399063746,26.702383983469534,5.574344635009766,7.6041154861450195,5.233352184295654,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
108,108,28.940126674621943,21.1993064034262,27.040675309480676,5.6898322105407715,7.595790386199951,5.367821216583252,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
109,109,28.97319829057234,20.853111383838083,26.209457860226312,5.088190078735352,7.198193550109863,5.027760982513428,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
110,110,29.504241915198808,19.600364202728887,26.69758572922439,5.806641101837158,6.568319320678711,5.685898303985596,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
111,111,28.17742348677506,18.815230764049467,25.829849826763212,5.513612270355225,8.167459487915039,5.932021617889404,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,25.344640172703762,5.637857913970947,6.682409286499023,5.121796131134033,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
113,113,26.010710160777133,18.415536047943895,24.300762920163343,5.502909183502197,6.949485778808594,5.156044006347656,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
114,114,24.541486090961616,16.84887862793787,22.946210033012694,5.123978614807129,5.899235248565674,5.388141632080078,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,23.84128889263722,4.689971923828125,7.232174873352051,5.011821269989014,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,24.228848040866055,5.35050630569458,7.636551856994629,6.055285453796387,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,25.83718172455154,5.260716915130615,8.683184623718262,6.261012554168701,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,27.26074773872245,6.84329080581665,9.465571403503418,6.306041240692139,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
119,119,27.187847892928154,20.557132674744736,26.787822563749994,5.218785285949707,6.129123687744141,5.094219207763672,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
120,120,28.146732976702577,21.528863701574615,26.514949243156973,4.889072418212891,7.93386173248291,4.810644626617432,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
121,121,29.135888828595842,21.37188887795256,27.25032782355965,5.373913288116455,7.535200595855713,4.816778182983398,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
122,122,28.017758663142306,22.491589595860475,26.202591068128,5.264456272125244,7.450175762176514,4.9541707038879395,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
123,123,29.152924001075785,22.17220391892049,25.63248497987617,6.196282386779785,8.431406021118164,4.975096702575684,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
124,124,28.184626374879375,22.119830159019614,25.71033649557668,6.166434288024902,6.818744659423828,5.086069583892822,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
125,125,28.43981263564626,21.313574573250694,25.134187813632145,5.748098373413086,10.086677551269531,4.926795482635498,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
126,126,28.023492407781937,22.88972837862729,25.150032115823645,4.992148399353027,8.052214622497559,5.146059513092041,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,27.03375525888501,5.114649772644043,13.074076652526855,4.816263675689697,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
128,128,28.391923421353447,23.315252316365218,25.73697651676643,5.476268768310547,7.28298807144165,4.773474216461182,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
129,129,29.465245102227872,24.209883048645104,26.70518387379407,5.373117923736572,9.33877944946289,5.046435356140137,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
130,130,30.27324308013254,23.783031491875988,26.973647738220112,5.609683513641357,11.313863754272461,5.453726768493652,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
131,131,33.0539968727652,25.23355611194131,29.845445267346882,6.2030792236328125,12.011610984802246,7.558094024658203,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,30.590171632187563,6.331444263458252,12.388164520263672,6.045198917388916,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
133,133,34.52507377701583,25.596877045000497,31.07568218493847,6.299666404724121,7.647167682647705,6.639191150665283,gan,gan,cnn,cnn,0
134,134,32.518921837890055,23.04058254540847,28.77906251064002,7.141453742980957,13.276667594909668,5.513545513153076,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
135,135,29.944179549584543,20.502693507156053,26.780498167563792,6.298990726470947,11.993122100830078,4.708279609680176,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
136,136,27.83279512215704,19.71188765946126,25.213228491809918,6.232182025909424,6.450465202331543,4.644492149353027,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
137,137,26.69652879915387,18.35521341147029,24.342604156151076,5.208233833312988,9.66958236694336,4.408009052276611,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
138,138,26.265900126493325,18.5898403985513,24.0519216845127,5.562473773956299,8.217479705810547,4.716376304626465,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
139,139,25.72843674372112,17.55339321269266,23.331657676697425,5.6482439041137695,9.790724754333496,5.804681777954102,gan,gan,cnn,cnn,0
140,140,26.928885115678263,17.632487734588345,24.911108445049983,5.719569206237793,11.421890258789062,6.401493072509766,gan,gan,cnn,cnn,0
