sample,poster_score,d_B_CNN,d_B_Ablation,d_B_Topology-inspired,gain_dB_vs_Ablation_pct,W2_CNN,W2_Ablation,W2_Topology-inspired,gain_W2_vs_Ablation_pct,PSNR_CNN,PSNR_Ablation,PSNR_Topology-inspired,PSNR_drop_vs_Ablation,SSIM_CNN,SSIM_Ablation,SSIM_Topology-inspired,SSIM_drop_vs_Ablation
132,22.281351293746198,3.845458984375,3.732704162597656,2.7515010833740234,26.286655370534255,29.26107351783796,30.475608493263863,24.38633113452187,19.980822893455684,31.346967209266605,34.26178871632949,33.91138632737737,0.3504023889521193,0.7039077883522598,0.8047785116547814,0.8034466658920395,0.0013318457627419233
139,22.14430160198141,5.074337959289551,5.028976440429688,3.753072738647461,25.371041540874888,21.303696049086223,19.65944244508424,16.101771381722198,18.09650031174523,31.00602957517228,34.565282440903246,34.23421426424697,0.33106817665627375,0.7345335074897213,0.8319598190141808,0.8292822542970159,0.0026775647171649597
74,22.080863895329784,3.1163272857666016,4.14912223815918,3.057479858398437,26.310200497854364,19.979868175095305,23.16640962930446,16.077590375496417,30.599559306941583,29.691811883380907,31.63658286959835,31.342342742270183,0.29424012732816607,0.7269663687217616,0.7951289576464029,0.7958060588087011,-0.0006771011622982437
8,21.938022357367572,5.59047794342041,3.8543930053710938,3.17947769165039,17.5102879436583,22.784773633261,22.886157314640307,17.804403283946286,22.204487895585757,31.360491209352674,34.14045088690312,33.846266086204764,0.2941848006983534,0.7462499807457471,0.8178721388852263,0.8148194172866393,0.0030527215985869383
137,21.77824666325352,5.299108505249023,5.654022216796875,4.032888412475586,28.672222042305595,22.629220846697,22.77921556970985,18.632933190782616,18.20204197215931,31.21820414019816,34.948321299244036,34.63742732876486,0.310893970479178,0.7341471815756067,0.835627866976646,0.8331004505016615,0.0025274164749845562
32,21.711630501095335,5.381507873535156,7.031084060668945,4.815858840942383,31.506168901013016,31.923843967667796,35.91071734953686,28.312235061992094,21.159372043685345,33.02557990556471,35.65094841327619,35.39130199497833,0.25964641829786217,0.7507940491903843,0.8236054124477542,0.8193848427427409,0.004220569705013277
77,21.55814751497887,3.2288589477539062,3.2288589477539062,2.663203239440918,17.518749424048885,22.812311492053304,24.045697156901785,17.062621569199266,29.040853097903142,28.72430550824469,30.63117123143002,30.355031891722493,0.2761393397075267,0.7045778939538901,0.7790092742639247,0.779264484315101,-0.00025521005117623563
140,21.530428790356915,3.4958391189575195,4.094854354858398,2.966475486755371,27.556019587467038,20.578813622737982,20.33030232526282,16.34920720225922,19.582075363712704,31.172072410102334,34.445882359507344,34.16333005244974,0.2825523070576068,0.7302568277197992,0.8202230794457145,0.8189197424162125,0.0013033370295020275
35,21.521517074837753,3.371234893798828,4.541696548461914,3.0572280883789062,32.68532902282378,26.596553242721747,32.11186682359909,25.044922652118665,22.007266691474033,32.523540173374215,34.883706725902144,34.664631249858125,0.21907547604401856,0.7632348048335583,0.8270097987142686,0.82486175022874,0.002148048485528631
158,21.3707629168083,2.0530948638916016,2.948850631713867,1.9578056335449217,33.60783986515288,15.363748407309634,18.3016971018555,14.26835028822308,22.038102757276544,33.372066344448385,36.528332792153904,36.20366158934322,0.3246712028106842,0.7817323399692118,0.8578580447723507,0.8545923742707574,0.0032656705015933207
68,21.236402976286445,2.7689924240112305,2.587967157363892,2.1038951873779297,18.70471843541627,12.915117791227784,13.124585778858146,10.08931465686156,23.126605084070373,30.753726650709346,32.69530286992482,32.414099603763155,0.28120326616166125,0.7390459348812409,0.80211717328613,0.8016819072656408,0.00043526602048915564
146,21.15309680814828,2.74515151977539,3.784558296203613,2.655104637145996,29.84373791231068,21.856465793037717,25.18527984593292,19.19139472708516,23.799160285350936,30.217437493821446,32.95432054652912,32.62321692616606,0.3311036203630593,0.7058718758579288,0.7953898480705167,0.7887852190978683,0.006604628972648463
36,21.102040508428395,2.958310127258301,4.278467178344727,2.8433609008789062,33.5425332869105,26.94028388792607,31.97205671635649,24.991158243643003,21.834374105630026,32.35360131617927,34.66094534527827,34.439384744005366,0.22156060127290544,0.7598617760156954,0.8224746626489965,0.8205950935276586,0.0018795691213379095
