sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB,pd_winner_before,pd_winner_after_candidateB,mt_winner_before,mt_winner_after_candidateB,was_mt_gan_win_before
70,70,24.673819113934496,19.882401938586153,21.707619138572433,5.396136283874512,5.861793041229248,5.60344123840332,gan,gan,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,22.89635343879965,5.1588335037231445,7.186563014984131,5.853949069976807,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,24.01269439041925,4.796044826507568,5.719583988189697,5.262018203735352,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,25.478247995550884,4.9851861000061035,5.75114631652832,6.067322254180908,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,26.710496207926628,4.782100200653076,5.644299030303955,5.944952964782715,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,27.213296931617283,5.201173305511475,5.680557727813721,5.948726654052734,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,27.3537003117032,5.207019329071045,6.450347900390625,5.582655906677246,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,27.51689329594369,6.132026672363281,6.000014781951904,6.501245021820068,gan,gan,gan,gan,1
78,78,30.300511724579902,19.95492094933438,27.603003967803627,5.8028388023376465,7.092807292938232,6.561863422393799,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,28.020403916472272,6.856454849243164,6.467032432556152,7.059109687805176,gan,gan,gan,gan,1
80,80,30.086252753371088,20.744918439924255,27.669913369012992,6.982686519622803,6.176682472229004,5.710461139678955,gan,gan,gan,candidateB,1
81,81,29.68907403762892,20.982889067881906,27.41997511662329,6.426537990570068,7.567525863647461,6.109954357147217,gan,gan,cnn,candidateB,0
82,82,28.90089773637945,20.81634708740007,26.69108163076698,7.1840739250183105,6.303605079650879,6.796092987060547,gan,gan,gan,gan,1
83,83,28.194313716720707,21.794751727168247,26.265477910297605,6.560110569000244,6.599743366241455,6.456936836242676,gan,gan,cnn,candidateB,0
84,84,29.14514380262554,21.106373639070085,26.922889360392833,5.271510124206543,8.559276580810547,6.418631553649902,gan,gan,cnn,cnn,0
