row,index,mr_shape,hr_shape,mae_total,rmse_total,max_abs_diff,mae_ua,mae_va,rmse_ua,rmse_va,paired_rank_rmse,paired_rank_mae,paired_rmse,paired_mae,best_wrong_rmse,best_wrong_mae,paired_beats_wrong_rmse_gap,paired_beats_wrong_mae_gap,candidate_count
117,117,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1623233018904595,0.8176389221201738,1.1623233018904595,0.8176389221201738,168
118,118,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.19782363021862,0.8643996088380367,1.19782363021862,0.8643996088380367,168
119,119,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.179889262461045,0.8545433837666646,1.179889262461045,0.8545433837666646,168
120,120,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1340170037286,0.8302828700579219,1.1340170037286,0.8302828700579219,168
121,121,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.128507481843857,0.8302828700579219,1.128507481843857,0.8302828700579219,168
122,122,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.128507481843857,0.8390012392815337,1.128507481843857,0.8390012392815337,168
123,123,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1351531563928199,0.8433353152431627,1.1351531563928199,0.8433353152431627,168
124,124,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1519836975751527,0.8523618336822945,1.1519836975751527,0.8523618336822945,168
125,125,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1632768408430025,0.862759315186555,1.1632768408430025,0.862759315186555,168
126,126,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1632768408430025,0.862759315186555,1.1632768408430025,0.862759315186555,168
127,127,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.2059211094610827,0.8886478861363477,1.2059211094610827,0.8886478861363477,168
128,128,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.2652731383588984,0.9175895592985809,1.2652731383588984,0.9175895592985809,168
129,129,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.2912091471624638,0.9494654966127706,1.2912091471624638,0.9494654966127706,168
130,130,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.2912091471624638,0.9560923804123322,1.2912091471624638,0.9560923804123322,168
131,131,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.3350122006066631,1.0072891227174987,1.3350122006066631,1.0072891227174987,168
132,132,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.3760218020622734,1.0253472527415637,1.3760218020622734,1.0253472527415637,168
133,133,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.3965788022931385,1.0305433799200485,1.3965788022931385,1.0305433799200485,168
134,134,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.5246075893931592,1.1348900529187087,1.5246075893931592,1.1348900529187087,168
135,135,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.522377751474728,1.0909297374389124,1.522377751474728,1.0909297374389124,168
136,136,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.498198460478689,1.0281900582285812,1.498198460478689,1.0281900582285812,168
137,137,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.4920651383361372,1.003081451693563,1.4920651383361372,1.003081451693563,168
138,138,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.4920651383361372,0.957489750244662,1.4920651383361372,0.957489750244662,168
139,139,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.4943943273379512,0.9560702849378988,1.4943943273379512,0.9560702849378988,168
140,140,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.5045685714005124,0.9560702849378988,1.5045685714005124,0.9560702849378988,168
141,141,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.5718255380174089,1.0385033820935958,1.5718255380174089,1.0385033820935958,168
142,142,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.667556861882622,1.1973494284765085,1.667556861882622,1.1973494284765085,168
143,143,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.6017936991057675,1.1641430081470676,1.6017936991057675,1.1641430081470676,168
144,144,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.5795656294742593,1.1512945391223846,1.5795656294742593,1.1512945391223846,168
145,145,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.5795656294742593,1.1512945391223846,1.5795656294742593,1.1512945391223846,168
146,146,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.575694334767416,1.179606753637817,1.575694334767416,1.179606753637817,168
147,147,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.5450457032797897,1.179606753637817,1.5450457032797897,1.179606753637817,168
148,148,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.535297156275425,1.17825917721205,1.535297156275425,1.17825917721205,168
149,149,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.474392569671071,1.133713302500326,1.474392569671071,1.133713302500326,168
150,150,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.4218214624048193,1.084814448942202,1.4218214624048193,1.084814448942202,168
151,151,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.3773738446528985,1.0396306666611674,1.3773738446528985,1.0396306666611674,168
152,152,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.3197562107241694,0.9869953741937095,1.3197562107241694,0.9869953741937095,168
153,153,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.312381352317757,0.9834298996964779,1.312381352317757,0.9834298996964779,168
154,154,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.312381352317757,0.9757854527965537,1.312381352317757,0.9757854527965537,168
155,155,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.303619638134165,0.9725518759441835,1.303619638134165,0.9725518759441835,168
156,156,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.2661869068735965,0.9680719138004662,1.2661869068735965,0.9680719138004662,168
157,157,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.2661869068735965,0.9680719138004662,1.2661869068735965,0.9680719138004662,168
158,158,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1565931777782952,0.9293724877783965,1.1565931777782952,0.9293724877783965,168
159,159,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.987360955631389,0.8021788622774643,0.987360955631389,0.8021788622774643,168
160,160,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.987360955631389,0.8021788622774643,0.987360955631389,0.8021788622774643,168
161,161,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.010846021986185,0.8343624359515436,1.010846021986185,0.8343624359515436,168
162,162,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0132540813980737,0.8340008398600001,1.0132540813980737,0.8340008398600001,168
163,163,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0229119240261142,0.8326983482440522,1.0229119240261142,0.8326983482440522,168
164,164,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0364549828078575,0.8326983482440522,1.0364549828078575,0.8326983482440522,168
165,165,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1272530422529108,0.8957818010493327,1.1272530422529108,0.8957818010493327,168
166,166,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0949836716736738,0.8758573830722914,1.0949836716736738,0.8758573830722914,168
167,167,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0949836716736738,0.8758573830722914,1.0949836716736738,0.8758573830722914,168
