sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV,pd_winner_before,pd_winner_after_candidateUV,mt_winner_before,mt_winner_after_candidateUV,was_mt_gan_win_before
42,42,21.63035540369367,14.632793364821667,23.774776901300545,5.757840156555176,7.383090972900391,6.541330337524414,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,22.679097115302937,5.7682366371154785,7.053122520446777,6.230128765106201,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,21.375659593621286,6.20600700378418,7.041088581085205,6.8416056632995605,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,21.748422329846072,6.566225528717041,6.773196697235107,6.6761603355407715,gan,gan,cnn,cnn,0
46,46,20.678325640697178,16.27228595124608,21.335889521448753,6.243154048919678,6.650214672088623,6.626213073730469,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,22.24146791340577,6.789880752563477,7.498397350311279,7.075029373168945,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,23.27566848752472,7.081502437591553,6.682991981506348,7.463681697845459,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,23.04646981430519,6.3195295333862305,7.889017105102539,6.994887351989746,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,22.551556202590763,6.3856120109558105,6.713321685791016,6.4353556632995605,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,22.974377938094566,5.902731418609619,7.996896266937256,6.304480075836182,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,23.734854812517444,5.69123649597168,7.0050048828125,6.0394463539123535,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,23.885319013322217,5.261850833892822,7.919146537780762,5.547740936279297,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,25.029155448027385,5.500187397003174,9.581897735595703,5.872155666351318,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,25.946721228473635,5.2683796882629395,7.846588134765625,6.083271503448486,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,26.584251951178036,5.488292217254639,7.826909065246582,5.9331841468811035,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,26.778683846959684,5.463809013366699,6.805661201477051,6.103095531463623,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,27.576885963908556,6.08959436416626,8.349846839904785,6.317678928375244,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,27.845762332533756,5.546851634979248,7.89148473739624,6.070505619049072,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,28.16025951079104,5.321651458740234,8.357301712036133,6.441847324371338,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,28.401086720115323,5.346891403198242,8.12722110748291,6.118131637573242,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,29.7573130886656,6.720277786254883,6.650205135345459,7.253958225250244,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,30.536828298725162,7.660599708557129,7.5776286125183105,7.668883800506592,gan,gan,gan,gan,1
64,64,24.7100597287657,16.701032359601633,26.17744328169136,5.944510459899902,7.137726306915283,6.295754909515381,gan,gan,cnn,cnn,0
