method,key,sample_idx,psnr,pd_distance,mt_distance
gan,gan_s49_speed_p160_x0_y0,49,14.570201216626995,21.42064908275088,9.634648323059082
gan,gan_s50_speed_p160_x0_y0,50,14.681508052190834,22.158217368020026,11.20584774017334
gan,gan_s51_speed_p160_x0_y0,51,14.649793661724527,23.888807121485407,11.48340892791748
gan,gan_s52_speed_p160_x0_y0,52,15.295341765632923,26.26827135201108,12.664344787597656
gan,gan_s53_speed_p160_x0_y0,53,15.696033306952861,28.307400199492537,13.55466079711914
gan,gan_s54_speed_p160_x0_y0,54,15.996961562207467,30.55005973185936,14.678240776062012
gan,gan_s55_speed_p160_x0_y0,55,15.995401466011216,31.543508927737708,16.50567626953125
gan,gan_s56_speed_p160_x0_y0,56,15.876513555228337,33.350817176506,16.101547241210938
gan,gan_s57_speed_p160_x0_y0,57,15.448989182328557,34.83705261288143,13.32442855834961
gan,gan_s58_speed_p160_x0_y0,58,15.120057316474941,36.57715167770035,16.58735466003418
gan,gan_s59_speed_p160_x0_y0,59,15.248338832797643,38.095148301455616,15.9739990234375
gan,gan_s60_speed_p160_x0_y0,60,14.962845572982827,38.87618369636994,20.08839225769043
gan,gan_s61_speed_p160_x0_y0,61,14.064674757015357,39.923660329986895,22.844724655151367
gan,gan_s62_speed_p160_x0_y0,62,14.032414325251256,40.05557508214221,20.31317710876465
gan,gan_s63_speed_p160_x0_y0,63,13.970279029791598,36.34103179209364,19.081890106201172
gan,gan_s64_speed_p160_x0_y0,64,13.727305972591818,34.10111545430272,18.334238052368164
gan,gan_s65_speed_p160_x0_y0,65,13.097918649003695,32.88625020968022,15.34361743927002
gan,gan_s66_speed_p160_x0_y0,66,12.418322207565808,31.887544225147675,13.082369804382324
gan,gan_s67_speed_p160_x0_y0,67,12.251554912432947,31.275301339533243,12.851366996765137
gan,gan_s68_speed_p160_x0_y0,68,12.53510193217675,31.28360088229766,11.1427001953125
gan,gan_s69_speed_p160_x0_y0,69,11.6768704787848,34.509025692123515,14.553670883178711
gan,gan_s70_speed_p160_x0_y0,70,11.899550247712924,36.39579563397438,19.217042922973633
gan,gan_s71_speed_p160_x0_y0,71,12.126657619536026,38.92351527446712,21.065486907958984
gan,gan_s72_speed_p160_x0_y0,72,12.16557133566797,38.439701497688844,25.3811092376709
gan,gan_s73_speed_p160_x0_y0,73,12.259193978148826,39.72487987173686,24.64757537841797
gan,gan_s74_speed_p160_x0_y0,74,12.45715799273406,40.703965228891875,21.231599807739258
