method,key,sample_idx,ssim,pd_distance,mt_distance
cnn,cnn_s69_speed_p160_x0_y0,69,0.47998595260750004,28.41339537037206,7.662077903747559
cnn,cnn_s70_speed_p160_x0_y0,70,0.48660157391923475,30.236287093311407,9.682647705078125
cnn,cnn_s71_speed_p160_x0_y0,71,0.4805135131429204,31.766486645798278,11.536225318908691
cnn,cnn_s72_speed_p160_x0_y0,72,0.48396151760880785,33.704107648480225,10.406431198120117
cnn,cnn_s73_speed_p160_x0_y0,73,0.4819236096022843,34.19308472083419,13.883359909057617
cnn,cnn_s74_speed_p160_x0_y0,74,0.4768372526357834,35.40343144945609,11.496743202209473
cnn,cnn_s75_speed_p160_x0_y0,75,0.4657591680484085,35.8108977884351,12.707706451416016
cnn,cnn_s76_speed_p160_x0_y0,76,0.4493414755989228,36.63566158969938,13.013518333435059
cnn,cnn_s77_speed_p160_x0_y0,77,0.4511912375090257,37.423350774735695,10.72024154663086
cnn,cnn_s78_speed_p160_x0_y0,78,0.45400292213611215,37.74785216658497,11.020406723022461
cnn,cnn_s79_speed_p160_x0_y0,79,0.4596988047958488,37.97455030862073,11.775860786437988
cnn,cnn_s80_speed_p160_x0_y0,80,0.4642584475471973,37.91510700069518,11.60774040222168
cnn,cnn_s81_speed_p160_x0_y0,81,0.46114050363582704,38.36409269486838,9.47352123260498
cnn,cnn_s82_speed_p160_x0_y0,82,0.46891063246992776,37.73072930950799,9.221940994262695
cnn,cnn_s83_speed_p160_x0_y0,83,0.4596686566590386,37.454525524470526,11.2464017868042
cnn,cnn_s84_speed_p160_x0_y0,84,0.47004782695805675,37.37238360383675,13.639805793762207
cnn,cnn_s85_speed_p160_x0_y0,85,0.4609853272489629,36.58051276742986,13.024733543395996
cnn,cnn_s86_speed_p160_x0_y0,86,0.45345753713750675,36.555783673107385,13.544218063354492
cnn,cnn_s87_speed_p160_x0_y0,87,0.44861000417301555,34.89086600239789,8.46773624420166
cnn,cnn_s88_speed_p160_x0_y0,88,0.46459992758028695,30.677053553722207,7.651012897491455
cnn,cnn_s89_speed_p160_x0_y0,89,0.4823466479147305,28.32623122213673,8.429685592651367
cnn,cnn_s90_speed_p160_x0_y0,90,0.48332477461660295,26.93908349026711,8.072452545166016
cnn,cnn_s91_speed_p160_x0_y0,91,0.48762987060329155,27.235585582142722,7.781002044677734
cnn,cnn_s92_speed_p160_x0_y0,92,0.47142715173846106,26.643613866440504,7.774722576141357
cnn,cnn_s93_speed_p160_x0_y0,93,0.41164753970989215,30.176553021236728,8.861827850341797
cnn,cnn_s94_speed_p160_x0_y0,94,0.4376721835463744,31.350337789884023,8.629904747009277
cnn,cnn_s95_speed_p160_x0_y0,95,0.4600591818733531,33.445163461051685,6.951667308807373
cnn,cnn_s96_speed_p160_x0_y0,96,0.45997763972814143,34.77351918291079,10.570521354675293
cnn,cnn_s97_speed_p160_x0_y0,97,0.4781772327334952,34.95993418299238,9.191466331481934
cnn,cnn_s98_speed_p160_x0_y0,98,0.46989475931325486,35.690585104844466,11.993157386779785
cnn,cnn_s99_speed_p160_x0_y0,99,0.46927720018694713,36.53020154438857,11.022207260131836
cnn,cnn_s100_speed_p160_x0_y0,100,0.46490433709589035,36.718313311494306,12.226722717285156
cnn,cnn_s101_speed_p160_x0_y0,101,0.4676427336831059,35.951245738898734,12.674586296081543
cnn,cnn_s102_speed_p160_x0_y0,102,0.4835648416439811,34.15580103494121,10.271135330200195
cnn,cnn_s103_speed_p160_x0_y0,103,0.4768786996229641,35.159461063196254,11.071194648742676
cnn,cnn_s104_speed_p160_x0_y0,104,0.4863196527611224,35.18632119915297,13.296687126159668
cnn,cnn_s105_speed_p160_x0_y0,105,0.47093944388551373,36.37858293690307,13.770055770874023
cnn,cnn_s106_speed_p160_x0_y0,106,0.4557413560803225,37.02202114129641,13.011298179626465
cnn,cnn_s107_speed_p160_x0_y0,107,0.47409953095307594,37.492103735944546,13.247636795043945
cnn,cnn_s108_speed_p160_x0_y0,108,0.4632669989664786,35.91648141314297,14.35383415222168
cnn,cnn_s109_speed_p160_x0_y0,109,0.4678082937795539,35.275557246291065,15.214360237121582
cnn,cnn_s110_speed_p160_x0_y0,110,0.45510252514450833,35.625101862189204,13.815155982971191
cnn,cnn_s111_speed_p160_x0_y0,111,0.45755109679822115,33.74244687650233,14.776040077209473
cnn,cnn_s112_speed_p160_x0_y0,112,0.4770401359598918,33.07792657827439,10.652641296386719
cnn,cnn_s113_speed_p160_x0_y0,113,0.48225810693153415,30.403231393855748,10.468160629272461
cnn,cnn_s114_speed_p160_x0_y0,114,0.4912636023468782,30.146223916651287,9.326315879821777
cnn,cnn_s115_speed_p160_x0_y0,115,0.5226850478739462,29.840914946550186,8.4431791305542
cnn,cnn_s116_speed_p160_x0_y0,116,0.5290890413484745,30.739825234031546,10.808460235595703
