method,key,pd_distance,mt_distance,error,source_dir
cnn,cnn_s54_speed_p160_x0_y0,24.723834581876766,12.332879066467285,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s55_speed_p160_x0_y0,26.104762546354156,10.63972282409668,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s56_speed_p160_x0_y0,26.93757205188577,10.931795120239258,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s57_speed_p160_x0_y0,27.753798558094505,8.932136535644531,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s58_speed_p160_x0_y0,29.08839274073097,10.08234691619873,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s59_speed_p160_x0_y0,30.318263722444744,9.88312816619873,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s5_speed_p160_x0_y0,33.0510752405221,8.72776985168457,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s60_speed_p160_x0_y0,30.977505188378355,10.235136985778809,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s61_speed_p160_x0_y0,31.58589352685474,10.10775089263916,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s62_speed_p160_x0_y0,32.89065887520717,8.933357238769531,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s63_speed_p160_x0_y0,30.803141941023416,7.498580455780029,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s64_speed_p160_x0_y0,26.602280148754833,7.603146076202393,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s65_speed_p160_x0_y0,24.905253958212505,7.4953508377075195,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s66_speed_p160_x0_y0,24.407374379184542,6.743908405303955,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s67_speed_p160_x0_y0,23.455656114807084,6.241796493530273,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s68_speed_p160_x0_y0,24.83628846171297,7.5182013511657715,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s69_speed_p160_x0_y0,28.41339537037206,7.662077903747559,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s6_speed_p160_x0_y0,34.23249658361452,6.879649639129639,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s70_speed_p160_x0_y0,30.236287093311407,9.682647705078125,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s71_speed_p160_x0_y0,31.766486645798278,11.536225318908691,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s72_speed_p160_x0_y0,33.704107648480225,10.406431198120117,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s73_speed_p160_x0_y0,34.19308472083419,13.883359909057617,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s74_speed_p160_x0_y0,35.40343144945609,11.496743202209473,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s75_speed_p160_x0_y0,35.8108977884351,12.707706451416016,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s76_speed_p160_x0_y0,36.63566158969938,13.013518333435059,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s77_speed_p160_x0_y0,37.423350774735695,10.72024154663086,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s78_speed_p160_x0_y0,37.74785216658497,11.020406723022461,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s79_speed_p160_x0_y0,37.97455030862073,11.775860786437988,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s7_speed_p160_x0_y0,34.49768767426166,10.272831916809082,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s80_speed_p160_x0_y0,37.91510700069518,11.60774040222168,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s81_speed_p160_x0_y0,38.36409269486838,9.47352123260498,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s82_speed_p160_x0_y0,37.73072930950799,9.221940994262695,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s83_speed_p160_x0_y0,37.454525524470526,11.2464017868042,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s84_speed_p160_x0_y0,37.37238360383675,13.639805793762207,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s85_speed_p160_x0_y0,36.58051276742986,13.024733543395996,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s86_speed_p160_x0_y0,36.555783673107385,13.544218063354492,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s87_speed_p160_x0_y0,34.89086600239789,8.46773624420166,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s88_speed_p160_x0_y0,30.677053553722207,7.651012897491455,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s89_speed_p160_x0_y0,28.32623122213673,8.429685592651367,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s8_speed_p160_x0_y0,35.53191307563801,8.75827407836914,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s90_speed_p160_x0_y0,26.93908349026711,8.072452545166016,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s91_speed_p160_x0_y0,27.235585582142722,7.781002044677734,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s92_speed_p160_x0_y0,26.643613866440504,7.774722576141357,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s93_speed_p160_x0_y0,30.176553021236728,8.861827850341797,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s94_speed_p160_x0_y0,31.350337789884023,8.629904747009277,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s95_speed_p160_x0_y0,33.445163461051685,6.951667308807373,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s96_speed_p160_x0_y0,34.77351918291079,10.570521354675293,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s97_speed_p160_x0_y0,34.95993418299238,9.191466331481934,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s98_speed_p160_x0_y0,35.690585104844466,11.993157386779785,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s99_speed_p160_x0_y0,36.53020154438857,11.022207260131836,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s9_speed_p160_x0_y0,34.70855200692721,9.8829927444458,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
gan,gan_s0_speed_p160_x0_y0,27.0071009905408,14.280324935913086,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s100_speed_p160_x0_y0,43.522693434336205,22.321170806884766,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s101_speed_p160_x0_y0,44.111844947653864,25.500688552856445,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s102_speed_p160_x0_y0,42.36142569077711,19.106307983398438,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s103_speed_p160_x0_y0,42.253325690693345,26.03277015686035,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s104_speed_p160_x0_y0,43.36242191915131,28.729467391967773,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s105_speed_p160_x0_y0,44.57262548403541,32.60515213012695,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s106_speed_p160_x0_y0,46.227371060295916,29.934009552001953,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s107_speed_p160_x0_y0,46.88604736135386,36.82601547241211,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s108_speed_p160_x0_y0,45.869857725290366,26.773040771484375,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s109_speed_p160_x0_y0,45.17536936546084,27.08778953552246,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s10_speed_p160_x0_y0,43.03561146689716,12.987634658813477,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s110_speed_p160_x0_y0,45.56280619040239,22.53459930419922,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s111_speed_p160_x0_y0,44.157580847467365,23.96986198425293,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
gan,gan_s112_speed_p160_x0_y0,42.64787321607083,25.070964813232422,,provenance_compare20260408_163840/ttk_runs_rebuild/gan/phase_c_final
