sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_levelset_expanded2688,was_mt_gan_win_before
66,66,20.981857591368968,15.979342195015368,16.00687977339858,5.701828956604004,6.4086198806762695,5.558345317840576,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
67,67,20.679919922717943,14.773695042869097,15.076303766103422,5.030301094055176,6.6433844566345215,5.471014022827148,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,15.92119029271141,6.074338436126709,5.670867919921875,5.464351654052734,gan,gan,gan,candidateB_factorial_grad_levelset_expanded2688,1
69,69,24.168055816700438,16.112222498232782,17.98154176520059,5.17050838470459,6.406604290008545,5.3835625648498535,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,18.634215551276437,5.396136283874512,5.861793041229248,5.689796447753906,gan,candidateB_factorial_grad_levelset_expanded2688,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,19.015860439029026,5.1588335037231445,7.186563014984131,7.004916191101074,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,20.32223640489221,4.796044826507568,5.719583988189697,6.152359485626221,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,21.149578137825245,4.9851861000061035,5.75114631652832,5.841282367706299,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,22.00164988705296,4.782100200653076,5.644299030303955,6.233644485473633,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,21.9745688660638,5.201173305511475,5.680557727813721,5.854305744171143,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,22.7378594162093,5.207019329071045,6.450347900390625,6.047101020812988,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,23.320181855654376,6.132026672363281,6.000014781951904,6.672428607940674,gan,gan,gan,gan,1
78,78,30.300511724579902,19.95492094933438,22.564878892549057,5.8028388023376465,7.092807292938232,6.761198997497559,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,23.193252923238617,6.856454849243164,6.467032432556152,5.971253871917725,gan,gan,gan,candidateB_factorial_grad_levelset_expanded2688,1
80,80,30.086252753371088,20.744918439924255,22.947895329159344,6.982686519622803,6.176682472229004,6.457751274108887,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,22.83983389633188,6.426537990570068,7.567525863647461,5.862247467041016,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
82,82,28.90089773637945,20.81634708740007,22.31009175643418,7.1840739250183105,6.303605079650879,6.135095596313477,gan,gan,gan,candidateB_factorial_grad_levelset_expanded2688,1
83,83,28.194313716720707,21.794751727168247,21.679837867143814,6.560110569000244,6.599743366241455,5.776301860809326,gan,candidateB_factorial_grad_levelset_expanded2688,cnn,candidateB_factorial_grad_levelset_expanded2688,0
84,84,29.14514380262554,21.106373639070085,22.61049054213906,5.271510124206543,8.559276580810547,6.090165615081787,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,22.14898579140455,5.609640121459961,7.718591690063477,5.913051128387451,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,22.384864269628302,5.25334358215332,9.43416690826416,6.0324273109436035,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,23.535677257550635,6.509652614593506,7.174471855163574,7.058825969696045,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,21.899261752602317,6.411813259124756,6.487721920013428,6.782655239105225,gan,gan,cnn,cnn,0
89,89,24.29846982632471,17.197907308437554,19.52507074667463,6.017302513122559,6.256072521209717,6.404329776763916,gan,gan,cnn,cnn,0
