sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_tf_lowlambda_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_tf_lowlambda_expanded2688,pd_winner_before,pd_winner_after_candidateE2_tf_lowlambda_expanded2688,mt_winner_before,mt_winner_after_candidateE2_tf_lowlambda_expanded2688,was_mt_gan_win_before
46,46,20.678325640697178,16.27228595124608,16.638295995679226,6.243154048919678,6.650214672088623,5.4616804122924805,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
47,47,22.201753073772625,13.108895112859523,17.526043734008955,6.789880752563477,7.498397350311279,6.90322732925415,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,17.65281671439192,7.081502437591553,6.682991981506348,6.2410054206848145,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
49,49,22.105793975200847,13.662675111493924,17.766940298694518,6.3195295333862305,7.889017105102539,6.312215805053711,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
50,50,21.30877833114525,14.865452226211227,17.40885656597181,6.3856120109558105,6.713321685791016,6.243093967437744,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
51,51,21.75849079768097,16.03686368056312,18.06298364164404,5.902731418609619,7.996896266937256,6.344870090484619,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,18.624213954324244,5.69123649597168,7.0050048828125,6.034511089324951,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,18.6829442464522,5.261850833892822,7.919146537780762,5.719025611877441,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,19.3053081893131,5.500187397003174,9.581897735595703,5.815982341766357,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,20.129522519847036,5.2683796882629395,7.846588134765625,5.753617286682129,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,21.06054480788561,5.488292217254639,7.826909065246582,6.08966064453125,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,21.27749350697637,5.463809013366699,6.805661201477051,5.306560039520264,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
58,58,25.56121844001433,18.762904108038654,21.913991983846323,6.08959436416626,8.349846839904785,5.858288288116455,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
59,59,25.864386079507888,18.65101850934172,22.136134911250778,5.546851634979248,7.89148473739624,6.353670120239258,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,22.482293955169265,5.321651458740234,8.357301712036133,5.684255599975586,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,22.893473310488222,5.346891403198242,8.12722110748291,5.1657304763793945,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
62,62,27.46350343812835,17.993686869301147,24.159043187134976,6.720277786254883,6.650205135345459,6.292698860168457,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
63,63,28.524583670890912,18.199751597271156,24.423962933736586,7.660599708557129,7.5776286125183105,5.96987771987915,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
64,64,24.7100597287657,16.701032359601633,21.031246668781353,5.944510459899902,7.137726306915283,4.961666584014893,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
65,65,22.148883751156426,16.23947552161985,19.317236352828573,5.820770263671875,5.576780319213867,5.157808303833008,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
66,66,20.981857591368968,15.979342195015368,18.069398314521546,5.701828956604004,6.4086198806762695,5.52601432800293,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
