sample_idx,archetype_id,method_id,raw__psnruv,oriented_improvement_vs_cnn__psnruv,raw__ssim_speed,oriented_improvement_vs_cnn__ssim_speed,raw__speed_mae,oriented_improvement_vs_cnn__speed_mae,raw__speed_rmse,oriented_improvement_vs_cnn__speed_rmse,raw__wpd_mae,oriented_improvement_vs_cnn__wpd_mae,raw__wpd_w1,oriented_improvement_vs_cnn__wpd_w1,raw__wpd_bias_abs,oriented_improvement_vs_cnn__wpd_bias_abs,raw__grad_mae,oriented_improvement_vs_cnn__grad_mae,raw__grad_w1,oriented_improvement_vs_cnn__grad_w1,raw__grad_kurtosis_abs_delta,oriented_improvement_vs_cnn__grad_kurtosis_abs_delta,raw__psd_log_l2,oriented_improvement_vs_cnn__psd_log_l2,raw__psd_slope_abs_delta,oriented_improvement_vs_cnn__psd_slope_abs_delta,raw__exceed_abs_t5,oriented_improvement_vs_cnn__exceed_abs_t5,raw__exceed_abs_t10,oriented_improvement_vs_cnn__exceed_abs_t10,raw__exceed_abs_t15,oriented_improvement_vs_cnn__exceed_abs_t15,raw__exceed_abs_p90,oriented_improvement_vs_cnn__exceed_abs_p90,raw__comp_curve_l1,oriented_improvement_vs_cnn__comp_curve_l1,raw__comp_abs_t5,oriented_improvement_vs_cnn__comp_abs_t5,raw__comp_abs_t10,oriented_improvement_vs_cnn__comp_abs_t10,raw__comp_abs_t15,oriented_improvement_vs_cnn__comp_abs_t15,raw__pd_distance,oriented_improvement_vs_cnn__pd_distance,raw__mt_distance,oriented_improvement_vs_cnn__mt_distance,method_level_pd_rank,method_level_mt_rank,on_topology_only_deterministic_front,topology_only_bootstrap_rate_iid,topology_only_bootstrap_rate_block6,topology_only_bootstrap_rate_block12,topology_only_bootstrap_rate_block24
119,f3_pd_vs_uv_e2_mt_tradeoff,uv_e2,32.00083480526632,1.5704712065854771,,,0.5608716441641992,0.10780546660709733,0.9045509916130101,0.11527727264851206,187.7024152113993,45.27868807183472,17.710752832404868,41.671092350361434,12.534334499244485,39.83324116189901,0.30855136164373187,0.027163633074383686,0.17779644426427854,0.057779957738911564,0.05354000477045062,0.2607036946009327,0.5953844661691506,-0.024416709223256228,1.5075938559073419,-0.38036680251978994,0.0023199999999999887,0.006180000000000074,0.0040040000000000076,0.01810400000000001,0.0014160000000000006,0.005559999999999982,0.0008280000000000093,0.0075799999999999895,91.33333333333333,13.166666666666671,5.0,0.0,314.0,37.0,41.0,26.0,27.082477586130135,0.10537030679801873,4.846616268157959,0.37216901779174805,12.0,1.0,True,0.9862,0.9691,0.9607,0.9662
25,f2_balanced_vs_cnn,bicubic,33.87394779266054,1.3219744185393338,,,0.7786270901665931,0.1379498639757526,1.2532027823233558,0.1524651493254392,390.2179868087754,78.37455079268807,101.38166376211129,-29.74476291366443,75.57874696549801,-35.90028327524239,0.4929888961172816,-0.029471030842050383,0.4423081417999407,-0.11165011113440027,9.139899928563498,0.12756740062238237,1.6136176108486548,-0.4382853490558394,1.234846294370532,-0.6705506810801478,0.007500000000000062,-0.0031959999999999766,0.005804000000000031,0.0018960000000000088,0.006635999999999975,-0.0045159999999999645,0.004124000000000003,0.0009800000000000086,166.83333333333334,-40.16666666666667,27.0,-4.0,264.0,-53.0,282.0,-88.0,,,,,,,,,,,
25,f2_balanced_vs_cnn,cnn,32.551973374121204,,,,0.9165769541423457,,1.405667931648795,,468.59253760146345,,71.63690084844686,,39.678463690255626,,0.4635178652752312,,0.33065803066554045,,9.26746732918588,,1.1753322617928155,,0.5642956132903842,,0.0043040000000000855,,0.00770000000000004,,0.0021200000000000108,,0.005104000000000011,,126.66666666666667,,23.0,,211.0,,194.0,,36.58411526021696,,11.371563911437988,,13.0,7.0,False,0.0,0.0,0.0,0.0
25,f2_balanced_vs_cnn,gan,30.997709699649167,-1.5542636744720362,,,1.1333774469516664,-0.21680049280932068,1.7068558660350743,-0.30118793438627933,599.737952642069,-131.14541504060554,213.48403466239276,-141.8471338139459,131.28218910862824,-91.60372541837262,0.4804834029442556,-0.016965537669024422,0.08748808080865918,0.24316994985688128,0.275978153923397,8.991489175262483,0.6665166362718811,0.5088156255209344,0.5418349598470442,0.02246065344334003,0.008688000000000029,-0.0043839999999999435,0.05630400000000002,-0.04860399999999998,0.022536,-0.02041599999999999,0.00538000000000001,-0.00027599999999999847,128.16666666666666,-1.4999999999999858,5.0,18.0,79.0,132.0,139.0,55.0,30.123491475362258,6.460623784854704,10.501462936401367,0.8701009750366211,1.0,18.0,True,1.0,1.0,1.0,1.0
25,f2_balanced_vs_cnn,candidate_c,35.27471264237368,2.722739268252475,,,0.6759993991130374,0.24057755502930833,1.0779202184634324,0.32774771318536255,332.5300554694297,136.06248213203372,37.948875898408126,33.68802495003873,14.784814298894181,24.893649391361443,0.40920598811994224,0.05431187715528896,0.27465295079200763,0.056005079873532815,7.895991499750377,1.3714758294355036,1.2731088913631363,-0.09777662957032085,0.8482232021484941,-0.28392758885810987,0.005380000000000051,-0.0010759999999999659,0.00592400000000004,0.0017759999999999998,0.0018360000000000043,0.00028400000000000647,0.003591999999999998,0.0015120000000000133,115.33333333333333,11.333333333333343,17.0,6.0,206.0,5.0,198.0,-4.0,30.79463043390562,5.789484826311341,7.462067127227783,3.909496784210205,3.0,14.0,False,0.0002,0.0006,0.0007,0.0003
25,f2_balanced_vs_cnn,f3_grad_crit,35.125773739191516,2.573800365070312,,,0.6971865190378166,0.21939043510452916,1.1007722810226217,0.3048956506261733,347.6440812950219,120.94845630644153,64.28396229985435,7.352938548592505,55.63651437452641,-15.958050684270788,0.4063612208235559,0.05715664445167529,0.2512691770765558,0.07938885358898462,6.434319227792127,2.8331481013937534,1.158943116946919,0.016389144845896375,1.40621458796338,-0.8419189746729958,0.0050800000000000844,-0.0007759999999999989,0.009416000000000091,-0.0017160000000000508,0.0046479999999999855,-0.0025279999999999747,0.008312,-0.0032079999999999886,99.83333333333333,26.833333333333343,18.0,5.0,161.0,50.0,171.0,23.0,29.50728131352373,7.076833946693231,7.237429618835449,4.134134292602539,2.0,9.0,True,1.0,0.9997,0.9967,0.9861
25,f2_balanced_vs_cnn,f2_grad_levelset_e2,34.44351014695147,1.8915367728302641,,,0.746644956132977,0.16993199800936876,1.1823531794570297,0.22331475219176533,371.7344314559622,96.85810614550127,44.42924149569252,27.207659352754334,39.089452016243875,0.5890116740117506,0.41218178454725796,0.05133608072797324,0.232694741846053,0.09796328881948746,14.842238353917569,-5.574771024731689,1.2082226815183674,-0.032890419725551956,0.8485569535202924,-0.2842613402299081,0.002080000000000082,0.0022240000000000038,0.0044119999999999715,0.0032880000000000686,0.0012280000000000069,0.0008920000000000039,0.0022240000000000038,0.0028800000000000076,92.5,34.16666666666667,16.0,7.0,198.0,13.0,113.0,81.0,31.47802758743707,5.106087672779893,6.638813018798828,4.73275089263916,8.0,4.0,True,1.0,0.9995,0.9967,0.9915
25,f2_balanced_vs_cnn,uv_e2,34.40343805535023,1.8514646812290252,,,0.7502252885156984,0.16635166562664738,1.1854774234171683,0.22019050823162667,377.0444535091554,91.54808409230805,44.68606250782901,26.95083834061785,36.555098262831805,3.1233654274238205,0.4223919185937954,0.04112594668143582,0.26550115367947635,0.0651568769860641,20.05201038723867,-10.78454305805279,1.2349249930496764,-0.05959273125686093,0.7575514581809506,-0.19325584489056635,0.0025200000000000777,0.0017840000000000078,0.005003999999999897,0.0026960000000001427,0.0008920000000000039,0.0012280000000000069,0.0010440000000000033,0.004060000000000008,111.0,15.666666666666671,20.0,3.0,206.0,5.0,162.0,32.0,33.40366081902407,3.180454441192893,7.113855361938477,4.257708549499512,12.0,1.0,True,0.9862,0.9691,0.9607,0.9662
30,candidate_c_continuity,bicubic,33.80161289483709,0.747263494723299,,,0.8048455248008879,0.13951267649607912,1.406964503908345,0.127323438006546,367.9269103255973,70.79236586268746,138.27064766462476,-90.73586901047649,106.96094203750259,-84.20310247993883,0.4969902856077473,-0.03025516631352415,0.43880888456423195,-0.1331195722432495,13.014291307639905,-11.320974022368318,1.4887308889410964,-0.554042393350866,1.4447237223849418,-0.8420406455582359,0.011144000000000043,-0.009136000000000033,0.008067999999999964,0.00031199999999997896,0.013576000000000005,-0.012999999999999984,0.01416400000000001,-0.005864000000000008,161.83333333333334,-57.500000000000014,9.0,-2.0,262.0,-49.0,293.0,-111.0,,,,,,,,,,,
30,candidate_c_continuity,cnn,33.05434940011379,,,,0.944358201296967,,1.534287941914891,,438.71927618828477,,47.53477865414827,,22.75783955756376,,0.4667351192942231,,0.30568931232098245,,1.6933172852715863,,0.9346884955902304,,0.602683076826706,,0.0020080000000000098,,0.008379999999999943,,0.0005760000000000209,,0.008300000000000002,,104.33333333333333,,7.0,,213.0,,182.0,,39.94080457344863,,8.127463340759277,,13.0,7.0,False,0.0,0.0,0.0,0.0
