sample_idx,pos_idx,pd_distance_candidateE2_tf_lowlambda_expanded672,mt_distance_candidateE2_tf_lowlambda_expanded672
47,47,17.639745506719127,7.031888008117676
48,48,18.5067832878355,6.612390518188477
49,49,18.026604347857692,6.441958904266357
50,50,17.676730596635633,6.599015712738037
51,51,18.437642745346253,6.230747699737549
52,52,18.84207991656513,5.960057258605957
53,53,18.65879739619763,5.490906238555908
54,54,19.716871109856903,6.10308837890625
55,55,20.668045071247978,5.467507839202881
56,56,21.32552669485973,6.289700984954834
57,57,21.617825576139158,5.730015277862549
58,58,22.244062148909453,5.96264123916626
59,59,22.565592617991754,5.960318088531494
60,60,22.5793819623193,5.573670387268066
61,61,22.884318805160095,5.708768367767334
62,62,24.353312293498657,6.106431007385254
63,63,24.892327217415176,6.203132152557373
64,64,21.35130139864488,5.3679938316345215
65,65,19.421630937989516,4.633632183074951
66,66,18.090042970735766,5.242560863494873
67,67,17.88315019567015,4.346615314483643
68,68,18.521596975141335,4.799108505249023
69,69,21.10636558140548,4.702548980712891
70,70,21.720798914817248,4.717161178588867
71,71,22.201722195114474,4.865665435791016
72,72,23.261439187924132,4.6668243408203125
73,73,24.573822382425934,5.05372953414917
74,74,25.588920591759837,5.078252792358398
75,75,25.8917732286895,5.2694244384765625
76,76,26.317893400366128,5.215615749359131
77,77,26.191701287845927,5.582564353942871
78,78,26.31504190858692,5.504550457000732
79,79,26.938351327468492,5.801782608032227
80,80,26.47301363882078,5.046238422393799
81,81,26.256894115801337,5.4067254066467285
82,82,25.477035800807567,5.738400459289551
83,83,25.32809981421558,5.077862739562988
84,84,25.95723489036904,5.072533130645752
85,85,25.652544350254022,5.2711181640625
86,86,26.27635619737532,5.075910568237305
87,87,26.40021376877598,6.350526332855225
88,88,23.178456770120558,5.701955795288086
89,89,21.502983551070155,5.3498334884643555
90,90,19.6113108991108,4.920815944671631
91,91,19.578512746893765,5.551859378814697
92,92,19.750999321863866,5.661191463470459
93,93,22.223320603305787,6.222616195678711
94,94,23.78027063471038,5.962808609008789
95,95,24.91652341507694,5.319171905517578
96,96,26.76164593278608,5.670334339141846
97,97,27.722859468925606,4.746354579925537
98,98,27.926251787991063,5.122039794921875
