sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_expanded2688,was_mt_gan_win_before
128,128,28.391923421353447,23.315252316365218,30.773020952519886,5.476268768310547,7.28298807144165,5.144655704498291,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
129,129,29.465245102227872,24.209883048645104,31.69278509312308,5.373117923736572,9.33877944946289,6.137405872344971,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,31.720292287686505,5.609683513641357,11.313863754272461,5.183942794799805,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
131,131,33.0539968727652,25.23355611194131,34.12171258378963,6.2030792236328125,12.011610984802246,7.1026291847229,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,35.735686368716166,6.331444263458252,12.388164520263672,6.83327054977417,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,36.04271236661273,6.299666404724121,7.647167682647705,6.120136260986328,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
134,134,32.518921837890055,23.04058254540847,33.25112043299701,7.141453742980957,13.276667594909668,5.775302886962891,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
135,135,29.944179549584543,20.502693507156053,30.74366457383869,6.298990726470947,11.993122100830078,5.676431179046631,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
136,136,27.83279512215704,19.71188765946126,28.695048226616372,6.232182025909424,6.450465202331543,6.027499675750732,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
137,137,26.69652879915387,18.35521341147029,27.524739082248455,5.208233833312988,9.66958236694336,4.765219211578369,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
138,138,26.265900126493325,18.5898403985513,26.608023563452953,5.562473773956299,8.217479705810547,4.578351020812988,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
139,139,25.72843674372112,17.55339321269266,25.740505001543635,5.6482439041137695,9.790724754333496,4.879062652587891,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
140,140,26.928885115678263,17.632487734588345,27.472895133547958,5.719569206237793,11.421890258789062,5.195355415344238,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
141,141,30.122683212798776,22.35126448334632,31.82706853384705,6.186624050140381,8.889102935791016,6.608829021453857,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,35.5298559612252,7.186554908752441,8.55953311920166,6.233243942260742,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
143,143,31.729557469133276,25.608920781987035,34.10139560631482,5.864097595214844,9.649337768554688,5.686403751373291,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
144,144,31.838603860361527,24.790495069985838,33.81965139465651,5.560759544372559,9.771649360656738,5.657698154449463,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,33.26710473974511,5.902344226837158,8.558032035827637,5.72709321975708,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
146,146,29.28670842660694,23.86618294113101,32.519502175643126,5.959416389465332,7.056334018707275,6.797524929046631,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,30.626908319387685,5.6108717918396,6.8347039222717285,6.587234973907471,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,29.352385103279502,5.0148024559021,8.882506370544434,5.488326072692871,gan,gan,cnn,cnn,0
