method_id,metric,field,phase1_value,phase2a_recomputed_value,absolute_difference,status
bicubic,grad_kurtosis_abs_delta,candidate_mean,6.616287724880248,6.6162877248802445,3.552713678800501e-15,PASS
bicubic,grad_kurtosis_abs_delta,mean_raw_delta,2.9159116807358787,2.9159116807358765,2.220446049250313e-15,PASS
bicubic,grad_kurtosis_abs_delta,mean_improvement_delta,-2.9159116807358787,-2.9159116807358765,2.220446049250313e-15,PASS
bicubic,grad_kurtosis_abs_delta,median_improvement_delta,-3.507457407019105,-3.507457407019105,0.0,PASS
bicubic,grad_kurtosis_abs_delta,n_improved,32,32,0.0,PASS
bicubic,grad_kurtosis_abs_delta,n_worsened,136,136,0.0,PASS
bicubic,grad_kurtosis_abs_delta,n_tied,0,0,0.0,PASS
bicubic,grad_kurtosis_abs_delta,n_valid,168,168,0.0,PASS
bicubic,psd_log_l2,cnn_mean,0.8335247431666106,0.833524743166611,3.3306690738754696e-16,PASS
bicubic,psd_log_l2,candidate_mean,1.3625464052880067,1.362546405288007,2.220446049250313e-16,PASS
bicubic,psd_log_l2,mean_raw_delta,0.5290216621213962,0.529021662121396,2.220446049250313e-16,PASS
bicubic,psd_log_l2,mean_improvement_delta,-0.5290216621213962,-0.529021662121396,2.220446049250313e-16,PASS
bicubic,psd_log_l2,median_improvement_delta,-0.4464283399289225,-0.4464283399289225,0.0,PASS
bicubic,psd_log_l2,n_improved,0,0,0.0,PASS
bicubic,psd_log_l2,n_worsened,168,168,0.0,PASS
bicubic,psd_log_l2,n_tied,0,0,0.0,PASS
bicubic,psd_log_l2,n_valid,168,168,0.0,PASS
bicubic,psd_slope_abs_delta,cnn_mean,0.9150108562505738,0.9150108562505733,4.440892098500626e-16,PASS
bicubic,psd_slope_abs_delta,candidate_mean,1.6683939052516956,1.6683939052516963,6.661338147750939e-16,PASS
bicubic,psd_slope_abs_delta,mean_raw_delta,0.7533830490011217,0.7533830490011215,2.220446049250313e-16,PASS
bicubic,psd_slope_abs_delta,mean_improvement_delta,-0.7533830490011217,-0.7533830490011215,2.220446049250313e-16,PASS
bicubic,psd_slope_abs_delta,median_improvement_delta,-0.6264906148791475,-0.6264906148791475,0.0,PASS
bicubic,psd_slope_abs_delta,n_improved,0,0,0.0,PASS
bicubic,psd_slope_abs_delta,n_worsened,168,168,0.0,PASS
bicubic,psd_slope_abs_delta,n_tied,0,0,0.0,PASS
bicubic,psd_slope_abs_delta,n_valid,168,168,0.0,PASS
bicubic,exceed_abs_t5,cnn_mean,0.004242333333333336,0.004242333333333336,0.0,PASS
bicubic,exceed_abs_t5,candidate_mean,0.009455761904761911,0.009455761904761913,1.734723475976807e-18,PASS
bicubic,exceed_abs_t5,mean_raw_delta,0.0052134285714285755,0.005213428571428575,8.673617379884035e-19,PASS
