method_id,display_name,metric,metric_family,direction,n_total,n_finite,n_missing,coverage_status,missing_reason
gan,GAN baseline (pretrained),ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
gan,GAN baseline (pretrained),speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),wpd_w1,wind_power_distribution,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),wpd_bias_abs,wind_power_distribution,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),grad_mae,gradient_distribution,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),grad_w1,gradient_distribution,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),psd_log_l2,frequency_domain,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),psd_slope_abs_delta,frequency_domain,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),exceed_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),exceed_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),exceed_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),exceed_abs_p90,threshold_geometry,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),comp_curve_l1,threshold_geometry,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),pd_distance,topology_pd,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),mt_distance,topology_mt,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,psnruv,vector_uv,higher_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
grad_levelset,B-factorial: gradient + level-set,speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,wpd_w1,wind_power_distribution,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,wpd_bias_abs,wind_power_distribution,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,grad_mae,gradient_distribution,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,grad_w1,gradient_distribution,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,psd_log_l2,frequency_domain,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,psd_slope_abs_delta,frequency_domain,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,exceed_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,exceed_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,exceed_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,exceed_abs_p90,threshold_geometry,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,comp_curve_l1,threshold_geometry,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,pd_distance,topology_pd,lower_is_better,168,168,0,complete,
grad_levelset,B-factorial: gradient + level-set,mt_distance,topology_mt,lower_is_better,168,168,0,complete,
grad_only,B-factorial: gradient only,psnruv,vector_uv,higher_is_better,168,168,0,complete,
grad_only,B-factorial: gradient only,ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
grad_only,B-factorial: gradient only,speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
grad_only,B-factorial: gradient only,speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
grad_only,B-factorial: gradient only,wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
