=== CONFIG ===
rows=50 methods=['cnn', 'gan']
physics_columns=35

=== GLOBAL correlations (physics vs PSNR/PD/MT) ===
exceed_frac_delta_p99 :: PD: pearson=0.0854 CI[-0.2256,0.3394] spearman=0.1138 CI[-0.2026,0.4009]
exceed_frac_delta_p99 :: MT: pearson=-0.0014 CI[-0.2433,0.2218] spearman=-0.1562 CI[-0.4045,0.1390]
exceed_frac_abs_delta_p99 :: PSNR: pearson=-0.8487 CI[-0.9193,-0.7606] spearman=-0.7762 CI[-0.9170,-0.5359]
exceed_frac_abs_delta_p99 :: PD: pearson=0.0854 CI[-0.2256,0.3394] spearman=0.1138 CI[-0.2026,0.4009]
exceed_frac_abs_delta_p99 :: MT: pearson=-0.0014 CI[-0.2433,0.2218] spearman=-0.1562 CI[-0.4045,0.1390]

=== PER-METHOD correlations ===
[cnn] n=25
  wpd_bias :: PSNR: pearson=-0.6627 CI[-0.8578,-0.4415] spearman=-0.7623 CI[-0.9374,-0.4250]
  wpd_bias :: PD: pearson=0.1146 CI[-0.4712,0.4975] spearman=0.0008 CI[-0.4873,0.4686]
  wpd_bias :: MT: pearson=-0.2584 CI[-0.5491,0.0519] spearman=-0.2477 CI[-0.5833,0.2010]
  wpd_mae :: PSNR: pearson=-0.6552 CI[-0.8555,-0.4263] spearman=-0.7662 CI[-0.9476,-0.4211]
  wpd_mae :: PD: pearson=0.1201 CI[-0.4761,0.5082] spearman=0.0092 CI[-0.4839,0.4874]
  wpd_mae :: MT: pearson=-0.2598 CI[-0.5527,0.0506] spearman=-0.2238 CI[-0.5741,0.2416]
  wpd_rmse :: PSNR: pearson=-0.6010 CI[-0.8285,-0.3546] spearman=-0.7662 CI[-0.9476,-0.4211]
  wpd_rmse :: PD: pearson=0.2018 CI[-0.3971,0.5663] spearman=0.0092 CI[-0.4839,0.4874]
  wpd_rmse :: MT: pearson=-0.2680 CI[-0.5592,0.0381] spearman=-0.2238 CI[-0.5741,0.2416]
  wpd_w1 :: PSNR: pearson=-0.6303 CI[-0.8361,-0.4022] spearman=-0.7677 CI[-0.9480,-0.4276]
  wpd_w1 :: PD: pearson=0.1236 CI[-0.4782,0.5073] spearman=0.0085 CI[-0.4839,0.4813]
  wpd_w1 :: MT: pearson=-0.2772 CI[-0.5642,0.0289] spearman=-0.2285 CI[-0.5772,0.2384]
  psd_log_l2 :: PSNR: pearson=-0.6599 CI[-0.8394,-0.3867] spearman=-0.7023 CI[-0.8303,-0.4168]
  psd_log_l2 :: PD: pearson=-0.4700 CI[-0.7121,-0.1172] spearman=-0.4815 CI[-0.7670,-0.0157]
  psd_log_l2 :: MT: pearson=-0.0659 CI[-0.4156,0.3114] spearman=-0.1231 CI[-0.5259,0.3416]
  psd_slope_delta :: PSNR: pearson=0.2771 CI[-0.2155,0.6436] spearman=0.1592 CI[-0.3357,0.5938]
  psd_slope_delta :: PD: pearson=-0.0108 CI[-0.4312,0.3415] spearman=-0.1092 CI[-0.4962,0.2934]
  psd_slope_delta :: MT: pearson=-0.2901 CI[-0.5758,-0.0055] spearman=-0.3392 CI[-0.6006,0.0256]
  psd_slope_abs_delta :: PSNR: pearson=-0.2771 CI[-0.6436,0.2155] spearman=-0.1592 CI[-0.5938,0.3357]
  psd_slope_abs_delta :: PD: pearson=0.0108 CI[-0.3415,0.4312] spearman=0.1092 CI[-0.2934,0.4962]
  psd_slope_abs_delta :: MT: pearson=0.2901 CI[0.0055,0.5758] spearman=0.3392 CI[-0.0256,0.6006]
  grad_mae :: PSNR: pearson=0.5195 CI[0.2071,0.7475] spearman=0.4638 CI[0.0598,0.7320]
  grad_mae :: PD: pearson=0.8306 CI[0.6831,0.9114] spearman=0.7731 CI[0.4901,0.9171]
  grad_mae :: MT: pearson=0.2874 CI[-0.0462,0.5856] spearman=0.3108 CI[-0.1189,0.6584]
  grad_w1 :: PSNR: pearson=0.9096 CI[0.8147,0.9689] spearman=0.8992 CI[0.7367,0.9675]
  grad_w1 :: PD: pearson=0.3130 CI[-0.0794,0.6418] spearman=0.4100 CI[-0.1199,0.7640]
  grad_w1 :: MT: pearson=-0.0892 CI[-0.4172,0.3235] spearman=0.0446 CI[-0.3916,0.4760]
  grad_kurtosis_delta :: PSNR: pearson=0.3333 CI[0.1131,0.6380] spearman=0.4469 CI[0.1133,0.6560]
  grad_kurtosis_delta :: PD: pearson=-0.1850 CI[-0.6020,0.6966] spearman=0.2877 CI[-0.2119,0.7645]
  grad_kurtosis_delta :: MT: pearson=0.3391 CI[0.0624,0.6631] spearman=0.5015 CI[0.1226,0.7339]
  grad_kurtosis_abs_delta :: PSNR: pearson=0.0092 CI[-0.3201,0.3608] spearman=0.0592 CI[-0.3712,0.5306]
  grad_kurtosis_abs_delta :: PD: pearson=0.6736 CI[0.1856,0.8612] spearman=0.4862 CI[0.1067,0.7622]
  grad_kurtosis_abs_delta :: MT: pearson=-0.0592 CI[-0.4283,0.1956] spearman=-0.1431 CI[-0.5312,0.2731]
  exceed_frac_gt_t5 :: PSNR: pearson=-0.6413 CI[-0.8124,-0.2675] spearman=-0.4177 CI[-0.7718,0.0607]
  exceed_frac_gt_t5 :: PD: pearson=0.5392 CI[0.3388,0.6980] spearman=0.6862 CI[0.3410,0.8556]
  exceed_frac_gt_t5 :: MT: pearson=0.2747 CI[-0.0553,0.5169] spearman=0.2731 CI[-0.0943,0.5865]
  exceed_frac_sr_t5 :: PSNR: pearson=-0.8716 CI[-0.9300,-0.7786] spearman=-0.7369 CI[-0.8990,-0.4193]
  exceed_frac_sr_t5 :: PD: pearson=0.1086 CI[-0.2519,0.4162] spearman=0.0246 CI[-0.4289,0.4314]
