sample_idx,delta_metric,abs_delta_metric,delta_pd,delta_mt,z_delta_pd,z_delta_mt,topology_score,topology_consistent
118,0.10206435368702532,0.10206435368702532,-9.112331112455657,-7.011701583862305,2.6505471243456316,1.5542442342224383,2.6505471243456316,True
92,0.1724685660084252,0.1724685660084252,-8.839299360747233,-3.240814685821533,2.571129079125939,0.7183730624267305,2.571129079125939,True
90,0.17205708096617905,0.17205708096617905,-8.834865095529494,-8.569673538208008,2.5698392632954543,1.8995910659665578,2.5698392632954543,True
63,0.13449935045191125,0.13449935045191125,-5.537889851070222,-11.583309650421143,1.610832380710251,2.5676067388286237,2.5676067388286237,True
75,0.1315764792401541,0.1315764792401541,-7.379802461028092,-11.434633255004883,2.1465982688644325,2.5346504831213736,2.5346504831213736,True
62,0.15352435137746023,0.15352435137746023,-7.16491620693504,-11.379819869995117,2.084093281302117,2.5225003100726915,2.5225003100726915,True
165,0.054676681650115355,0.054676681650115355,0.3706887417905449,-11.170099258422852,0.10782399876110849,2.4760127282160993,2.4760127282160993,False
167,0.04889053226142076,0.04889053226142076,0.9346243329310653,-11.170075416564941,0.2718586284257945,2.476007443326298,2.476007443326298,False
164,0.06642162331392576,0.06642162331392576,0.38306886639808724,-11.164104461669922,0.1114250645336975,2.474683895524471,2.474683895524471,False
83,0.12892666154391746,0.12892666154391746,-8.47471744487624,-11.116679191589355,2.4650814018878515,2.464171404127403,2.4650814018878515,True
166,0.053805301644292536,0.053805301644292536,3.4301435219971985,-10.963193893432617,0.9977421733386023,2.4301491861472395,2.4301491861472395,False
80,0.14144300895783768,0.14144300895783768,-8.33566963796327,-10.054882049560547,2.424635904439239,2.2288088368284256,2.424635904439239,True
16,0.14843513421770044,0.14843513421770044,-8.331158055871995,-5.068929672241211,2.423323599081729,1.123600972250768,2.423323599081729,True
17,0.1451003787944598,0.1451003787944598,-8.31253895131831,-3.502716064453125,2.4179077715153663,0.7764272598001498,2.4179077715153663,True
102,0.1287841949907793,0.1287841949907793,-8.205624655835898,-8.835172653198242,2.3868091014884407,1.958442753210987,2.3868091014884407,True
73,0.11249815460500451,0.11249815460500451,-5.531795150902667,-10.764215469360352,1.6090595862624306,2.3860427642395012,2.3860427642395012,True
86,0.12704911323605628,0.12704911323605628,-8.187301143901848,-6.277523040771484,2.381479254354339,1.3915030288472685,2.381479254354339,True
64,0.17443053780508505,0.17443053780508505,-7.498835305547889,-10.731091976165771,2.1812219189327853,2.378700466838615,2.378700466838615,True
79,0.13693224367018403,0.13693224367018403,-8.095905544859704,-7.278468132019043,2.3548945814282343,1.613376866208702,2.3548945814282343,True
93,0.13278490289897116,0.13278490289897116,-6.8379904824099,-10.58251953125,1.9889988396800102,2.3457672532508984,2.3457672532508984,True
89,0.17356187570156884,0.17356187570156884,-8.057817704628288,-5.206765174865723,2.34381579004631,1.1541541885653865,2.34381579004631,True
85,0.11992928536349567,0.11992928536349567,-8.040821191786513,-8.92180347442627,2.3388719334545436,1.977645717397242,2.3388719334545436,True
65,0.1815720714189838,0.1815720714189838,-7.980996251467715,-7.8482666015625,2.3214703683040643,1.7396808703601256,2.3214703683040643,True
76,0.12295136648975291,0.12295136648975291,-7.937152266040009,-9.892436027526855,2.3087172595702947,2.1928003458653573,2.3087172595702947,True
60,0.14036268705841837,0.14036268705841837,-7.898678507991587,-9.853255271911621,2.2975262144360125,2.184115369361564,2.2975262144360125,True
131,0.08591435375693551,0.08591435375693551,-7.85594002958733,-5.274393081665039,2.285094669792242,1.169144884184448,2.285094669792242,True
87,0.13439927214312275,0.13439927214312275,-7.851447190714957,-6.722966194152832,2.28378781636403,1.4902418933777042,2.28378781636403,True
67,0.17368875208138507,0.17368875208138507,-7.819645224726159,-6.609570503234863,2.2745374271431062,1.465106111900558,2.2745374271431062,True
130,0.094085857825637,0.094085857825637,-7.810275103764745,-4.178284168243408,2.2718118954583435,0.9261766205768895,2.2718118954583435,True
94,0.12572133983444844,0.12572133983444844,-6.650357158151344,-10.210333824157715,1.9344210415395184,2.263266952519397,2.263266952519397,True
59,0.14377517593727923,0.14377517593727923,-7.776884579010872,-6.0908708572387695,2.2620994345880625,1.3501288949667805,2.2620994345880625,True
100,0.11444182122407309,0.11444182122407309,-6.8043801228418985,-10.09444808959961,1.9792224344109548,2.2375792171514073,2.2375792171514073,True
58,0.137401445412782,0.137401445412782,-7.488758936969379,-6.505007743835449,2.1782909576419796,1.4419282763969814,2.1782909576419796,True
66,0.18159081761069523,0.18159081761069523,-7.4801698459631325,-6.338461399078369,2.1757926078578906,1.4050108900858933,2.1757926078578906,True
74,0.12861038260181967,0.12861038260181967,-5.300533779435781,-9.734856605529785,1.541791490365881,2.157870606608522,2.157870606608522,True
98,0.12475035867999607,0.12475035867999607,-7.376255356061044,-8.078362464904785,2.145566505558849,1.7906849190408722,2.145566505558849,True
77,0.13580299887326613,0.13580299887326613,-7.374333564722043,-8.290166854858398,2.1450075049645645,1.8376344002660945,2.1450075049645645,True
95,0.12010315613517797,0.12010315613517797,-5.861324692715456,-9.657278537750244,1.7049114126128717,2.1406743150798038,2.1406743150798038,True
97,0.13320451748631257,0.13320451748631257,-6.375997795105192,-9.647276878356934,1.8546168276907413,2.1384573038081767,2.1384573038081767,True
137,0.11124525541631924,0.11124525541631924,-4.981765116062768,-9.630745887756348,1.4490697319477817,2.134792972615577,2.134792972615577,True
133,0.08743295810098317,0.08743295810098317,-7.33299796712231,-6.83430290222168,2.1329840229379595,1.5149212717716138,2.1329840229379595,True
70,0.16136876075070056,0.16136876075070056,-6.159508540662973,-9.534395217895508,1.7916455677867629,2.1134354645551454,2.1134354645551454,True
71,0.1408276532320909,0.1408276532320909,-7.157028628668844,-9.529261589050293,2.0817989838678477,2.112297522083139,2.112297522083139,True
132,0.08691162790151397,0.08691162790151397,-7.188627808985551,-4.677124977111816,2.0909903878550935,1.0367518413996082,2.0909903878550935,True
57,0.15324237824295145,0.15324237824295145,-7.083254054786924,-4.392292022705078,2.0603398224041847,0.9736145313175439,2.0603398224041847,True
15,0.1080329839896847,0.1080329839896847,-7.081212837806188,-2.648252487182617,2.059746083905036,0.5870231511908628,2.059746083905036,True
9,0.08735547991889125,0.08735547991889125,-7.016634843386939,-6.445265769958496,2.0409619752843584,1.428685610928584,2.0409619752843584,True
138,0.12221339813447335,0.12221339813447335,-6.910218276005605,-4.4268999099731445,2.0100080817993224,0.9812858659574565,2.0100080817993224,True
14,0.08635205573255678,0.08635205573255678,-6.864918483510458,-4.269493103027344,1.9968315155343697,0.946394389302782,1.9968315155343697,True
10,0.07554116723808307,0.07554116723808307,-6.796116036082864,-4.519826889038086,1.976818620159236,1.0018844638424276,1.976818620159236,True
88,0.1505553515995981,0.1505553515995981,-6.749248944117294,-7.592238903045654,1.9631861660371528,1.682928658438144,1.9631861660371528,True
139,0.11358020869046931,0.11358020869046931,-6.746475850104513,-2.720165252685547,1.9623795429820412,0.6029636472050061,1.9623795429820412,True
11,0.06649407059777973,0.06649407059777973,-6.524148847157072,-5.916238784790039,1.8977102293833261,1.3114191911284938,1.8977102293833261,True
143,0.0859653681430948,0.0859653681430948,-3.584378257294219,-8.548102855682373,1.0426051649343455,1.8948096147677687,1.8948096147677687,True
96,0.12029485846757254,0.12029485846757254,-5.707995395327714,-8.504664421081543,1.6603117900515822,1.8851808626432667,1.8851808626432667,True
68,0.18249902428636516,0.18249902428636516,-6.447312420584687,-3.6244988441467285,1.875360452253515,0.8034221598115822,1.875360452253515,True
56,0.15496021444168612,0.15496021444168612,-6.413245124620229,-5.16975212097168,1.8654511357198564,1.1459497142423234,1.8654511357198564,True
6,0.07964816887615961,0.07964816887615961,-6.280801831800275,-7.563770771026611,1.8269267247222196,1.676618288619851,1.8269267247222196,True
140,0.10176444067922796,0.10176444067922796,-6.169441111280332,-2.2940902709960938,1.794534701880147,0.5085180157535195,1.794534701880147,True
69,0.1588195299619219,0.1588195299619219,-6.095630321751454,-6.891592979431152,1.7730650061988709,1.52762043917285,1.7730650061988709,True
