sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_expanded2688,was_mt_gan_win_before
128,128,28.391923421353447,23.315252316365218,22.591069363951203,5.476268768310547,7.28298807144165,4.816836357116699,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
129,129,29.465245102227872,24.209883048645104,24.029669397373755,5.373117923736572,9.33877944946289,5.25749397277832,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
130,130,30.27324308013254,23.783031491875988,24.862921220945605,5.609683513641357,11.313863754272461,5.37970495223999,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
131,131,33.0539968727652,25.23355611194131,26.63123865363957,6.2030792236328125,12.011610984802246,6.48679256439209,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,28.557559941563156,6.331444263458252,12.388164520263672,6.390944957733154,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,28.722706133232677,6.299666404724121,7.647167682647705,6.019160270690918,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
134,134,32.518921837890055,23.04058254540847,26.30042281013259,7.141453742980957,13.276667594909668,5.568226337432861,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
135,135,29.944179549584543,20.502693507156053,25.39504046428837,6.298990726470947,11.993122100830078,5.618976593017578,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
136,136,27.83279512215704,19.71188765946126,24.887925118042165,6.232182025909424,6.450465202331543,6.116415977478027,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
137,137,26.69652879915387,18.35521341147029,23.92131084655325,5.208233833312988,9.66958236694336,5.068707466125488,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
138,138,26.265900126493325,18.5898403985513,23.439627623980737,5.562473773956299,8.217479705810547,5.3554911613464355,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
139,139,25.72843674372112,17.55339321269266,22.993681901790172,5.6482439041137695,9.790724754333496,5.235589981079102,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
140,140,26.928885115678263,17.632487734588345,24.004495958970324,5.719569206237793,11.421890258789062,5.393975734710693,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
141,141,30.122683212798776,22.35126448334632,27.057545451825597,6.186624050140381,8.889102935791016,7.363675594329834,gan,gan,cnn,cnn,0
