sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_expanded1344,pd_winner_before,pd_winner_after_candidateUV_expanded1344,mt_winner_before,mt_winner_after_candidateUV_expanded1344,was_mt_gan_win_before
87,87,29.611902358359767,19.024115372275585,31.474113188913694,6.509652614593506,7.174471855163574,7.021947383880615,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,28.262530364035058,6.411813259124756,6.487721920013428,6.250627517700195,gan,gan,cnn,candidateUV_expanded1344,0
89,89,24.29846982632471,17.197907308437554,25.67272485489823,6.017302513122559,6.256072521209717,5.879545211791992,gan,gan,cnn,candidateUV_expanded1344,0
90,90,22.206834090995343,17.32676746960286,23.978417391329078,5.257880687713623,5.663510322570801,5.631867408752441,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,24.25586021823141,5.508337497711182,5.519831657409668,5.859320640563965,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,24.877331762471258,5.735818386077881,5.677903175354004,5.34627628326416,gan,gan,gan,candidateUV_expanded1344,1
93,93,24.402894658345392,18.13548367922437,28.53518323787522,6.506997585296631,6.816009521484375,6.169088840484619,gan,gan,cnn,candidateUV_expanded1344,0
94,94,24.570031527820365,20.006869187749356,29.78878823685796,5.102908611297607,6.517361164093018,5.752773284912109,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,31.252086155787207,5.015480041503906,6.677723407745361,6.172499179840088,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,32.99936384736686,5.121858596801758,7.258078575134277,5.678389072418213,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,33.61861845191647,5.011539936065674,7.223494529724121,5.485901832580566,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,34.16658374005207,4.942448139190674,8.764951705932617,5.529715061187744,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,34.27007480018079,5.342334747314453,7.760592460632324,6.481128215789795,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,33.56900312586278,5.912055015563965,7.617006778717041,6.3308796882629395,gan,gan,cnn,cnn,0
101,101,30.40796712150836,20.937383941054357,32.97523316939797,5.357294082641602,7.0666680335998535,6.497904300689697,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,31.76373577091882,5.164434909820557,8.231893539428711,6.510885715484619,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,32.43856277340098,5.102769374847412,6.314839839935303,5.776825904846191,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,31.82938284431552,4.829194068908691,7.393864154815674,5.3500494956970215,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,31.857525414138863,5.33697509765625,6.823482513427734,5.932448863983154,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,31.72025953080306,5.767349720001221,6.75129508972168,6.4472479820251465,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,31.296036096540483,5.574344635009766,7.6041154861450195,5.81596040725708,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,31.443598899584998,5.6898322105407715,7.595790386199951,6.519136905670166,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,31.16246564815548,5.088190078735352,7.198193550109863,5.819804668426514,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,31.60748126368334,5.806641101837158,6.568319320678711,6.218769073486328,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,30.38412280622857,5.513612270355225,8.167459487915039,6.079285144805908,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,29.976854441957446,5.637857913970947,6.682409286499023,6.617021560668945,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,28.509059114330935,5.502909183502197,6.949485778808594,6.052750587463379,gan,gan,cnn,cnn,0
