sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_crit_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_crit_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_crit_expanded2688,was_mt_gan_win_before
86,86,29.195361276159034,18.84606490909817,23.24563387189053,5.25334358215332,9.43416690826416,5.716894149780273,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,23.511693039720218,6.509652614593506,7.174471855163574,7.111640930175781,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,21.110943632646045,6.411813259124756,6.487721920013428,5.987752914428711,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
89,89,24.29846982632471,17.197907308437554,19.09202595812891,6.017302513122559,6.256072521209717,6.283900260925293,gan,gan,cnn,cnn,0
90,90,22.206834090995343,17.32676746960286,17.31194260484103,5.257880687713623,5.663510322570801,5.737709045410156,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,16.999730954456197,5.508337497711182,5.519831657409668,6.41694450378418,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,17.485642065672344,5.735818386077881,5.677903175354004,5.987422943115234,gan,gan,gan,gan,1
93,93,24.402894658345392,18.13548367922437,20.069842371688658,6.506997585296631,6.816009521484375,6.499412536621094,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
94,94,24.570031527820365,20.006869187749356,22.000085362606317,5.102908611297607,6.517361164093018,6.347795486450195,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,22.244902344367887,5.015480041503906,6.677723407745361,6.2628278732299805,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,23.274441557148165,5.121858596801758,7.258078575134277,6.146831512451172,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,24.280644074546423,5.011539936065674,7.223494529724121,5.5692853927612305,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,24.368583568925253,4.942448139190674,8.764951705932617,5.703141212463379,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,24.49231978732827,5.342334747314453,7.760592460632324,6.017383098602295,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,24.168855179155447,5.912055015563965,7.617006778717041,5.919548034667969,gan,gan,cnn,cnn,0
101,101,30.40796712150836,20.937383941054357,23.734248021961683,5.357294082641602,7.0666680335998535,5.405649662017822,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,22.831511458809167,5.164434909820557,8.231893539428711,5.595223903656006,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,23.119479854720733,5.102769374847412,6.314839839935303,5.801820278167725,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,22.57006990737772,4.829194068908691,7.393864154815674,5.497395038604736,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,22.5754716667984,5.33697509765625,6.823482513427734,5.920248985290527,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,22.401204649410424,5.767349720001221,6.75129508972168,5.771334171295166,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,21.69380104161737,5.574344635009766,7.6041154861450195,5.910764217376709,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,22.690933967988457,5.6898322105407715,7.595790386199951,6.126092910766602,gan,gan,cnn,cnn,0
