sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_levelset_expanded2688,was_mt_gan_win_before
86,86,29.195361276159034,18.84606490909817,30.949750255560343,5.25334358215332,9.43416690826416,5.704801559448242,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,31.56743901699493,6.509652614593506,7.174471855163574,6.92169189453125,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,28.134540314709636,6.411813259124756,6.487721920013428,6.046870708465576,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
89,89,24.29846982632471,17.197907308437554,25.565681536355353,6.017302513122559,6.256072521209717,5.902280330657959,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
90,90,22.206834090995343,17.32676746960286,24.065071910728623,5.257880687713623,5.663510322570801,5.368863105773926,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,24.341098496928687,5.508337497711182,5.519831657409668,5.650202751159668,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,24.98618361061418,5.735818386077881,5.677903175354004,5.376301288604736,gan,gan,gan,candidateB_factorial_speed_levelset_expanded2688,1
93,93,24.402894658345392,18.13548367922437,28.466501064682788,6.506997585296631,6.816009521484375,6.031285285949707,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
94,94,24.570031527820365,20.006869187749356,30.09044892493599,5.102908611297607,6.517361164093018,5.762522220611572,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,31.513154274411487,5.015480041503906,6.677723407745361,6.218316078186035,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,33.104441807418276,5.121858596801758,7.258078575134277,5.658379554748535,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,33.702047280641835,5.011539936065674,7.223494529724121,5.267618179321289,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,34.04967709261836,4.942448139190674,8.764951705932617,5.388726234436035,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,34.22886973684179,5.342334747314453,7.760592460632324,6.163966178894043,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,33.69740750527616,5.912055015563965,7.617006778717041,5.929558277130127,gan,gan,cnn,cnn,0
101,101,30.40796712150836,20.937383941054357,32.933404676357746,5.357294082641602,7.0666680335998535,6.334285736083984,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,31.940642930735113,5.164434909820557,8.231893539428711,6.4253249168396,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,32.428832937106556,5.102769374847412,6.314839839935303,5.771987438201904,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,31.77917680214422,4.829194068908691,7.393864154815674,5.252601146697998,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,31.747081790832013,5.33697509765625,6.823482513427734,6.04611349105835,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,31.669903852109766,5.767349720001221,6.75129508972168,6.434118270874023,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,31.29129482096635,5.574344635009766,7.6041154861450195,5.9120354652404785,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,31.36486064605242,5.6898322105407715,7.595790386199951,6.319320201873779,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,31.259324212716418,5.088190078735352,7.198193550109863,5.792625427246094,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,31.67391158618253,5.806641101837158,6.568319320678711,6.181241989135742,gan,gan,cnn,cnn,0
