metric_a,metric_b,method_level_oriented_pearson,within_method_median_oriented_pearson,samplewise_median_oriented_pearson,two_way_residual_oriented_pearson,all_levels_defined,consistent_nonzero_sign
grad_mae,exceed_abs_t15,0.9127652455266192,0.6470055123662337,0.7354875812532985,0.4482080996478746,True,True
grad_mae,exceed_abs_p90,0.8946818319593645,0.5367864748196043,0.7163704602868073,0.4000267431912921,True,True
grad_mae,comp_curve_l1,0.5753330687268896,0.6017589555376752,0.5724838723534156,0.4943624422050798,True,True
grad_mae,comp_abs_t5,-0.15895434822361038,-0.3661752205666606,-0.11503003019246547,0.005153302762817703,True,False
grad_mae,comp_abs_t10,-0.08804943528863901,0.350369412652742,-0.0747728544625079,0.13092321115144354,True,False
grad_mae,comp_abs_t15,0.6968554024590287,0.8240027953022253,0.6496941076083607,0.3929307670138625,True,True
grad_mae,pd_distance,0.05283379883734642,0.8036497208445785,0.09292224161210055,0.2398332395425237,True,True
grad_mae,mt_distance,0.7758030928005305,0.2931439009417819,0.6009609778156801,0.19017016823571306,True,True
grad_w1,grad_kurtosis_abs_delta,0.6519663225091081,-0.2814800644445033,0.3671454125570567,-0.0772724241734818,True,False
grad_w1,psd_log_l2,0.9476578181926105,0.673090261866352,0.9344911376140911,0.5071307636467602,True,True
grad_w1,psd_slope_abs_delta,0.6611953914460972,0.19117602358377744,0.6166762004805904,0.2086659810286973,True,True
grad_w1,exceed_abs_t5,0.4733493532628179,0.42569023943792633,0.5430091235763628,0.46406571615959047,True,True
grad_w1,exceed_abs_t10,-0.377397564564139,0.09658385385545286,-0.22719562618565972,-0.2504951469053383,True,False
grad_w1,exceed_abs_t15,0.10536746933715373,0.5656754191044991,0.13751850963383092,0.1513516629705103,True,True
grad_w1,exceed_abs_p90,0.18428762798507733,0.5729256201442278,0.08346905055700256,0.24682883400271868,True,True
grad_w1,comp_curve_l1,0.7433072242134253,0.6955444967707227,0.7148337162818577,0.4548065820408818,True,True
grad_w1,comp_abs_t5,0.9541236809295055,-0.24513831534546995,0.8208010655713847,-0.15374257813475517,True,False
grad_w1,comp_abs_t10,0.9667020859610985,0.4157799596927618,0.9177449151213974,0.21683225746521104,True,True
grad_w1,comp_abs_t15,0.5962230012419878,0.7778195440507302,0.600798446749216,0.5002140346756728,True,True
grad_w1,pd_distance,0.7894064344883138,0.7241721818744971,0.7672451869811108,0.37865245032983547,True,True
grad_w1,mt_distance,-0.5109778070179075,0.33310533426503736,-0.37393984661957114,0.017878357889782186,True,False
grad_kurtosis_abs_delta,psd_log_l2,0.650576965115548,-0.14575686514647243,0.4058639220555076,0.009023410833719221,True,False
grad_kurtosis_abs_delta,psd_slope_abs_delta,0.415796331646183,-0.26522456624817586,0.22897258354679417,-0.008410476193775263,True,False
grad_kurtosis_abs_delta,exceed_abs_t5,0.7434158661587636,-0.2327472106538011,0.2934796354096312,-0.10655413060693156,True,False
grad_kurtosis_abs_delta,exceed_abs_t10,0.2245620123068099,-0.14353619297899606,0.10453964865986964,-0.0437143427379543,True,False
grad_kurtosis_abs_delta,exceed_abs_t15,0.4248328816116793,-0.12231381591063419,0.11296449130504474,-0.06766612160793575,True,False
grad_kurtosis_abs_delta,exceed_abs_p90,0.43115706073634796,-0.2453247578332544,0.10021184753892581,-0.07535651326266829,True,False
grad_kurtosis_abs_delta,comp_curve_l1,0.8797349283562277,-0.31373921280566947,0.4558613050283874,-0.02259895259118499,True,False
grad_kurtosis_abs_delta,comp_abs_t5,0.5445236333693169,0.019480798234603098,0.29798912856315984,0.01372027527795014,True,True
grad_kurtosis_abs_delta,comp_abs_t10,0.6374127888565866,-0.25649896217331286,0.32677651209959624,-0.00799516651802564,True,False
grad_kurtosis_abs_delta,comp_abs_t15,0.8364641664355249,-0.11325915329100028,0.36873251478297897,-0.0027584228891665064,True,False
grad_kurtosis_abs_delta,pd_distance,0.841908476023927,-0.09460775770556695,0.5044624990010784,-0.1536252773892512,True,False
grad_kurtosis_abs_delta,mt_distance,0.05037564063237118,0.059326325265812996,0.010703359446134772,0.04072600529972824,True,True
psd_log_l2,psd_slope_abs_delta,0.8113166117822367,0.31263285789239437,0.7919906076317775,0.5449396549857314,True,True
psd_log_l2,exceed_abs_t5,0.4725954755769184,0.4428857990290027,0.5019000083462113,0.17749716105457203,True,True
psd_log_l2,exceed_abs_t10,-0.41651055826257344,-0.09411967089420609,-0.2908353397303113,-0.25647130460382467,True,True
psd_log_l2,exceed_abs_t15,-0.0014461870566470887,0.38283300278637167,0.07987465219473558,-0.04580492738320215,True,False
psd_log_l2,exceed_abs_p90,0.049042284505260644,0.4205270219921843,-0.059835733306432354,-0.040159901462100654,True,False
psd_log_l2,comp_curve_l1,0.7180013271010515,0.5243972293691864,0.6399111052828685,0.37319337407905373,True,True
psd_log_l2,comp_abs_t5,0.9259864840273032,-0.3288896888407825,0.7991713187371527,-0.07049470659495155,True,False
psd_log_l2,comp_abs_t10,0.9700863176622382,0.18187014557828904,0.9204597967582901,-0.046854606507586875,True,False
psd_log_l2,comp_abs_t15,0.5580091408095087,0.6938595154870661,0.6473695254287262,0.5017325133065054,True,True
psd_log_l2,pd_distance,0.7280626729640653,0.6338951062569304,0.6787979719185678,0.2417265698703633,True,True
psd_log_l2,mt_distance,-0.5151191775158648,0.20858632998037785,-0.32322498017174106,-0.13691010456682942,True,False
psd_slope_abs_delta,exceed_abs_t5,0.49471625385826856,0.19584309491917917,0.4662492296027262,-0.041115580616268126,True,False
psd_slope_abs_delta,exceed_abs_t10,-0.24339608660535894,-0.022820507003582725,-0.25265676069503884,-0.2751846407042281,True,True
psd_slope_abs_delta,exceed_abs_t15,-0.07166856700340471,0.31490771075660423,-0.025352145992996976,-0.034758636720710105,True,False
psd_slope_abs_delta,exceed_abs_p90,-0.08799213651287995,0.4015707471032251,-0.12324163061427146,-0.1678548614762524,True,False
psd_slope_abs_delta,comp_curve_l1,0.514993960866524,0.436119128306342,0.390657806008396,0.1777735127797188,True,True
psd_slope_abs_delta,comp_abs_t5,0.6498084488676159,-0.05711949115295487,0.5130549694252634,-0.018836190421236715,True,False
