method_id,metric_a,metric_b,correlation_type,observed_correlation,iid_ci95_low,iid_ci95_high,block6_ci95_low,block6_ci95_high,block12_ci95_low,block12_ci95_high,block24_ci95_low,block24_ci95_high,iid_sign,block6_sign,block12_sign,block24_sign,all_interval_signs_agree
candidate_b,mt_distance,wpd_mae,pearson,0.23550073402969968,0.06037712575047286,0.37988675559033097,-0.11656221660732513,0.47636798858429025,-0.16724979239984503,0.5172347872194578,-0.19622253168586568,0.5170077478988457,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,mt_distance,wpd_mae,spearman,0.1407868961991486,-0.02942139694647845,0.2947154051416624,-0.1567486574844232,0.40942515934019724,-0.1772638579309009,0.4768786503699274,-0.19996448616608448,0.5011943680714138,includes_zero,includes_zero,includes_zero,includes_zero,True
candidate_b,mt_distance,grad_mae,pearson,0.27094031888227177,0.1294695045121077,0.39924838763943615,-0.002153376363633203,0.49040713227844324,-0.04755161615706947,0.5188277590725499,-0.06373498031095493,0.501345223238174,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,mt_distance,grad_mae,spearman,0.24522552528079936,0.08698526461633889,0.39110750156794427,-0.02740739381008237,0.4866549461103721,-0.07435608227434322,0.5282678222590294,-0.08855367511776462,0.5328026437246456,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,mt_distance,psd_log_l2,pearson,0.16053188061077076,0.009564241654960899,0.29645565902083726,-0.06838445373602027,0.37280438282324374,-0.09482741281656946,0.37574734072268157,-0.10577640573919515,0.35400048654055166,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,mt_distance,psd_log_l2,spearman,0.15497998086666903,0.0025831914148178917,0.300301666663031,-0.09951161480565254,0.3808815165561844,-0.12462313449783285,0.3940955825612986,-0.1294042532842446,0.38857543778410286,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,mt_distance,exceed_abs_p90,pearson,-0.051905225697604064,-0.16877832855396044,0.06529469160221707,-0.22660130277757876,0.1261010076952618,-0.24642915948078364,0.15524814748532575,-0.24974203188275043,0.17545528805022512,includes_zero,includes_zero,includes_zero,includes_zero,True
candidate_b,mt_distance,exceed_abs_p90,spearman,-0.011101669552970707,-0.15916374894173135,0.13276495982933814,-0.22005693388444716,0.1804413048120849,-0.2273606652838907,0.19693150863197328,-0.22627203300391047,0.1957662775735928,includes_zero,includes_zero,includes_zero,includes_zero,True
candidate_b,mt_distance,comp_curve_l1,pearson,0.0035985671476262177,-0.12394978564515824,0.13588053384624382,-0.19471905159961037,0.1960035489332697,-0.20939304991098687,0.24962655558893243,-0.22554790676938088,0.26402689641351595,includes_zero,includes_zero,includes_zero,includes_zero,True
candidate_b,mt_distance,comp_curve_l1,spearman,0.015373839670294794,-0.1364873893900728,0.16739521392545328,-0.21872687745705346,0.2357870553855968,-0.23432683688338773,0.29238698897751375,-0.24525317629274104,0.31683731210724425,includes_zero,includes_zero,includes_zero,includes_zero,True
candidate_b,pd_distance,mt_distance,pearson,0.4172602678203101,0.26428807495716666,0.5427546302756318,0.06795008618243176,0.6185083564267858,-0.040516024633494754,0.6452178354640341,-0.012113826544350578,0.6414763379676103,positive,positive,includes_zero,includes_zero,False
candidate_b,pd_distance,mt_distance,spearman,0.27512262035523205,0.1140161969709751,0.4183423957818881,-0.016241058151024487,0.5225602326660338,-0.07103342042229029,0.5781884989205797,-0.06334515700822606,0.6181459847077133,positive,includes_zero,includes_zero,includes_zero,False
candidate_c,pd_distance,psnruv,pearson,0.08225273940757767,-0.06124036696512313,0.21767686662460045,-0.246245933821259,0.41672558086323835,-0.2891744406969542,0.47399622832508237,-0.21561832952538681,0.4900523439715384,includes_zero,includes_zero,includes_zero,includes_zero,True
candidate_c,pd_distance,psnruv,spearman,0.16260041202464048,0.004366208264143444,0.31373881831488665,-0.1785011795644157,0.46955368199601205,-0.20590997473433217,0.5337398028931305,-0.12611878697737952,0.5418730162798683,positive,includes_zero,includes_zero,includes_zero,False
candidate_c,pd_distance,speed_mae,pearson,0.7663205611851893,0.7131664804886003,0.8140183329529908,0.6667947488154718,0.8643499925154704,0.6619262729162046,0.8808966276528098,0.6667889137590598,0.8898213674825478,positive,positive,positive,positive,True
candidate_c,pd_distance,speed_mae,spearman,0.8191925531861045,0.7591174551069478,0.8624672264366932,0.6998018094321627,0.8891232429003442,0.6886697461214039,0.8982426957654019,0.6789140249312257,0.9015933796948957,positive,positive,positive,positive,True
candidate_c,pd_distance,wpd_mae,pearson,0.8086563879792771,0.7525471327090616,0.856899231995968,0.6881549177235615,0.886361793882901,0.6951474673897827,0.884925898088163,0.6782377929646229,0.881334018965197,positive,positive,positive,positive,True
candidate_c,pd_distance,wpd_mae,spearman,0.7893891000754197,0.7170332501389718,0.8439255513674221,0.6417429771162089,0.8762706467380885,0.6209583390360683,0.8781881434973275,0.5990917319755986,0.871551582913309,positive,positive,positive,positive,True
candidate_c,pd_distance,grad_mae,pearson,0.7620167248566817,0.7077649575823071,0.8116876837207656,0.656319940887026,0.8680180356914773,0.6342725111555011,0.8873280023574656,0.6314432784717714,0.9005832371734597,positive,positive,positive,positive,True
candidate_c,pd_distance,grad_mae,spearman,0.8109343443290933,0.7454834840256251,0.8587730678635468,0.6779444449308865,0.8917488545424442,0.6590715419646622,0.9039893705048337,0.6496852012077567,0.9106555123595657,positive,positive,positive,positive,True
candidate_c,pd_distance,psd_log_l2,pearson,0.6113659604473131,0.5268233275610313,0.6902326330507247,0.4543640818051572,0.7451572791272928,0.37706775746684523,0.7627705365421659,0.35552149815710465,0.7648384827206391,positive,positive,positive,positive,True
candidate_c,pd_distance,psd_log_l2,spearman,0.6407286863297919,0.5471753587950522,0.7193614524733364,0.43173957021113946,0.7760693016114361,0.36668394241826857,0.7917107051735089,0.36529552363412243,0.7862112045167443,positive,positive,positive,positive,True
candidate_c,pd_distance,exceed_abs_p90,pearson,0.2180192293870438,0.12808815539861249,0.31592394547797104,0.07560444290180643,0.38840569439971573,0.08249532083706286,0.40863408993397665,0.10623463788014327,0.44549587046521705,positive,positive,positive,positive,True
candidate_c,pd_distance,exceed_abs_p90,spearman,0.2808942340998432,0.14061131385355138,0.40565859569670054,0.07280065143909008,0.4690046181894575,0.07895586325630667,0.4779306489915086,0.07701466886134326,0.4701667441655984,positive,positive,positive,positive,True
candidate_c,pd_distance,comp_curve_l1,pearson,0.22722297541923517,0.1309361358683792,0.31572439618207854,0.05314403022086747,0.4314016006806546,0.006311916586110865,0.47863129327104853,0.036015523439798226,0.5554802907996241,positive,positive,positive,positive,True
candidate_c,pd_distance,comp_curve_l1,spearman,0.3064277430242452,0.1747792850430212,0.42109556328966946,0.0751250867697609,0.5491334223884252,0.013617289942927135,0.5774578097827365,0.051377385481220464,0.6186362183717743,positive,positive,positive,positive,True
candidate_c,mt_distance,psnruv,pearson,-0.06670215731767928,-0.2039604926323311,0.07493321459117683,-0.3136173961032826,0.17717609325734682,-0.3739055776586492,0.23010853977397042,-0.35990346103732973,0.25148393872700875,includes_zero,includes_zero,includes_zero,includes_zero,True
