metric_a,metric_b,n_methods_available,pearson_median,pearson_q25,pearson_q75,pearson_min,pearson_max,pearson_n_positive,pearson_n_negative,spearman_median,spearman_q25,spearman_q75,spearman_min,spearman_max,spearman_n_positive,spearman_n_negative,interpretation_level
speed_mae,grad_w1,19,0.9257954789134423,0.8837402515155459,0.9536371293889312,0.4280768236661927,0.9768008845109749,19,0,0.9141682822014466,0.8642811587307211,0.9457800375580201,0.4308466752041142,0.9702851271252929,19,0,within_method_across_samples
speed_mae,grad_kurtosis_abs_delta,19,-0.27926631099217236,-0.3605815067094281,-0.22946313432579102,-0.40674113185021726,-0.07356540543945939,0,19,-0.1818526935984329,-0.2927020009009875,-0.1493462778584842,-0.3306573665855103,0.011082652952758894,1,18,within_method_across_samples
speed_mae,psd_log_l2,19,0.6967164450764047,0.6813695755956675,0.7112953180397088,0.3951409029440348,0.724390331654534,19,0,0.7464884263594536,0.7385997236296638,0.7584024680984607,0.407960073091349,0.766421510318332,19,0,within_method_across_samples
speed_mae,psd_slope_abs_delta,19,0.21127714562130978,0.18852937369865863,0.2553450429861853,-0.018173218254859066,0.32869901390839573,18,1,0.160135350600574,0.13635535353637612,0.21461219572688942,-0.0205253061079869,0.33648847697673123,18,1,within_method_across_samples
speed_mae,exceed_abs_t5,19,0.35938670936064215,-0.2020076182128286,0.5034762561984172,-0.3639382923587637,0.5777773589188206,13,6,0.39192476749262983,-0.12961771854475193,0.49088381115690083,-0.3262108181022466,0.5694241272315892,13,6,within_method_across_samples
speed_mae,exceed_abs_t10,19,-0.09550252769448223,-0.14740166985150097,0.36625154393686776,-0.2421010843894457,0.6649594170304204,9,10,-0.16135775785706694,-0.24406535271423346,0.3413039819024911,-0.3261285920099964,0.6905306342484994,9,10,within_method_across_samples
speed_mae,exceed_abs_t15,19,0.6674958703020161,0.48215133690415657,0.724567384156642,0.29159339505458065,0.765291427075357,19,0,0.7499599806896465,0.5565071327926744,0.7800144993770446,0.3262085206704854,0.8039610575729218,19,0,within_method_across_samples
speed_mae,exceed_abs_p90,19,0.5217553763677553,0.34503528946341866,0.5539791509672475,0.12550642633044923,0.5921441791756086,19,0,0.5499416634415684,0.34655637320028065,0.5898171614777943,0.12762667285127124,0.635259027919769,19,0,within_method_across_samples
speed_mae,comp_curve_l1,19,0.5348766359581743,0.46865399372068706,0.5729427682339807,0.31679916119974827,0.5943388926494974,19,0,0.5531962818953874,0.4786438060110396,0.5999540056869854,0.32866131132131277,0.6220539748593696,19,0,within_method_across_samples
speed_mae,comp_abs_t5,19,-0.42219194566741247,-0.44201516830287507,-0.40522474436093736,-0.5627443884718276,-0.3751066224070529,0,19,-0.4987986070660484,-0.5041567866511683,-0.48951389406498885,-0.5618032600736358,-0.46317203714683836,0,19,within_method_across_samples
speed_mae,comp_abs_t10,19,0.3266328882543301,0.308145881941616,0.3538659051465485,0.1220797117933218,0.37905409650526134,19,0,0.21012601870728803,0.188227984290494,0.24989150899106782,0.07881573923966272,0.2840613644091945,19,0,within_method_across_samples
speed_mae,comp_abs_t15,19,0.8342435037827066,0.7865882012847412,0.8416414440078536,0.3707583346796736,0.8485712168344204,19,0,0.8708838120411035,0.82557157623164,0.8759113018743787,0.41443504994902736,0.8823497408547395,19,0,within_method_across_samples
speed_mae,pd_distance,18,0.7958929852333207,0.7663382449250183,0.8191151780460062,0.6830034165709629,0.8547708525300973,18,0,0.849131407514641,0.8078492212531826,0.8673447694636087,0.6865828781996447,0.8794347062426289,18,0,within_method_across_samples
speed_mae,mt_distance,18,0.29104551722130023,0.22949337522931335,0.32869236268409435,0.10703326331025513,0.3867962125437803,18,0,0.23154747141389243,0.18886986273771122,0.28350484154261213,0.10501566604744864,0.37020464565374744,18,0,within_method_across_samples
speed_rmse,wpd_mae,19,0.7754345002638321,0.7643836964270385,0.7759892482681021,0.7549020472584046,0.844991544183006,19,0,0.7511983640495847,0.7422720071269127,0.7526308330085392,0.7338796624839923,0.8160289733297563,19,0,within_method_across_samples
speed_rmse,wpd_w1,19,0.7545732645314538,0.5790919738850298,0.8944437155488112,0.39322247092420176,0.9182742938418649,19,0,0.778179903928407,0.622430540440674,0.9053823882243965,0.4029869255571697,0.9235653798067432,19,0,within_method_across_samples
speed_rmse,wpd_bias_abs,19,0.7430112355772012,0.4061665675820504,0.8792823052795298,0.18763457137232203,0.9293828306949157,19,0,0.7225692317815763,0.48118429244638367,0.8874208472319942,0.15241874661496954,0.9534396971062102,19,0,within_method_across_samples
speed_rmse,grad_mae,19,0.9721957311168691,0.9702726703151565,0.9740230809306643,0.9275059475649515,0.9791143755117774,19,0,0.9755518548701414,0.9742762994720617,0.9764971325312182,0.9234894538901909,0.9793481506977592,19,0,within_method_across_samples
