method_id,metric_a,metric_b,n_samples,status,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,interpretation_level
uv_crit,grad_mae,exceed_abs_p90,168,available,0.21048525249944747,0.16338337934524072,0.21048525249944747,0.16338337934524072,within_method_across_samples
uv_crit,grad_mae,comp_curve_l1,168,available,0.6325216058234282,0.6680978819884653,0.6325216058234282,0.6680978819884653,within_method_across_samples
uv_crit,grad_mae,comp_abs_t5,168,available,-0.37175101072311567,-0.41394353400593065,-0.37175101072311567,-0.41394353400593065,within_method_across_samples
uv_crit,grad_mae,comp_abs_t10,168,available,0.38296477366969556,0.2620061974093264,0.38296477366969556,0.2620061974093264,within_method_across_samples
uv_crit,grad_mae,comp_abs_t15,168,available,0.8210425570073603,0.8522106470546748,0.8210425570073603,0.8522106470546748,within_method_across_samples
uv_crit,grad_mae,pd_distance,168,available,0.8143350693185949,0.8626196465901671,0.8143350693185949,0.8626196465901671,within_method_across_samples
uv_crit,grad_mae,mt_distance,168,available,0.3224394195787371,0.3025065675917818,0.3224394195787371,0.3025065675917818,within_method_across_samples
uv_crit,grad_w1,grad_kurtosis_abs_delta,168,available,-0.24739499422103406,-0.18540855735696823,-0.24739499422103406,-0.18540855735696823,within_method_across_samples
uv_crit,grad_w1,psd_log_l2,168,available,0.6620480145393285,0.6832244218241454,0.6620480145393285,0.6832244218241454,within_method_across_samples
uv_crit,grad_w1,psd_slope_abs_delta,168,available,0.2364125025759117,0.21419713404973653,0.2364125025759117,0.21419713404973653,within_method_across_samples
uv_crit,grad_w1,exceed_abs_t5,168,available,0.5191596770815078,0.5081914625050132,0.5191596770815078,0.5081914625050132,within_method_across_samples
uv_crit,grad_w1,exceed_abs_t10,168,available,0.601924748953971,0.6169102415337945,0.601924748953971,0.6169102415337945,within_method_across_samples
uv_crit,grad_w1,exceed_abs_t15,168,available,0.3553610130150004,0.3735215791082864,0.3553610130150004,0.3735215791082864,within_method_across_samples
uv_crit,grad_w1,exceed_abs_p90,168,available,0.1726468851042716,0.12297664189347109,0.1726468851042716,0.12297664189347109,within_method_across_samples
uv_crit,grad_w1,comp_curve_l1,168,available,0.7286066476499005,0.7578253373451127,0.7286066476499005,0.7578253373451127,within_method_across_samples
uv_crit,grad_w1,comp_abs_t5,168,available,-0.27813192001628423,-0.31246515913630646,-0.27813192001628423,-0.31246515913630646,within_method_across_samples
uv_crit,grad_w1,comp_abs_t10,168,available,0.4565343951453751,0.354490883478465,0.4565343951453751,0.354490883478465,within_method_across_samples
uv_crit,grad_w1,comp_abs_t15,168,available,0.7683042181677577,0.7996150349779801,0.7683042181677577,0.7996150349779801,within_method_across_samples
uv_crit,grad_w1,pd_distance,168,available,0.7524627047913519,0.8133133563810672,0.7524627047913519,0.8133133563810672,within_method_across_samples
uv_crit,grad_w1,mt_distance,168,available,0.32823908355265874,0.3142345908352357,0.32823908355265874,0.3142345908352357,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,psd_log_l2,168,available,-0.1032356647609229,0.0014476541422649208,-0.1032356647609229,0.0014476541422649208,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,psd_slope_abs_delta,168,available,-0.37315899253346185,-0.39486032162218254,-0.37315899253346185,-0.39486032162218254,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,exceed_abs_t5,168,available,-0.3773380892349657,-0.34594400333575,-0.3773380892349657,-0.34594400333575,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,exceed_abs_t10,168,available,-0.12162228772818581,-0.03995986044802078,-0.12162228772818581,-0.03995986044802078,within_method_across_samples
