metric_a,metric_b,n_common_methods,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,loo_pearson_min,loo_pearson_max,loo_spearman_min,loo_spearman_max,pearson_sign_stable,spearman_sign_stable,interpretation_level
speed_rmse,comp_abs_t10,19,-0.680903970004705,-0.6526315789473685,-0.680903970004705,-0.6526315789473685,-0.8455313192867505,-0.29890593030241425,-0.8885448916408669,-0.5913312693498453,True,True,between_method_means
speed_rmse,comp_abs_t15,19,0.10487745862531411,-0.3,0.10487745862531411,-0.3,-0.2587727963811726,0.15498435468912022,-0.5252837977296182,-0.24664602683178535,False,True,between_method_means
speed_rmse,pd_distance,18,-0.3975373182370351,-0.4674922600619195,-0.3975373182370351,-0.4674922600619195,-0.49186339312628036,-0.21086586581952885,-0.5294117647058824,-0.36764705882352944,True,True,between_method_means
speed_rmse,mt_distance,18,0.6975998547434588,-0.28586171310629516,0.6975998547434588,-0.28586171310629516,-0.5494580071491825,0.7649940465612295,-0.5269607843137255,-0.21323529411764705,False,True,between_method_means
wpd_mae,wpd_w1,19,0.7496801239099253,0.03859649122807018,0.7496801239099253,0.03859649122807018,0.24104968745151156,0.7837904916942224,-0.13106295149638802,0.1021671826625387,True,False,between_method_means
wpd_mae,wpd_bias_abs,19,0.8092001906989118,0.20701754385964913,0.8092001906989118,0.20701754385964913,0.3185410430011057,0.8423281140639838,0.06707946336429309,0.29205366357069146,True,True,between_method_means
wpd_mae,grad_mae,19,0.7578222868602797,0.0824561403508772,0.7578222868602797,0.0824561403508772,0.47227563746039575,0.8581275422879773,-0.07946336429308566,0.16821465428276575,True,False,between_method_means
wpd_mae,grad_w1,19,-0.5526008250673272,-0.5701754385964912,-0.5526008250673272,-0.5701754385964912,-0.709430674097925,-0.1168657535443463,-0.7997936016511867,-0.49432404540763675,True,True,between_method_means
wpd_mae,grad_kurtosis_abs_delta,19,-0.0568283739952035,-0.17543859649122806,-0.0568283739952035,-0.17543859649122806,-0.19671164893511556,0.0021239111632089074,-0.3560371517027864,-0.07739938080495357,False,True,between_method_means
wpd_mae,psd_log_l2,19,-0.6736352964595625,-0.7298245614035088,-0.6736352964595625,-0.7298245614035088,-0.8578729997152688,-0.4021523706369392,-0.9669762641898865,-0.6821465428276574,True,True,between_method_means
wpd_mae,psd_slope_abs_delta,19,-0.6458057350336762,-0.624561403508772,-0.6458057350336762,-0.624561403508772,-0.7570979580027368,-0.5885332898923297,-0.8390092879256966,-0.5603715170278638,True,True,between_method_means
